,ts_code,symbol,name,industry,COL_MA_10,COL_MA_20,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,COL_INDAY_CHG,concept
0,000995.SZ,000995,*ST皇台,白酒,7.61,6.42,1.47,2.39,7.47,0.1,"教育, 白酒, 举牌股, 资产重组, ST股, 壳公司, "
1,002547.SZ,002547,春兴精工,通信设备,12.79,10.86,-0.16,1.69,11.55,0.8,"5G, 特斯拉, 华为产业链, 3D玻璃, 强势人气股, "
2,300292.SZ,300292,吴通控股,软件服务,6.37,5.59,0.0,1.45,6.01,0.36,"5G, 光通信, 华为产业链, 物联网, 滴滴出行概念股, 独角兽, "
3,600218.SH,600218,全柴动力,农用机械,19.34,17.46,-1.98,1.45,16.8,0.7,"燃料电池, 强势人气股, "
4,600393.SH,600393,粤泰股份,全国地产,3.89,3.6,0.26,1.41,3.85,0.14,"粤港澳大湾区, 高质押率, 房地产, "
5,600213.SH,600213,亚星客车,汽车整车,11.79,10.14,1.9,1.4,11.11,0.96,"新能源整车, 汽车整车, 山东国企改革, 燃料电池, 新能源汽车, "
6,300435.SZ,300435,中泰股份,机械基件,18.69,17.6,-0.85,1.32,17.06,0.74,"天然气, 煤化工, 燃料电池, 资产重组, "
7,000958.SZ,000958,东方能源,火力发电,7.63,7.51,-4.27,1.21,6.6,0.13,"火电, 电改, 央企改革, 风电, 光伏, 雄安-公共服务, 雄安新区, 京津冀, 强势人气股, "
8,000723.SZ,000723,美锦能源,焦炭加工,16.85,16.57,-2.71,1.16,15.56,0.95,"煤炭, 油服, 新能源整车, 新进指数成份股, 石墨电极, 业绩预增, 高质押率, 燃料电池, 智能制造, 新能源汽车, 资产重组, 机器人, 强势人气股, "
9,002054.SZ,002054,德美化工,化工原料,9.36,8.42,2.3,1.08,9.35,1.03,"养猪, 燃料电池, 半导体, 国资入股, 壳公司, 强势人气股, 创投, "
