,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,603077.SH,603077,和邦生物,化工原料,1.0,1.97,"碳纤维, 草甘膦, MSCI, 纯碱, 回购, 低价股, ",173.98亿
1,002535.SZ,002535,林州重机,工程机械,1.0,3.93,"业绩预增, 供应链金融, 军工, 军民融合, 锂电池, 新能源汽车, 虹膜识别, ",22.37亿
2,000791.SZ,000791,甘肃电投,水力发电,1.0,4.42,"水电, 电改, 业绩预增, 破净股, 风电, ",60.09亿
3,300152.SZ,300152,科融环境,环境保护,1.0,4.63,"固废处理, 雄安-园林环保, 大气治理, 燃料电池, 环保, 雄安新区, 污水处理, ",33.0亿
4,000795.SZ,000795,英洛华,矿物制品,1.0,4.74,"业绩预增, 稀土磁材, 智能制造, 机器人, ",42.01亿
5,000589.SZ,000589,贵州轮胎,汽车配件,1.0,4.76,"破净股, 轮胎, ",36.91亿
6,603335.SH,603335,迪生力,汽车配件,1.0,5.15,"汽车零部件, ",10.47亿
7,600127.SH,600127,金健米业,农业综合,5.0,5.29,"乡村振兴, 食品, 湖南国企改革, 乳业（奶粉）, ",33.95亿
8,002481.SZ,002481,双塔食品,食品,4.0,5.71,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, 人造肉, ",63.22亿
9,300325.SZ,300325,德威新材,塑料,1.0,6.34,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, ",63.17亿
10,600448.SH,600448,华纺股份,纺织,1.0,6.53,"东盟博览会, 纺织服装, 山东国企改革, 人民币贬值受益, 印染, 透明工厂, ",33.61亿
11,600095.SH,600095,哈高科,区域地产,4.0,6.6,"雄安-园林环保, 雄安新区, 壳公司, 人造肉, ",23.84亿
12,300184.SZ,300184,力源信息,元器件,1.0,6.71,"回购, 物联网, 北斗导航, 高送转, 半导体, 共享经济, 智慧安防, 独角兽, ",37.02亿
13,002077.SZ,002077,大港股份,区域地产,3.0,6.84,"房地产, 锂电池, 新能源汽车, 半导体, 科创板概念股, ",36.37亿
14,601700.SH,601700,风范股份,电气设备,1.0,6.92,"特高压, 高股息, 无人机, 债转股-AMC, 强势人气股, ",78.42亿
15,600371.SH,600371,万向德农,种植业,1.0,8.71,"转基因, 乡村振兴, 万达系, 农业种植, 独角兽, 蚂蚁金服概念股, ",19.6亿
16,603067.SH,603067,振华股份,化工原料,1.0,9.16,"维生素, ",14.25亿
17,000626.SZ,000626,远大控股,商贸代理,1.0,9.43,,38.15亿
18,002417.SZ,002417,深南股份,多元金融,1.0,9.66,"供应链金融, 互联网金融, 大数据, 云计算, ",
19,603600.SH,603600,永艺股份,家居用品,1.0,9.98,"家具家居, ",30.05亿
20,000713.SZ,000713,丰乐种业,种植业,4.0,10.27,"农药, 安徽国企改革, 转基因, 乡村振兴, 业绩预增, 农业种植, 人造肉, ",30.69亿
21,603890.SH,603890,春秋电子,机械基件,1.0,10.43,"人民币贬值受益, ",14.13亿
22,300480.SZ,300480,光力科技,电器仪表,1.0,10.86,"军工, 军民融合, 定增破发, 半导体, ",11.46亿
23,600213.SH,600213,亚星客车,汽车整车,1.0,11.67,"新能源整车, 汽车整车, 山东国企改革, 燃料电池, 新能源汽车, ",25.67亿
24,300421.SZ,300421,力星股份,机械基件,2.0,11.68,"回购, 高送转-填权, ",21.79亿
25,603697.SH,603697,有友食品,食品,1.0,12.46,,9.91亿
26,002119.SZ,002119,康强电子,半导体,2.0,12.83,"移动支付, 举牌股, 半导体, 股权争夺, ",36.27亿
27,300647.SZ,300647,超频三,元器件,1.0,14.44,"锂电池, 新能源汽车, 资产重组, LED, ",11.31亿
28,300123.SZ,300123,亚光科技,船舶,1.0,14.65,"5G, 回购, 业绩预增, 军工, 军民融合, 高送转, 半导体, 股权转让, 国产芯片, 智慧安防, ",45.0亿
29,300576.SZ,300576,容大感光,染料涂料,1.0,15.59,"PCB板, 国资入股, ",6.22亿
30,000876.SZ,000876,新希望,饲料,1.0,16.02,"MSCI, 东盟博览会, 金改, 社保重仓, 饲料, 养猪, 独角兽, 蚂蚁金服概念股, ",673.35亿
31,300772.SZ,300772,运达股份,电气设备,6.0,16.64,"风电, ",12.23亿
32,603929.SH,603929,亚翔集成,装修装饰,1.0,16.79,"半导体, ",16.21亿
33,603336.SH,603336,宏辉果蔬,农业综合,1.0,21.48,"农业种植, 苹果期货, ",14.75亿
34,300119.SZ,300119,瑞普生物,生物制药,3.0,23.96,"动物保健, ",46.15亿
35,000025.SZ,000025,特力A,汽车服务,1.0,30.5,"汽车销售, 粤港澳大湾区, 深圳本地股/深汕合作, ",82.62亿
36,300488.SZ,300488,恒锋工具,机械基件,3.0,33.58,"高送转, ",10.32亿
37,603222.SH,603222,济民制药,化学制药,1.0,33.77,"民营医院, 海南自由贸易港, 医疗器械, 自贸区, 自由贸易港, ",108.06亿
38,300573.SZ,300573,兴齐眼药,化学制药,2.0,66.92,"医药, 化学药, 眼科, 强势人气股, ",35.79亿
