,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,000995.SZ,*ST皇台,白酒,7.47,"教育, 白酒, 举牌股, 资产重组, ST股, 壳公司, ",
1,002547.SZ,春兴精工,通信设备,11.99,"5G, 特斯拉, 华为产业链, 3D玻璃, 强势人气股, ",78.49亿
2,600213.SH,亚星客车,汽车整车,11.67,"新能源整车, 汽车整车, 山东国企改革, 燃料电池, 新能源汽车, ",25.67亿
3,600218.SH,全柴动力,农用机械,16.82,"燃料电池, 强势人气股, ",62.02亿
4,002057.SZ,中钢天源,元器件,10.5,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 燃料电池, 新能源汽车, 高送转, ",33.56亿
5,300435.SZ,中泰股份,机械基件,16.82,"天然气, 煤化工, 燃料电池, 资产重组, ",19.93亿
6,603679.SH,华体科技,电气设备,46.37,"5G, 华为产业链, 新能源汽车, 智慧城市, 共享经济, LED, 充电桩, ",18.63亿
7,002234.SZ,民和股份,农业综合,32.32,"养鸡, ",61.78亿
8,002847.SZ,盐津铺子,食品,31.49,"大消费, 高送转-预期, 社保重仓, 食品, 休闲食品, ",11.36亿
9,603609.SH,禾丰牧业,饲料,12.5,"饲料, 养猪, ",103.9亿
10,300282.SZ,三盛教育,文教休闲,15.52,"教育, 高送转, ",35.3亿
11,002868.SZ,绿康生化,农业综合,22.99,"社保重仓, 动物保健, ",8.84亿
12,300345.SZ,红宇新材,钢加工,5.65,"军工, 军民融合, 工业自动化, 3D打印, 智能制造, ",20.83亿
13,002746.SZ,仙坛股份,农业综合,26.24,"业绩预增, 养鸡, 高送转, ",63.59亿
14,002385.SZ,大北农,饲料,6.9,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, 人造肉, ",184.6亿
15,002796.SZ,世嘉科技,专用机械,33.96,"5G, 业绩预增, 高送转-填权, ",20.08亿
16,002791.SZ,坚朗五金,其他建材,15.96,"社保重仓, 回购, ",25.71亿
17,300483.SZ,沃施股份,专用机械,37.26,"天然气, 资产重组, ",18.8亿
18,002260.SZ,*ST德奥,航空,3.15,"通用航空, 农机, 小家电, 家电, ST股, 壳公司, ",
19,002726.SZ,龙大肉食,食品,10.69,"养猪, 股权转让, ",80.21亿
20,600529.SH,山东药玻,医疗保健,27.1,"社保重仓, 山东国企改革, 医疗器械, 玻璃, ",97.65亿
21,002548.SZ,金新农,饲料,13.27,"回购, 饲料, 养猪, 股权转让, 动物保健, ",51.39亿
22,002511.SZ,中顺洁柔,造纸,9.73,"社保重仓, 回购, 造纸, ",122.42亿
23,603096.SH,新经典,出版业,60.5,,32.62亿
24,603589.SH,口子窖,白酒,57.71,"MSCI, 白酒, ",346.26亿
25,601888.SH,中国国旅,旅游服务,73.65,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, ",1438.0亿
26,002729.SZ,好利来,元器件,31.74,,21.16亿
27,603899.SH,晨光文具,文教休闲,35.89,"MSCI, ",330.19亿
28,000403.SZ,振兴生化,生物制药,28.7,"血制品, 业绩预增, 股权争夺, ST摘帽, ",77.88亿
29,601799.SH,星宇股份,汽车配件,67.5,"汽车零部件, 无人驾驶, ",186.41亿
30,600289.SH,*ST信通,软件服务,3.14,"5G, 网络安全, 大数据, 智慧城市, ST股, ",17.77亿
31,002602.SZ,世纪华通,汽车配件,19.02,"回购, 汽车零部件, 高质押率, 高送转, 资产重组, 游戏, 手游, ",311.94亿
32,000702.SZ,正虹科技,饲料,7.02,"饲料, 业绩预增, 湖南国企改革, 农垦, ",18.72亿
33,300659.SZ,中孚信息,软件服务,32.47,"网络安全, 国产软件, 资产重组, ",21.11亿
34,603226.SH,菲林格尔,家居用品,20.08,"家具家居, ",5.89亿
35,603878.SH,武进不锈,钢加工,15.46,"钢铁, 业绩预增, ",15.62亿
36,002088.SZ,鲁阳节能,矿物制品,13.47,"雄安-建材, 雄安新区, 耐火材料, ",41.83亿
37,000715.SZ,中兴商业,百货,9.22,"新零售, 股权转让, ",25.68亿
38,300459.SZ,金科文化,化工原料,8.5,"阿里巴巴概念股, 新进指数成份股, 回购, 业绩预增, 谷歌概念股, 定增破发, 高质押率, 大数据, 高送转, 人工智能, ",64.82亿
39,600301.SH,ST南化,化工原料,7.02,"烧碱, 广西, ST股, ",16.51亿
40,300130.SZ,新国都,电脑设备,16.5,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, ",55.27亿
41,000999.SZ,华润三九,中成药,27.53,"高股息, MSCI, 央企改革, 社保重仓, 业绩预增, 保健品, 食品, 医药, 中药, 流感, ",269.35亿
