,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,002467.SZ,二六三,电信运营,11.28,"教育, 业绩预增, 物联网, 谷歌概念股, 直播/短视频, 云计算, 高送转, 人工智能, ",76.33亿
1,600410.SH,华胜天成,软件服务,10.97,"阿里巴巴概念股, 国家队重仓, 回购, 业绩预增, 军工, 军民融合, 物联网, 智慧物流, 网络安全, 智能制造, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 国产芯片, 科创板概念股, 透明工厂, ",120.53亿
2,000066.SZ,中国长城,电脑设备,9.33,"MSCI, 海工装备, 央企改革, 军工研究所, 航母, 军工, 军民融合, 百度概念股, 网络安全, 数字中国, 大数据, 云计算, 人工智能, 互联网医疗, 区块链, 国产操作系统, ",232.38亿
3,300682.SZ,朗新科技,软件服务,18.66,"云计算, 区块链, 工业互联网, 国产软件, 资产重组, 独角兽, 蚂蚁金服概念股, ",30.64亿
4,002417.SZ,深南股份,多元金融,9.66,"供应链金融, 互联网金融, 大数据, 云计算, ",
5,300578.SZ,会畅通讯,通信设备,28.73,"业绩预增, 大数据, 云计算, 资产重组, ",17.4亿
6,300561.SZ,汇金科技,软件服务,19.6,"物联网, 互联网金融, 云计算, 高送转, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, ",13.25亿
7,002268.SZ,卫士通,软件服务,26.44,"MSCI, 央企改革, 军工研究所, 社保重仓, 军工, 网络安全, 数字中国, 互联网金融, 移动支付, 云计算, 区块链, 国产操作系统, ",214.14亿
8,000815.SZ,美利云,造纸,14.01,"大数据, 云计算, 造纸, 宁夏, ",44.38亿
9,300175.SZ,朗源股份,食品,6.63,"土地流转, 大数据, 云计算, 农业种植, 股权转让, 强势人气股, 苹果期货, ",30.4亿
10,603019.SH,中科曙光,电脑设备,41.1,"MSCI, 中科院系, 网络安全, 量子通信, 数字中国, 京津冀, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 腾讯概念股, 国产芯片, 独角兽, 科创板概念股, 创投, ",370.02亿
11,000063.SZ,中兴通讯,通信设备,30.88,"5G, 光通信, 白马股, MSCI, 物联网, 百度概念股, 互联网金融, 移动支付, 大数据, 云计算, 人工智能, 智慧城市, ",1060.29亿
12,300608.SZ,思特奇,软件服务,22.69,"大数据, 云计算, 高送转, 人工智能, 区块链, 国产软件, ",15.71亿
13,300369.SZ,绿盟科技,软件服务,13.2,"网络安全, 云计算, 工业互联网, 国产软件, 国产操作系统, 独角兽, ",95.06亿
14,600756.SH,浪潮软件,软件服务,23.46,"业绩预增, 山东国企改革, 数字中国, 大数据, 云计算, 工业互联网, 智慧城市, 国产软件, 强势人气股, ",76.03亿
15,300628.SZ,亿联网络,通信设备,102.99,"高价股, MSCI, 社保重仓, 云计算, 高送转, ",76.91亿
16,600602.SH,云赛智联,软件服务,9.17,"上海国企改革, 云计算, 智慧城市, 国产软件, ",94.77亿
17,000977.SZ,浪潮信息,电脑设备,25.18,"MSCI, 美团概念股, 山东国企改革, 数字中国, 云计算, 国产操作系统, 智慧安防, ",324.63亿
18,300297.SZ,蓝盾股份,软件服务,6.68,"教育, 工业自动化, 网络安全, 量子通信, 数字中国, 智能制造, 大数据, 云计算, 区块链, 国产软件, 智慧安防, ",56.9亿
19,002439.SZ,启明星辰,软件服务,26.71,"MSCI, 美团概念股, 军工, 军民融合, 网络安全, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 腾讯概念股, 国资入股, ",166.65亿
20,600845.SH,宝信软件,软件服务,31.91,"央企改革, 业绩预增, 物联网, 无人驾驶, 万达系, 大数据, 云计算, 工业互联网, 国产软件, VR&AR, ",204.49亿
21,300229.SZ,拓尔思,软件服务,11.14,"网络安全, 互联网金融, 大数据, 云计算, 人工智能, 国产软件, 知识产权, 创投, ",51.78亿
22,300212.SZ,易华录,软件服务,29.69,"阿里巴巴概念股, 央企改革, 业绩预增, 物联网, 百度概念股, 无人驾驶, 雄安-智慧城市, 养老产业, 智慧停车, PPP, 小米概念股, 数字中国, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 智慧安防, 独角兽, 电子车牌, ",125.84亿
23,300348.SZ,长亮科技,软件服务,21.74,"互联网金融, 大数据, 云计算, 高送转, 国产软件, 腾讯概念股, ",48.01亿
24,300025.SZ,华星创业,通信设备,5.47,"5G, 华为产业链, 物联网, 云计算, 股权转让, ",21.3亿
25,300017.SZ,网宿科技,电信运营,10.73,"MSCI, 混改, 国家队重仓, 回购, 创业板人气股, 大数据, 云计算, 人工智能, 独角兽, 强势人气股, ",233.17亿
26,002093.SZ,国脉科技,电信运营,8.24,"5G, 教育, 物联网, 数字中国, 云计算, ",81.71亿
27,300366.SZ,创意信息,软件服务,8.31,"5G, 华为产业链, 大数据, 云计算, 智慧城市, 国产软件, ",26.76亿
28,600850.SH,华东电脑,软件服务,21.63,"央企改革, 军工研究所, 军工, 云计算, ",92.08亿
29,002368.SZ,太极股份,软件服务,32.55,"央企改革, 军工研究所, 社保重仓, 军工, 军民融合, 网络安全, 数字中国, 大数据, 云计算, 智慧城市, ",130.32亿
30,300007.SZ,汉威科技,电器仪表,12.89,"阿里巴巴概念股, 华为产业链, 物联网, 智能仪表, 云计算, 区块链, 工业互联网, 智慧城市, 独角兽, ",29.25亿
31,002912.SZ,中新赛克,软件服务,96.19,"网络安全, 大数据, 云计算, 国产操作系统, ",48.92亿
32,600831.SH,广电网络,影视音像,10.15,"大数据, 云计算, 智慧城市, 广电, 知识产权, ",66.19亿
33,600131.SH,岷江水电,水力发电,16.55,"水电, 央企改革, 业绩预增, 云计算, 强势人气股, ",67.47亿
34,300339.SZ,润和软件,软件服务,11.65,"阿里巴巴概念股, 云计算, 人工智能, 区块链, 国产软件, 国资入股, 独角兽, 蚂蚁金服概念股, 无人银行, ",86.57亿
35,002261.SZ,拓维信息,互联网,5.38,"教育, 华为产业链, 回购, 大数据, 云计算, 人工智能, 彩票, 独角兽, 游戏, 手游, ",47.63亿
36,002474.SZ,榕基软件,软件服务,8.84,"物联网, 网络安全, 数字中国, 云计算, 智慧城市, 国产软件, VR&AR, 智慧安防, ",41.43亿
37,300051.SZ,三五互联,互联网,6.59,"数字中国, 云计算, 区块链, 国产软件, 腾讯概念股, 游戏, 手游, 动漫, ",16.74亿
38,300113.SZ,顺网科技,互联网,16.41,"回购, 网络安全, 云计算, 电竞, VR&AR, 腾讯概念股, 国产操作系统, 游戏, 手游, 体育产业, ",77.33亿
39,300235.SZ,方直科技,软件服务,9.6,"教育, 云计算, 国产软件, ",10.1亿
40,002396.SZ,星网锐捷,通信设备,22.78,"5G, 阿里巴巴概念股, 空铁WiFi, 物联网, 网络安全, 数字中国, 移动支付, 云计算, ",125.14亿
41,603636.SH,南威软件,软件服务,11.14,"业绩预增, 网络安全, 数字中国, 大数据, 云计算, 区块链, 智慧城市, 国产软件, 股权转让, 共享经济, 智慧安防, 独角兽, 蚂蚁金服概念股, ",58.45亿
42,600718.SH,东软集团,软件服务,12.79,"阿里巴巴概念股, 回购, 汽车零部件, 物联网, 无人驾驶, 网络安全, 医疗器械, 大数据, 云计算, 互联网医疗, 区块链, 工业互联网, 智慧城市, 国产软件, 高校系, 共享经济, 医疗信息化, ",158.9亿
43,002153.SZ,石基信息,软件服务,29.58,"MSCI, 阿里巴巴概念股, 新零售, 互联网金融, 移动支付, 大数据, 云计算, 国产软件, 独角兽, 蚂蚁金服概念股, ",143.53亿
44,300738.SZ,奥飞数据,电信运营,28.3,"高送转-预期, 业绩预增, 网络安全, 大数据, 云计算, 高送转, ",17.05亿
45,000851.SZ,高鸿股份,软件服务,6.15,"阿里巴巴概念股, 央企改革, 物联网, 无人驾驶, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 彩票, 滴滴出行概念股, 独角兽, 创投, ",52.69亿
46,600728.SH,佳都科技,软件服务,10.51,"空铁WiFi, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 智慧城市, 高铁轨交, 智慧安防, 独角兽, 人脸识别, ",168.59亿
47,600797.SH,浙大网新,软件服务,9.51,"阿里巴巴概念股, 社保重仓, 回购, 物联网, 智慧物流, 谷歌概念股, 定增破发, 网络安全, 智能制造, 移动支付, 大数据, 云计算, 人工智能, 互联网医疗, 区块链, 智慧城市, 国产软件, 高校系, 国产操作系统, 独角兽, 蚂蚁金服概念股, 人脸识别, ",96.55亿
48,600588.SH,用友网络,软件服务,24.02,"MSCI, 阿里巴巴概念股, 金改, 混改, 海底捞概念股, 回购, 数字中国, 互联网金融, 移动支付, 大数据, 云计算, 区块链, 工业互联网, 智慧城市, 国产软件, 滴滴出行概念股, 独角兽, ",592.45亿
49,300128.SZ,锦富技术,元器件,4.41,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, ",47.0亿
50,300168.SZ,万达信息,软件服务,13.92,"新进指数成份股, 教育, 回购, 数字中国, 创业板人气股, 大数据, 云计算, 互联网医疗, 区块链, 智慧城市, 国产软件, 股权转让, 医疗信息化, 智慧安防, ",151.97亿
51,002771.SZ,真视通,软件服务,13.48,"军工, 军民融合, 云计算, 独角兽, ",13.32亿
52,002197.SZ,证通电子,电器仪表,9.32,"回购, 网络安全, 互联网金融, 新能源汽车, 移动支付, 云计算, 智慧城市, 国资入股, LED, 充电桩, 无人银行, ",40.5亿
53,300044.SZ,赛为智能,软件服务,7.39,"教育, 无人机, 智慧停车, 智能制造, 大数据, 云计算, 人工智能, 智慧城市, 腾讯概念股, 国资入股, 机器人, 游戏, 手游, 人脸识别, ",39.26亿
54,300182.SZ,捷成股份,软件服务,5.11,"云计算, 国产软件, 股权转让, VR&AR, 影视, 知识产权, ",91.8亿
55,300365.SZ,恒华科技,软件服务,15.58,"高送转-填权, 雄安新区, 大数据, 云计算, 国产软件, ",50.46亿
56,000555.SZ,神州信息,软件服务,11.27,"华为产业链, 物联网, 土地流转, 量子通信, 数字中国, 大数据, 云计算, 工业互联网, 智慧城市, 国产软件, 京东金融概念股, 独角兽, 年报季报, 科创板概念股, ",105.36亿
57,002279.SZ,久其软件,软件服务,7.45,"回购, 供应链金融, 雄安-智慧城市, 数字中国, 雄安新区, 互联网金融, 大数据, 云计算, 区块链, 国产软件, 股权转让, ",44.99亿
58,300383.SZ,光环新网,电信运营,16.36,"数字中国, 云计算, 区块链, 工业互联网, ",232.67亿
59,300271.SZ,华宇软件,软件服务,19.55,"阿里巴巴概念股, 教育, 数字中国, 大数据, 云计算, 人工智能, 区块链, 国产软件, 腾讯概念股, ",111.37亿
60,600100.SH,同方股份,电脑设备,10.36,"血制品, 太赫兹, 海绵城市, PPP, 移动支付, 大数据, 云计算, 无人商店, 智慧城市, 股权转让, 高校系, 智慧安防, LED, 创投, 电子车牌, ",307.06亿
61,300231.SZ,银信科技,软件服务,7.37,"华为产业链, 大数据, 云计算, ",26.03亿
62,600498.SH,烽火通信,通信设备,27.5,"5G, 光通信, MSCI, 央企改革, 网络安全, 大数据, 云计算, ",304.41亿
63,300020.SZ,银江股份,软件服务,8.42,"阿里巴巴概念股, 教育, 华为产业链, 物联网, 无人驾驶, 雄安-智慧城市, 智慧停车, 数字中国, 智能制造, 雄安新区, 云计算, 人工智能, 互联网医疗, 区块链, 智慧城市, VR&AR, 医疗信息化, 智慧安防, 机器人, 人脸识别, 创投, ",51.93亿
64,300170.SZ,汉得信息,软件服务,14.85,"社保重仓, 供应链金融, 百度概念股, 工业自动化, 智能制造, 大数据, 云计算, 区块链, 工业互联网, 国产软件, 股权转让, 滴滴出行概念股, 独角兽, ",103.96亿
65,300288.SZ,朗玛信息,软件服务,13.93,"民营医院, 大数据, 云计算, 互联网医疗, ",28.05亿
66,002230.SZ,科大讯飞,软件服务,30.52,"MSCI, 教育, 华为产业链, 蔚来汽车概念股, 物联网, 脑科学, 无人驾驶, 智能制造, 大数据, 云计算, 人工智能, 智慧城市, 国产软件, 智能音箱, 高校系, 国产芯片, 独角兽, 机器人, ",555.94亿
67,300287.SZ,飞利信,软件服务,4.54,"教育, 物联网, 雄安-智慧城市, 雄安新区, 京津冀, 大数据, 药品信息化追溯, 云计算, 人工智能, 区块链, 智慧城市, 国产芯片, 国资入股, 智慧安防, ",51.05亿
68,600050.SH,中国联通,电信运营,6.07,"5G, MSCI, 中字头, 阿里巴巴概念股, 混改, 央企改革, 空铁WiFi, 物联网, 百度概念股, 无人驾驶, 互联网金融, 大数据, 云计算, 无人商店, 腾讯概念股, 滴滴出行概念股, 独角兽, ",1286.63亿
69,603660.SH,苏州科达,通信设备,21.47,"教育, 物联网, 雄安-智慧城市, 量子通信, 智能制造, 雄安新区, 云计算, 人工智能, 无人商店, 智慧城市, 机器视觉, 智慧安防, 人脸识别, 电子车牌, ",51.0亿
70,300052.SZ,中青宝,互联网,10.12,"创业板人气股, 云计算, 区块链, 彩票, 游戏, 手游, ",26.32亿
71,600804.SH,鹏博士,电信运营,8.66,"5G, 安邦系, 光通信, 新进指数成份股, 教育, 华为产业链, 回购, 物联网, 谷歌概念股, 大数据, 云计算, 智慧城市, 智慧安防, ",124.04亿
72,300036.SZ,超图软件,软件服务,15.63,"阿里巴巴概念股, 中科院系, 无人驾驶, 数字中国, 大数据, 云计算, 智慧城市, 国产软件, ",52.3亿
73,300603.SZ,立昂技术,通信设备,26.68,"高送转-预期, 物联网, 新疆, 云计算, 高送转, 人工智能, 智慧城市, 智慧安防, 资产重组, 独角兽, 人脸识别, ",12.88亿
74,002063.SZ,远光软件,软件服务,9.0,"国家队重仓, 工业自动化, 智能制造, 大数据, 云计算, 人工智能, 区块链, 国产软件, 国资入股, 创投, ",68.54亿
75,601789.SH,宁波建工,建筑施工,4.28,"装配式建筑, 环杭州湾大湾区, 云计算, 股权转让, 国资入股, ",41.78亿
76,600633.SH,浙数文化,互联网,10.34,"阿里巴巴概念股, 回购, 浙江国企改革, 直播/短视频, 大数据, 云计算, 区块链, 电竞, 独角兽, 游戏, 手游, 体育产业, ",133.41亿
77,300556.SZ,丝路视觉,软件服务,17.6,"阿里巴巴概念股, 社保重仓, 业绩预增, 智能制造, 雄安新区, 云计算, 国产软件, VR&AR, 机器视觉, 雄安-设计, ",11.24亿
78,300367.SZ,东方网力,电脑设备,10.43,"大飞机, 无人机, 工业自动化, 智能制造, 互联网金融, 大数据, 云计算, 人工智能, 智慧城市, 国产软件, 股权转让, 高铁轨交, 国资入股, 智慧安防, 独角兽, 人脸识别, ",62.69亿
79,002410.SZ,广联达,软件服务,27.36,"MSCI, 数字中国, 互联网金融, 云计算, 国产软件, ",242.52亿
80,600589.SH,广东榕泰,塑料,4.91,"大数据, 云计算, ",32.48亿
81,600751.SH,海航科技,水运,3.55,"破净股, 京津冀, 云计算, 自贸区, 天津自贸区, 资产重组, 独角兽, ",91.35亿
82,002544.SZ,杰赛科技,软件服务,13.22,"5G, PCB板, 央企改革, 华为产业链, 军工研究所, 社保重仓, 军工, 军民融合, 物联网, 定增破发, 网络安全, 云计算, 高铁轨交, 知识产权, ",67.66亿
83,002335.SZ,科华恒盛,电气设备,18.23,"阿里巴巴概念股, 核电, 军工, 军民融合, 宁德时代概念股, 光伏, 储能, 量子通信, 新能源汽车, 大数据, 云计算, 充电桩, 透明工厂, ",41.48亿
84,002530.SZ,金财互联,专用机械,11.08,"互联网金融, 云计算, 区块链, 电子发票, ",41.41亿
