,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,002079.SZ,苏州固锝,半导体,6.79,"业绩预增, 军工, 军民融合, 物联网, 半导体, 苹果产业链, 国产芯片, 共享经济, 资产重组, ",49.31亿
1,300719.SZ,安达维尔,航空,11.61,"通用航空, 空铁WiFi, 军工, 军民融合, ",9.04亿
2,300480.SZ,光力科技,电器仪表,11.95,"军工, 军民融合, 定增破发, 半导体, ",12.61亿
3,300123.SZ,亚光科技,船舶,16.12,"5G, 回购, 业绩预增, 军工, 军民融合, 高送转, 半导体, 股权转让, 国产芯片, 智慧安防, ",49.52亿
4,600171.SH,上海贝岭,半导体,13.6,"央企改革, 军工研究所, 军工, 物联网, 上海国企改革, 半导体, 无人商店, 国产芯片, ",91.64亿
5,600410.SH,华胜天成,软件服务,10.97,"阿里巴巴概念股, 国家队重仓, 回购, 业绩预增, 军工, 军民融合, 物联网, 智慧物流, 网络安全, 智能制造, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 国产芯片, 科创板概念股, 透明工厂, ",120.53亿
6,000043.SZ,中航善达,房产服务,12.18,"央企改革, 军工研究所, 业绩预增, 军工, 房地产, 复牌股, ",81.22亿
7,000066.SZ,中国长城,电脑设备,9.33,"MSCI, 海工装备, 央企改革, 军工研究所, 航母, 军工, 军民融合, 百度概念股, 网络安全, 数字中国, 大数据, 云计算, 人工智能, 互联网医疗, 区块链, 国产操作系统, ",232.38亿
8,600677.SH,航天通信,通信设备,17.79,"央企改革, 军工研究所, 业绩预增, 军工, 军民融合, 无人机, ",80.74亿
9,601678.SH,滨化股份,化工原料,6.59,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, ",101.78亿
10,000070.SZ,特发信息,通信设备,14.5,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, ",88.33亿
11,002297.SZ,博云新材,矿物制品,7.8,"碳纤维, 大飞机, 通用航空, 军工, 军民融合, 股权转让, 高校系, ",36.67亿
12,300696.SZ,爱乐达,航空,26.26,"军工, 军民融合, ",12.91亿
