,ts_code,symbol,name,industry,COL_LASTPRICE,concept
0,300185.SZ,300185,通裕重工,工程机械,2.02,"通用航空, 风电, 军工, 军民融合, 无人机, 低价股, "
1,000760.SZ,000760,*ST斯太,汽车配件,2.32,"军工, 军民融合, 汽车零部件, 工业自动化, 智能制造, 低价股, 复牌股, ST股, 强势人气股, "
2,000727.SZ,000727,华东科技,元器件,2.33,"国家队重仓, 央企改革, 军工研究所, 军工, 稀土磁材, 低价股, 强势人气股, "
3,600815.SH,600815,*ST厦工,工程机械,2.83,"军工研究所, 福建自贸区, 军工, 机械, 低价股, 自贸区, 复牌股, ST股, "
4,600839.SH,600839,四川长虹,家用电器,3.18,"军工, 军民融合, 物联网, 工业自动化, 家电, 智能制造, 人工智能, 区块链, 工业互联网, 黑色家电, "
5,000670.SZ,000670,*ST盈方,元器件,3.21,"军工, 军民融合, 北斗导航, 半导体, VR&AR, 国产芯片, ST股, "
6,600698.SH,600698,*ST天雁,汽车配件,3.23,"混改, 军工混改, 央企改革, 军工研究所, 军工, 军民融合, 汽车零部件, ST股, "
7,000806.SZ,000806,ST银河,生物制药,3.35,"军工, 军民融合, 医药, 创新药, 互联网医疗, 广西, 精准医疗, ST股, 创投, 工业大麻, "
8,000595.SZ,000595,宝塔实业,机械基件,3.4,"军工, 高铁轨交, ST摘帽, 宁夏, "
9,300008.SZ,300008,天海防务,船舶,3.58,"海工装备, 军工, 军民融合, 量子通信, "
10,600172.SH,600172,黄河旋风,矿物制品,3.66,"军工, 军民融合, 工业自动化, 智能制造, 透明工厂, "
11,600558.SH,600558,大西洋,钢加工,3.76,"核电, 军工, 军民融合, "
12,002342.SZ,002342,巨力索具,机械基件,3.78,"军工, 军民融合, 雄安新区, 京津冀, 雄安-周边, "
13,601718.SH,601718,际华集团,服饰,3.94,"新进指数成份股, 央企改革, 军工研究所, 破净股, 军工, 纺织服装, 军民融合, "
14,002692.SZ,002692,远程股份,电气设备,4.0,"特高压, 军工, 军民融合, "
15,600565.SH,600565,迪马股份,全国地产,4.1,"业绩预增, 军工, 军民融合, 房地产, "
16,002510.SZ,002510,天汽模,汽车配件,4.16,"特斯拉, 蔚来汽车概念股, 业绩预增, 军工, 军民融合, 汽车零部件, 锂电池, 新能源汽车, 京津冀, "
17,002452.SZ,002452,长高集团,电气设备,4.18,"特高压, 军工, 军民融合, 智慧安防, 壳公司, "
18,600550.SH,600550,保变电气,电气设备,4.18,"特高压, 混改, 军工混改, 央企改革, 军工研究所, 核电, 军工, 雄安新区, 京津冀, 雄安-周边, "
19,600973.SH,600973,宝胜股份,电气设备,4.25,"央企改革, 军工研究所, 大飞机, 军工, "
20,600614.SH,600614,*ST鹏起,综合类,4.27,"固废处理, 大飞机, 有色金属, 军工, 军民融合, 环保, 有色-钒, 复牌股, 国资入股, ST股, 有色-钛, "
21,002535.SZ,002535,林州重机,工程机械,4.32,"业绩预增, 供应链金融, 军工, 军民融合, 锂电池, 新能源汽车, 虹膜识别, "
22,002361.SZ,002361,神剑股份,化工原料,4.36,"大飞机, 回购, 军工, 军民融合, 北斗导航, "
23,002108.SZ,002108,沧州明珠,塑料,4.38,"军工, 军民融合, 海绵城市, 锂电池, PPP, 雄安新区, 新能源汽车, 雄安-周边, "
24,002519.SZ,002519,银河电子,通信设备,4.41,"回购, 军工, 军民融合, 家电, 新能源汽车, 黑色家电, 充电桩, 广电, "
25,000778.SZ,000778,新兴铸管,钢加工,4.48,"MSCI, 钢铁, 央企改革, 军工研究所, 有色金属, 业绩预增, 破净股, 军工, 有色-镍, 雄安-建材, 地下管廊, 海绵城市, PPP, 雄安新区, 京津冀, "
26,600495.SH,600495,晋西车轴,运输设备,4.75,"一带一路, 混改, 军工混改, 央企改革, 军工研究所, 军工, 高铁轨交, "
27,600794.SH,600794,保税科技,仓储物流,5.15,"军工, 军民融合, 快递物流, "
28,600707.SH,600707,彩虹股份,元器件,5.15,"OLED, 军工研究所, 破净股, 军工, 定增破发, 玻璃, "
29,600178.SH,600178,东安动力,汽车配件,5.27,"北汽新能源, 混改, 军工混改, 央企改革, 军工研究所, 军工, 汽车零部件, "
30,601989.SH,601989,中国重工,船舶,5.28,"南北船合并, MSCI, 中字头, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 军工, 军民融合, 债转股-AMC, "
31,002163.SZ,002163,中航三鑫,装修装饰,5.29,"央企改革, 军工研究所, 军工, 石墨烯, 玻璃, 装修装饰, "
32,300159.SZ,300159,新研股份,农用机械,5.29,"大飞机, 军工, 军民融合, 新疆, 农机, 股权转让, "
33,300201.SZ,300201,海伦哲,专用机械,5.3,"军工, 军民融合, 工业自动化, 智能制造, 资产重组, 机器人, LED, "
34,002564.SZ,002564,天沃科技,化工机械,5.36,"核电, 回购, 风电, 军工, 军民融合, 煤化工, 定增破发, 燃料电池, 股权转让, 国资入股, "
35,300263.SZ,300263,隆华科技,专用机械,5.44,"OLED, 业绩预增, 军工, 军民融合, 雄安-公共服务, 环保, 雄安新区, 污水处理, 半导体, 股权转让, 地热, "
36,600151.SH,600151,航天机电,半导体,5.48,"央企改革, 军工研究所, 军工, 光伏, "
37,600705.SH,600705,中航资本,多元金融,5.5,"MSCI, 金改, 混改, 军工混改, 央企改革, 军工研究所, 回购, 参股券商, 军工, 信托, 高铁轨交, "
38,300095.SZ,300095,华伍股份,机械基件,5.61,"大飞机, 风电, 军工, 军民融合, 股权转让, 高铁轨交, 国资入股, "
39,002303.SZ,002303,美盈森,造纸,5.67,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
40,002560.SZ,002560,通达股份,电气设备,5.76,"特高压, 大飞机, 有色金属, 军工, 军民融合, 有色-钛, "
41,300345.SZ,300345,红宇新材,钢加工,5.81,"军工, 军民融合, 工业自动化, 3D打印, 智能制造, "
42,601126.SH,601126,四方股份,电气设备,5.95,"特高压, 军工, 军民融合, 工业自动化, 智能制造, "
43,002171.SZ,002171,楚江新材,铜,5.97,"碳纤维, 大飞机, 有色金属, 军工, 军民融合, 3D打印, 智能制造, 有色-铜, "
44,600877.SH,600877,*ST嘉陵,摩托车,6.09,"混改, 军工混改, 央企改革, 军工研究所, 军工, 资产重组, ST股, "
45,000801.SZ,000801,四川九洲,通信设备,6.1,"光通信, 军工研究所, 大飞机, 通用航空, 业绩预增, 军工, 军民融合, 北斗导航, 家电, 黑色家电, "
46,600879.SH,600879,航天电子,航空,6.25,"MSCI, 央企改革, 军工研究所, 大飞机, 军工, 军民融合, 无人机, 太赫兹, 北斗导航, 量子通信, "
47,600416.SH,600416,湘电股份,电气设备,6.26,"社保重仓, 航母, 风电, 军工, 军民融合, 湖南国企改革, "
48,002765.SZ,002765,蓝黛传动,汽车配件,6.33,"军工, 军民融合, 汽车零部件, 资产重组, "
49,300215.SZ,300215,电科院,电气设备,6.34,"特高压, 军工, 军民融合, "
50,002097.SZ,002097,山河智能,工程机械,6.45,"大飞机, 通用航空, 业绩预增, 军工, 军民融合, 无人机, 机械, 智能制造, 股权转让, 国资入股, 机器人, "
51,300324.SZ,300324,旋极信息,软件服务,6.46,"阿里巴巴概念股, 华为产业链, 大飞机, 通用航空, 军工, 军民融合, 物联网, 北斗导航, 网络安全, 海南自由贸易港, 互联网金融, 大数据, 自贸区, 半导体, 智慧城市, 自由贸易港, 国产芯片, 电子发票, 独角兽, "
52,601678.SH,601678,滨化股份,化工原料,6.59,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, "
53,300067.SZ,300067,安诺其,染料涂料,6.62,"回购, 业绩预增, 染料, 军工, 军民融合, 环保, 污水处理, 独角兽, "
54,600590.SH,600590,泰豪科技,电气设备,6.65,"核电, 航母, 军工, 军民融合, 房地产, 大数据, 高校系, "
55,002497.SZ,002497,雅化集团,化工原料,6.77,"军工, 军民融合, 锂电池, 新能源汽车, 民爆, "
56,002079.SZ,002079,苏州固锝,半导体,6.79,"业绩预增, 军工, 军民融合, 物联网, 半导体, 苹果产业链, 国产芯片, 共享经济, 资产重组, "
57,300019.SZ,300019,硅宝科技,化工原料,6.86,"有机硅, 军工, 军民融合, 装配式建筑, 轮胎, "
58,000059.SZ,000059,华锦股份,石油加工,6.95,"油气改革, 石墨电极, 混改, 军工混改, 央企改革, 军工研究所, 破净股, 军工, 石油化工, 煤化工, 化肥, 油品升级, "
59,600330.SH,600330,天通股份,元器件,7.0,"OLED, 特斯拉, 军工研究所, 业绩预增, 军工, 稀土磁材, 无线充电, 新能源汽车, 半导体, 充电桩, "
60,000561.SZ,000561,烽火电子,通信设备,7.01,"军工研究所, 大飞机, 军工, 军民融合, 北斗导航, "
61,300213.SZ,300213,佳讯飞鸿,通信设备,7.02,"军工, 军民融合, 无人机, 物联网, 定增破发, 人工智能, 工业互联网, 股权转让, 高铁轨交, 国资入股, 智慧安防, 独角兽, "
62,002298.SZ,002298,中电兴发,软件服务,7.12,"回购, 军工, 军民融合, 无人机, 储能, PPP, 智能制造, 新能源汽车, 智慧城市, 股权转让, 共享经济, 智慧安防, 机器人, 充电桩, "
63,002224.SZ,002224,三力士,橡胶,7.15,"军工, 军民融合, 量子通信, "
64,002552.SZ,002552,宝鼎科技,机械基件,7.23,"海工装备, 军工, 军民融合, 定增破发, ST摘帽, "
65,001696.SZ,001696,宗申动力,摩托车,7.25,"东盟博览会, 国家队重仓, 通用航空, 军工, 军民融合, 无人机, 汽车零部件, 农机, 燃料电池, "
66,002013.SZ,002013,中航机电,航空,7.29,"MSCI, 央企改革, 军工研究所, 大飞机, 航母, 军工, "
67,300368.SZ,300368,汇金股份,专用机械,7.39,"军工, 军民融合, 互联网金融, 京津冀, 股权转让, 国资入股, 无人银行, "
68,300455.SZ,300455,康拓红外,运输设备,7.41,"央企改革, 军工研究所, 军工, 高铁轨交, 资产重组, "
69,000519.SZ,000519,中兵红箭,矿物制品,7.49,"混改, 军工混改, 央企改革, 军工研究所, 业绩预增, 军工, 军民融合, "
70,300092.SZ,300092,科新机电,专用机械,7.55,"核电, 业绩预增, 军工, 军民融合, 石油化工, "
