,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,300682.SZ,朗新科技,软件服务,18.66,"云计算, 区块链, 工业互联网, 国产软件, 资产重组, 独角兽, 蚂蚁金服概念股, ",30.64亿
1,000066.SZ,中国长城,电脑设备,9.33,"MSCI, 海工装备, 央企改革, 军工研究所, 航母, 军工, 军民融合, 百度概念股, 网络安全, 数字中国, 大数据, 云计算, 人工智能, 互联网医疗, 区块链, 国产操作系统, ",232.38亿
2,300561.SZ,汇金科技,软件服务,19.6,"物联网, 互联网金融, 云计算, 高送转, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, ",13.25亿
3,002268.SZ,卫士通,软件服务,26.44,"MSCI, 央企改革, 军工研究所, 社保重仓, 军工, 网络安全, 数字中国, 互联网金融, 移动支付, 云计算, 区块链, 国产操作系统, ",214.14亿
4,300130.SZ,新国都,电脑设备,18.0,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, ",60.3亿
5,300663.SZ,科蓝软件,软件服务,41.01,"互联网金融, 移动支付, 举牌股, 高送转, 区块链, 国产软件, 京东金融概念股, 独角兽, 蚂蚁金服概念股, 强势人气股, 无人银行, ",50.5亿
6,300608.SZ,思特奇,软件服务,22.69,"大数据, 云计算, 高送转, 人工智能, 区块链, 国产软件, ",15.71亿
7,002235.SZ,安妮股份,互联网,9.37,"教育, 大数据, 造纸, 区块链, 彩票, 体育产业, 知识产权, 动漫, ",46.88亿
8,300579.SZ,数字认证,软件服务,39.56,"雄安-智慧城市, 网络安全, 雄安新区, 高送转, 区块链, 国产软件, 彩票, 知识产权, ",17.43亿
9,600446.SH,金证股份,软件服务,21.71,"阿里巴巴概念股, 互联网金融, 人工智能, 区块链, 国产软件, 腾讯概念股, 独角兽, ",185.23亿
10,002869.SZ,金溢科技,通信设备,25.0,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, ",11.25亿
11,300379.SZ,东方通,软件服务,21.69,"5G, 华为产业链, 回购, 网络安全, 大数据, 人工智能, 区块链, 国产软件, ",43.27亿
12,600570.SH,恒生电子,软件服务,83.49,"MSCI, 阿里巴巴概念股, 金改, 社保重仓, 互联网金融, 大数据, 人工智能, 互联网医疗, 区块链, 国产软件, 医疗信息化, 独角兽, 蚂蚁金服概念股, ",515.81亿
13,300099.SZ,精准信息,电器仪表,8.21,"特高压, 空铁WiFi, 军工, 军民融合, 燃料电池, 区块链, 高铁轨交, 强势人气股, ",32.16亿
14,300297.SZ,蓝盾股份,软件服务,6.68,"教育, 工业自动化, 网络安全, 量子通信, 数字中国, 智能制造, 大数据, 云计算, 区块链, 国产软件, 智慧安防, ",56.9亿
15,000961.SZ,中南建设,建筑施工,8.58,"MSCI, 业绩预增, 房地产, 区块链, ",317.45亿
16,002657.SZ,中科金财,软件服务,18.07,"业绩预增, 债转股-AMC, 互联网金融, 移动支付, 大数据, 区块链, 国产软件, 期货概念, ",51.04亿
