,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,600896.SH,览海投资,医疗保健,5.46,10.0806,"民营医院, 海南自由贸易港, 自贸区, 自由贸易港, 资产重组, 海南, ST摘帽, ",47.45亿
1,600284.SH,浦东建设,建筑施工,7.43,10.0741,"国家队重仓, 大基建, 环杭州湾大湾区, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",72.09亿
2,600708.SH,光明地产,全国地产,6.25,10.0352,"万达系, 房地产, 冷链, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, ",139.08亿
3,603128.SH,华贸物流,仓储物流,9.83,9.9553,"央企改革, 回购, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, ",95.81亿
4,600848.SH,上海临港,园区开发,34.64,6.6502,"电改, 特斯拉, 环杭州湾大湾区, 房地产, 小米概念股, 上海国企改革, 住房租赁, 自贸区, 智慧城市, 自由贸易港, 资产重组, 独角兽, 上海自由贸易港, 创投, ",272.97亿
5,603329.SH,上海雅仕,仓储物流,21.37,6.6367,"快递物流, 自贸区, 自由贸易港, 上海自由贸易港, ",13.82亿
6,603167.SH,渤海轮渡,水运,10.97,5.9903,"航运, 回购, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, ",52.81亿
7,300189.SZ,神农基因,种植业,4.31,5.379,"海南自由贸易港, 自贸区, 农业种植, 自由贸易港, 海南, ",38.05亿
8,600822.SH,上海物贸,商贸代理,12.5,5.1304,"上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, ",49.52亿
9,000505.SZ,京粮控股,食品,7.12,4.246,"定增破发, 海南自由贸易港, 自贸区, 自由贸易港, 海南, 人造肉, ",28.92亿
10,600018.SH,上港集团,港口,7.8,4.0,"高股息, 白马股, MSCI, 一带一路, 港口, 环杭州湾大湾区, 上海国企改革, 自贸区, 足球, 自由贸易港, 上海自由贸易港, ",1807.55亿
11,603648.SH,畅联股份,仓储物流,11.63,3.5619,"智慧物流, 智能制造, 上海国企改革, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, ",31.77亿
12,002320.SZ,海峡股份,水运,14.5,3.4975,"航运, 海南自由贸易港, 高送转, 自贸区, 自由贸易港, 股权转让, 海南, ",80.96亿
13,600639.SH,浦东金桥,园区开发,14.99,3.0949,"电改, 房地产, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, 创投, ",127.45亿
14,600650.SH,锦江投资,公共交通,11.53,2.9464,"汽车销售, 冷链, 上海国企改革, 自贸区, 自由贸易港, 共享经济, 上海自由贸易港, ",45.03亿
