,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,600624.SH,复旦复华,综合类,11.39,10.0483,"健康中国, 脑科学, 高校系, 强势人气股, 创投, ",77.99亿
1,002184.SZ,海得控制,软件服务,11.67,9.9906,"工业自动化, 智能制造, 工业互联网, 创投, 透明工厂, ",16.05亿
2,002103.SZ,广博股份,文教休闲,5.73,9.9808,"回购, 互联网金融, 区块链, 独角兽, 创投, ",21.45亿
3,002708.SZ,光洋股份,汽车配件,12.36,9.9644,"汽车零部件, 股权转让, 壳公司, 创投, ",46.02亿
4,600260.SH,凯乐科技,通信设备,18.8,8.1703,"5G, 光通信, MSCI, 回购, 军工, 军民融合, 定增破发, 量子通信, 互联网医疗, 智慧安防, 创投, ",127.1亿
5,002054.SZ,德美化工,化工原料,10.05,7.1429,"养猪, 燃料电池, 半导体, 国资入股, 壳公司, 强势人气股, 创投, ",31.09亿
6,000062.SZ,深圳华强,批发业,13.84,6.8726,"业绩预增, 粤港澳大湾区, 雄安-公共服务, 雄安新区, 半导体, 迈瑞医疗概念股, 创投, ",144.58亿
7,600053.SH,九鼎投资,多元金融,27.51,6.2162,"高质押率, 房地产, 互联网金融, 移动支付, 跨境电商, 创投, ",119.27亿
8,002666.SZ,德联集团,化工原料,4.72,4.4248,"蔚来汽车概念股, 燃料电池, 创投, ",20.9亿
9,600290.SH,华仪电气,电气设备,5.74,4.1742,"破净股, 风电, 创投, ",43.62亿
10,300370.SZ,安控科技,电器仪表,4.32,4.0964,"油服, 油气改革, 天然气, 石油化工, 兜底式增持, 物联网, 工业自动化, 海南自由贸易港, 智能制造, 自贸区, 工业互联网, 智慧城市, 自由贸易港, 国产芯片, 智慧安防, 机器人, 创投, 透明工厂, ",31.21亿
11,300688.SZ,创业黑马,综合类,38.27,3.4884,"高送转-预期, 独角兽, 创投, ",13.98亿
12,000851.SZ,高鸿股份,软件服务,6.36,3.4146,"阿里巴巴概念股, 央企改革, 物联网, 无人驾驶, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 彩票, 滴滴出行概念股, 独角兽, 创投, ",54.49亿
13,600020.SH,中原高速,路桥,5.42,2.8463,"高速公路, 信托, 河南自贸区, 自贸区, 科创板概念股, 创投, ",121.81亿
14,600895.SH,张江高科,园区开发,19.17,2.5682,"金改, 房地产, 上海国企改革, 自贸区, 人工智能, 自由贸易港, 独角兽, 蚂蚁金服概念股, 上海自由贸易港, 创投, ",296.88亿
15,600604.SH,市北高新,园区开发,13.77,2.1513,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, ",183.72亿
16,600783.SH,鲁信创投,多元金融,19.53,1.2967,"业绩预增, 债转股-AMC, 山东国企改革, 创投, ",145.37亿
17,600210.SH,紫江企业,广告包装,4.04,1.2531,"大飞机, 包装印刷, 创投, ",61.28亿
18,002369.SZ,卓翼科技,通信设备,8.17,1.2392,"华为产业链, 回购, 业绩预增, 物联网, 工业自动化, 小米概念股, 智能制造, 区块链, 苹果产业链, 资产重组, LED, 科创板概念股, 创投, ",32.67亿
19,000676.SZ,智度股份,互联网,9.52,1.169,"谷歌概念股, 互联网金融, 独角兽, 游戏, 创投, ",30.11亿
20,002148.SZ,北纬科技,互联网,6.36,1.1129,"回购, 物联网, 游戏, 手游, 创投, ",28.24亿
21,002575.SZ,群兴玩具,文教休闲,7.47,1.0825,"二胎, 股权转让, 资产重组, 壳公司, 创投, ",43.98亿
