,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,002668.SZ,奥马电器,家用电器,6.55,10.084,"供应链金融, 白色家电, 家电, 互联网金融, 区块链, 股权转让, 国资入股, ",42.86亿
1,002177.SZ,御银股份,电脑设备,6.04,10.0182,"业绩预增, 互联网金融, 区块链, 腾讯概念股, 国产操作系统, 虹膜识别, 人脸识别, 无人银行, ",45.98亿
2,300099.SZ,精准信息,电器仪表,9.13,10.0,"特高压, 空铁WiFi, 军工, 军民融合, 燃料电池, 区块链, 高铁轨交, 强势人气股, ",35.76亿
3,300542.SZ,新晨科技,软件服务,16.52,9.9867,"高送转, 区块链, 国产软件, ",13.99亿
4,002103.SZ,广博股份,文教休闲,5.73,9.9808,"回购, 互联网金融, 区块链, 独角兽, 创投, ",21.45亿
5,002663.SZ,普邦股份,建筑施工,3.44,9.9042,"园林, 定增破发, PPP, 区块链, 独角兽, ",43.0亿
6,002447.SZ,晨鑫科技,互联网,3.77,7.4074,"网络安全, 区块链, 股权转让, 电竞, 游戏, 手游, ",50.92亿
7,600093.SH,易见股份,仓储物流,13.86,7.2755,"供应链金融, 区块链, 股权转让, ",155.57亿
8,600146.SH,商赢环球,服饰,13.35,4.7059,"纺织服装, 高质押率, 互联网金融, 区块链, 跨境电商, 宁夏, 强势人气股, ",26.7亿
9,300561.SZ,汇金科技,软件服务,21.43,4.1808,"物联网, 互联网金融, 云计算, 高送转, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, ",14.49亿
10,002587.SZ,奥拓电子,元器件,6.06,4.1237,"雄安-金融, 雄安新区, 区块链, 足球, LED, 体育产业, 无人银行, ",24.21亿
11,000681.SZ,视觉中国,互联网,21.08,3.2321,"MSCI, 阿里巴巴概念股, 旅游, 新零售, 百度概念股, 小米概念股, 大数据, 区块链, 知识产权, ",65.45亿
12,300612.SZ,宣亚国际,广告包装,19.6,3.0494,"回购, 网络安全, 直播/短视频, 区块链, ",8.89亿
13,603106.SH,恒银金融,电脑设备,11.71,2.9903,"雄安-金融, 雄安新区, 互联网金融, 区块链, 国产操作系统, 无人银行, ",15.26亿
14,300079.SZ,数码科技,通信设备,6.14,2.8476,"5G, 业绩预增, 谷歌概念股, 网络安全, 互联网金融, 移动支付, 区块链, 彩票, VR&AR, 广电, 影视, 知识产权, ",74.24亿
15,300465.SZ,高伟达,软件服务,8.15,2.6448,"供应链金融, 物联网, 大数据, 区块链, 国产软件, 独角兽, 蚂蚁金服概念股, 无人银行, ",34.88亿
