,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,300610.SZ,晨化股份,化工原料,14.26,10.0309,"高送转-预期, 石油化工, 年报季报, ",7.09亿
1,002865.SZ,钧达股份,汽车配件,22.84,10.0193,"高送转-预期, 汽车零部件, 海南自由贸易港, 自贸区, 自由贸易港, 海南, ",8.7亿
2,300013.SZ,新宁物流,仓储物流,16.7,10.0132,"物联网, 智慧物流, 北斗导航, 智能制造, 快递物流, 高送转, ",45.54亿
3,300507.SZ,苏奥传感,汽车配件,13.09,10.0,"汽车零部件, 高送转, ",16.88亿
4,002467.SZ,二六三,电信运营,12.43,10.0,"教育, 业绩预增, 物联网, 谷歌概念股, 直播/短视频, 云计算, 高送转, 人工智能, ",84.11亿
5,300710.SZ,万隆光电,通信设备,28.6,10.0,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, ",9.59亿
6,300176.SZ,派生科技,汽车配件,20.03,9.9945,"特斯拉, 供应链金融, 汽车零部件, 宁德时代概念股, 互联网金融, 举牌股, 高送转, 股权转让, ",74.6亿
7,300042.SZ,朗科科技,电脑设备,16.51,9.9933,"高质押率, 高送转-填权, 知识产权, ",27.7亿
8,300405.SZ,科隆股份,化工原料,19.6,9.9888,"石油化工, 高送转, 股权转让, 国资入股, ",25.99亿
9,300542.SZ,新晨科技,软件服务,16.52,9.9867,"高送转, 区块链, 国产软件, ",13.99亿
10,002274.SZ,华昌化工,农药化肥,12.63,7.5809,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 高送转, 科创板概念股, ",78.98亿
11,300375.SZ,鹏翎股份,汽车配件,9.22,4.7727,"汽车零部件, 高送转, 资产重组, ",23.86亿
12,300509.SZ,新美星,专用机械,16.55,4.4164,"工业自动化, 智能制造, 高送转, 包装印刷, ",12.33亿
13,300561.SZ,汇金科技,软件服务,21.43,4.1808,"物联网, 互联网金融, 云计算, 高送转, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, ",14.49亿
14,300688.SZ,创业黑马,综合类,38.27,3.4884,"高送转-预期, 独角兽, 创投, ",13.98亿
15,002565.SZ,顺灏股份,造纸,14.15,3.1341,"高送转, 包装印刷, 强势人气股, 工业大麻, ",99.96亿
16,002831.SZ,裕同科技,广告包装,21.66,2.7514,"社保重仓, 回购, 人民币贬值受益, 高送转, 包装印刷, ",56.26亿
17,300429.SZ,强力新材,化工原料,12.53,2.6208,"OLED, 高送转, 半导体, ",33.9亿
18,300448.SZ,浩云科技,软件服务,13.07,2.5098,"回购, 物联网, 大数据, 高送转, 国产软件, 股权转让, 智慧安防, ",31.72亿
19,002464.SZ,众应互联,互联网,11.8,2.4306,"大数据, 高送转, 游戏, 手游, ",38.48亿
20,002001.SZ,新和成,化学制药,20.07,2.3457,"MSCI, 新进指数成份股, 高送转-预期, 社保重仓, 业绩预增, 医药, 化学药, 维生素, ",425.78亿
21,002761.SZ,多喜爱,纺织,13.75,2.0787,"纺织服装, 高质押率, 高送转-填权, 举牌股, 人工智能, 股权转让, 年报季报, ",47.44亿
22,300493.SZ,润欣科技,通信设备,10.17,2.006,"5G, 定增破发, 移动支付, 高送转, 半导体, 智慧城市, 共享经济, 智慧安防, ",30.51亿
23,002776.SZ,柏堡龙,服饰,25.45,2.004,"社保重仓, 纺织服装, 特色小镇, 高送转, ",91.79亿
