,ts_code,name,industry,COL_LASTPRICE,COL_LAST_PCT_CHG,concept,circ_mv
0,300748.SZ,金力永磁,元器件,30.63,7.2479,"稀土磁材, ",12.74亿
1,000795.SZ,英洛华,矿物制品,7.5,4.4568,"业绩预增, 稀土磁材, 智能制造, 机器人, ",66.48亿
2,000831.SZ,五矿稀土,小金属,16.01,0.6285,"央企改革, 业绩预增, 稀土磁材, ",157.04亿
3,600111.SH,北方稀土,小金属,12.73,-0.2351,"MSCI, 内蒙古, 稀土磁材, ",462.49亿
4,002600.SZ,领益智造,元器件,6.38,-1.6949,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, ",94.93亿
5,600549.SH,厦门钨业,小金属,14.7,-1.8036,"MSCI, 有色金属, 有色-钴, 有色-钼, 稀土磁材, 有色-钨, 锂电池, 新能源汽车, 石墨烯, ",206.69亿
6,603701.SH,德宏股份,汽车配件,14.0,-2.0979,"汽车零部件, 稀土磁材, ",20.02亿
7,000636.SZ,风华高科,元器件,12.83,-2.3592,"5G, 被动元件, 华为产业链, 业绩预增, 稀土磁材, 锂电池, 新能源汽车, ",114.86亿
8,000727.SZ,华东科技,元器件,2.25,-2.5974,"国家队重仓, 央企改革, 军工研究所, 军工, 稀土磁材, 低价股, 强势人气股, ",65.94亿
9,600362.SH,江西铜业,铜,14.56,-2.6738,"MSCI, 有色金属, 参股券商, 破净股, 稀土磁材, 有色-铜, ",302.16亿
10,300224.SZ,正海磁材,元器件,7.47,-2.987,"超级高铁, 百度概念股, 稀土磁材, ",54.98亿
11,600980.SH,北矿科技,元器件,15.31,-3.1013,"央企改革, 稀土磁材, ",23.3亿
12,600366.SH,宁波韵升,电器仪表,9.08,-3.1983,"特斯拉, 回购, 稀土磁材, 苹果产业链, 创投, ",89.81亿
13,002240.SZ,威华股份,家居用品,8.4,-3.3372,"业绩预增, 定增破发, 稀土磁材, 土地流转, 锂电池, 新能源汽车, 家具家居, ",41.21亿
14,600330.SH,天通股份,元器件,7.79,-3.4696,"OLED, 特斯拉, 军工研究所, 业绩预增, 军工, 稀土磁材, 无线充电, 新能源汽车, 半导体, 充电桩, ",77.63亿
15,002002.SZ,鸿达兴业,化工原料,5.43,-3.5524,"PVC, 供应链金融, 定增破发, 稀土磁材, 土地流转, 燃料电池, ",138.45亿
16,601600.SH,中国铝业,铝,4.06,-3.5629,"有色-铝, MSCI, 中字头, 央企改革, 有色金属, 债转股-AMC, 定增破发, 稀土磁材, ",444.97亿
17,600478.SH,科力远,元器件,5.68,-3.8917,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, ",83.48亿
18,600010.SH,包钢股份,普钢,1.71,-3.9326,"MSCI, 钢铁, 内蒙古, 航母, 债转股-AMC, 稀土磁材, 低价股, ",541.68亿
19,600206.SH,有研新材,半导体,9.52,-4.0323,"OLED, 央企改革, 业绩预增, 稀土磁材, 雄安-建材, 雄安新区, 半导体, LED, 科创板概念股, ",79.85亿
20,300340.SZ,科恒股份,元器件,17.85,-4.1353,"宁德时代概念股, 稀土磁材, 锂电池, 燃料电池, 新能源汽车, 国资入股, ",27.32亿
21,600193.SH,ST创兴,装修装饰,3.1,-4.321,"稀土磁材, ST股, 壳公司, ",13.19亿
22,000758.SZ,中色股份,铅锌,5.15,-4.4527,"有色-铝, 有色-锌, 东盟博览会, 央企改革, 有色金属, 大基建, 稀土磁材, ",101.41亿
23,600392.SH,盛和资源,小金属,11.71,-5.5645,"有色-锆, MSCI, 回购, 有色金属, 稀土磁材, 海南自由贸易港, 自贸区, 自由贸易港, 有色-钛, ",167.95亿
24,000969.SZ,安泰科技,钢加工,8.51,-5.8628,"碳纤维, 央企改革, 有色金属, 业绩预增, 有色-钼, 稀土磁材, 有色-钨, 小米概念股, 燃料电池, 3D打印, 智能制造, 无线充电, ",83.98亿
25,000970.SZ,中科三环,元器件,10.98,-6.0736,"特斯拉, 超级高铁, 中科院系, 稀土磁材, ",116.96亿
26,300127.SZ,银河磁体,元器件,14.95,-6.2108,"特斯拉, 稀土磁材, ",33.95亿
27,002056.SZ,横店东磁,元器件,7.55,-6.5594,"特斯拉, 回购, 光伏, 稀土磁材, 无线充电, 工业互联网, 苹果产业链, ",124.0亿
28,600259.SH,广晟有色,小金属,40.65,-6.6804,"有色金属, 债转股-AMC, 稀土磁材, 有色-钨, ",106.55亿
29,002057.SZ,中钢天源,元器件,16.58,-8.2965,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 燃料电池, 新能源汽车, 高送转, ",53.0亿
