,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LASTPRICE,concept,circ_mv
0,600734.SH,600734,实达集团,电脑设备,6.0,13.11,"华为产业链, 物联网, 高质押率, 智慧城市, 国产操作系统, 智慧安防, 创投, ",46.5亿
1,002119.SZ,002119,康强电子,半导体,5.0,16.07,"移动支付, 举牌股, 半导体, 股权争夺, ",59.06亿
2,300777.SZ,300777,N中简,化纤,5.0,14.06,,5.63亿
3,300776.SZ,300776,帝尔激光,专用机械,4.0,121.67,,20.12亿
4,600476.SH,600476,湘邮科技,软件服务,3.0,21.03,"智慧物流, 雄安-智慧城市, 北斗导航, 智能制造, 雄安新区, 快递物流, 国产软件, 独角兽, 蚂蚁金服概念股, ",33.87亿
5,300313.SZ,300313,天山生物,农业综合,3.0,6.66,"赛马, 新疆, 定增破发, 土地流转, ",12.15亿
6,300210.SZ,300210,森远股份,专用机械,2.0,4.81,"雄安-建材, 3D打印, 智能制造, 雄安新区, 雄安-工程基建, ",19.25亿
7,600035.SH,600035,楚天高速,路桥,2.0,4.13,"高速公路, 破净股, ",63.05亿
8,300371.SZ,300371,汇中股份,电器仪表,2.0,12.93,"物联网, 智能仪表, 京津冀, ",15.45亿
9,300366.SZ,300366,创意信息,软件服务,2.0,11.32,"5G, 华为产业链, 大数据, 云计算, 智慧城市, 国产软件, ",36.46亿
10,300245.SZ,300245,天玑科技,软件服务,2.0,11.34,"阿里巴巴概念股, 美团概念股, 定增破发, 大数据, 云计算, 工业互联网, 国产操作系统, ",29.44亿
11,603189.SH,603189,网达软件,软件服务,2.0,16.3,"直播/短视频, 人工智能, 智慧城市, 国产软件, 国产操作系统, 独角兽, ",17.95亿
12,002232.SZ,002232,启明信息,软件服务,2.0,10.13,"混改, 央企改革, 物联网, 无人驾驶, 铁总混改, 北斗导航, 工业互联网, 国产操作系统, ",40.9亿
13,600604.SH,600604,市北高新,园区开发,1.0,14.65,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, ",195.46亿
14,600584.SH,600584,长电科技,半导体,1.0,14.54,"MSCI, 定增破发, 移动支付, 半导体, 苹果产业链, ",143.16亿
15,600770.SH,600770,综艺股份,综合类,1.0,7.29,"光伏, 半导体, 彩票, 国产芯片, 游戏, 手游, 创投, ",94.77亿
16,600980.SH,600980,北矿科技,元器件,1.0,16.84,"央企改革, 稀土磁材, ",25.63亿
17,600225.SH,600225,天津松江,区域地产,1.0,3.48,"国家队重仓, 房地产, 京津冀, 云计算, 智慧城市, 天津国企改革, 股权转让, 体育产业, ",32.46亿
18,600158.SH,600158,中体产业,文教休闲,1.0,11.98,"赛马, 特色小镇, 房地产, 足球, 彩票, 资产重组, 体育产业, ",78.77亿
19,600128.SH,600128,弘业股份,商贸代理,1.0,8.27,"期货概念, 强势人气股, 创投, ",20.41亿
20,603638.SH,603638,艾迪精密,专用机械,1.0,21.75,"业绩预增, 机械, ",27.36亿
21,000652.SZ,000652,泰达股份,批发业,1.0,4.08,"固废处理, 债转股-AMC, 雄安-金融, 万达系, 环保, 雄安新区, 京津冀, 流感, 天津国企改革, 科创板概念股, ",60.14亿
22,300493.SZ,300493,润欣科技,通信设备,1.0,12.82,"5G, 定增破发, 移动支付, 高送转, 半导体, 智慧城市, 共享经济, 智慧安防, ",38.46亿
23,300748.SZ,300748,金力永磁,元器件,1.0,33.69,"稀土磁材, ",14.02亿
24,300671.SZ,300671,富满电子,半导体,1.0,20.88,"半导体, 国产芯片, LED, ",7.41亿
25,000795.SZ,000795,英洛华,矿物制品,1.0,8.25,"业绩预增, 稀土磁材, 智能制造, 机器人, ",73.13亿
26,300480.SZ,300480,光力科技,电器仪表,1.0,14.05,"军工, 军民融合, 定增破发, 半导体, ",14.83亿
27,300370.SZ,300370,安控科技,电器仪表,1.0,4.73,"油服, 油气改革, 天然气, 石油化工, 兜底式增持, 物联网, 工业自动化, 海南自由贸易港, 智能制造, 自贸区, 工业互联网, 智慧城市, 自由贸易港, 国产芯片, 智慧安防, 机器人, 创投, 透明工厂, ",34.17亿
28,300287.SZ,300287,飞利信,软件服务,1.0,4.92,"教育, 物联网, 雄安-智慧城市, 雄安新区, 京津冀, 大数据, 药品信息化追溯, 云计算, 人工智能, 区块链, 智慧城市, 国产芯片, 国资入股, 智慧安防, ",55.32亿
29,300195.SZ,300195,长荣股份,轻工机械,1.0,9.16,"回购, 破净股, 储能, 半导体, 包装印刷, 独角兽, ",27.73亿
30,300074.SZ,300074,华平股份,通信设备,1.0,4.73,"教育, 互联网医疗, 智慧城市, 国产软件, 医疗信息化, 智慧安防, 手势识别, 无人银行, 创投, ",23.08亿
31,002947.SZ,002947,恒铭达,元器件,1.0,37.09,"次新股, 业绩预增, ",11.27亿
32,002869.SZ,002869,金溢科技,通信设备,1.0,29.39,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, ",13.23亿
33,002243.SZ,002243,通产丽星,塑料,1.0,17.51,"业绩预增, 包装印刷, 资产重组, 深圳本地股/深汕合作, 富勒烯, 创投, ",63.9亿
34,002049.SZ,002049,紫光国微,元器件,1.0,45.11,"MSCI, 物联网, 移动支付, 半导体, 高校系, 国产芯片, ",
35,603977.SH,603977,国泰集团,化工原料,1.0,8.15,"定增破发, 股权转让, 民爆, 高铁轨交, 资产重组, ",14.34亿
