,ts_code,name,industry,COL_LASTPRICE,concept,circ_mv
0,603258.SH,电魂网络,互联网,29.59,"阿里巴巴概念股, 腾讯概念股, 游戏, 手游, ",34.48亿
1,002107.SZ,沃华医药,中成药,11.23,"医药, 中药, ",39.11亿
2,000912.SZ,泸天化,农药化肥,6.61,"甲醇, 煤化工, 化肥, ST摘帽, ",103.64亿
3,601038.SH,一拖股份,农用机械,8.11,"央企改革, 乡村振兴, 债转股-AMC, 农机, ",48.17亿
4,600844.SH,丹化科技,化工原料,4.68,"有色-锌, 有色金属, 资产重组, ",38.5亿
5,600710.SH,苏美达,工程机械,6.58,"央企改革, 智能制造, 机器人, ",42.13亿
6,300301.SZ,长方集团,半导体,5.78,"教育, LED, ",34.81亿
7,002552.SZ,宝鼎科技,机械基件,8.16,"海工装备, 军工, 军民融合, 定增破发, ST摘帽, ",16.33亿
8,603099.SH,长白山,旅游景点,11.1,"振兴东北, 旅游, 体育产业, ",29.6亿
9,002868.SZ,绿康生化,农业综合,19.83,"社保重仓, 动物保健, ",7.63亿
10,603686.SH,龙马环卫,专用机械,16.53,"定增破发, PPP, ",49.08亿
11,600853.SH,龙建股份,建筑施工,5.15,"振兴东北, 大基建, PPP, ",27.65亿
12,300081.SZ,恒信东方,文教休闲,12.93,"回购, 雄安-智慧城市, 雄安新区, VR&AR, 独角兽, 手势识别, 动漫, ",40.9亿
13,002875.SZ,安奈儿,服饰,20.83,"纺织服装, ",8.2亿
14,002636.SZ,金安国纪,元器件,10.31,"玻纤, ",25.41亿
15,000518.SZ,四环生物,生物制药,4.0,"医药, 流感, 举牌股, 强势人气股, ",41.18亿
16,300730.SZ,科创信息,软件服务,22.69,"智能制造, 大数据, 工业互联网, 国产软件, 机器视觉, ",17.15亿
17,600421.SH,*ST仰帆,综合类,14.44,"股权争夺, ST股, 壳公司, ",
18,300311.SZ,任子行,软件服务,7.59,"网络安全, 创业板人气股, 大数据, 国产软件, 京东金融概念股, 独角兽, 游戏, 创投, ",34.87亿
19,300518.SZ,盛讯达,软件服务,27.85,"高质押率, 游戏, 手游, ",13.03亿
20,002334.SZ,英威腾,电气设备,6.0,"光伏, 工业自动化, 燃料电池, 智能制造, 新能源汽车, 工业互联网, 高铁轨交, 机器人, 充电桩, 透明工厂, ",36.56亿
21,002949.SZ,华阳国际,建筑施工,27.74,"次新股, 装配式建筑, 装修装饰, ",13.6亿
22,600509.SH,天富能源,火力发电,5.85,"火电, 电改, 国家队重仓, 破净股, 天然气, 新疆, 定增破发, 新疆国企改革, ",52.98亿
23,002517.SZ,恺英网络,互联网,3.71,"回购, 直播/短视频, 区块链, 电竞, VR&AR, 游戏, 手游, 动漫, ",78.63亿
24,300190.SZ,维尔利,环境保护,6.97,"固废处理, 回购, 业绩预增, 定增破发, 环保, 污水处理, ",49.79亿
25,300482.SZ,万孚生物,生物制药,39.8,"回购, 芬太尼概念, 基因测序, 医疗器械, 体外诊断, 工业大麻, ",95.36亿
26,300605.SZ,恒锋信息,软件服务,21.96,"养老产业, 数字中国, 高送转, 智慧城市, 国产软件, 智慧安防, ",10.66亿
27,300542.SZ,新晨科技,软件服务,14.98,"华为产业链, 军工, 军民融合, 高送转-填权, 区块链, 国产软件, ",12.69亿
28,300052.SZ,中青宝,互联网,11.2,"创业板人气股, 云计算, 区块链, 彩票, 游戏, 手游, ",29.12亿
29,000803.SZ,金宇车城,电气设备,17.7,"风电, 光伏, ST摘帽, ",22.61亿
30,002566.SZ,益盛药业,中成药,7.5,"保健品, 食品, 医药, 中药, ",17.08亿
31,601200.SH,上海环境,环境保护,11.61,"固废处理, 环保, 上海国企改革, 污水处理, ",101.47亿
32,603177.SH,德创环保,环境保护,11.34,"大气治理, 环保, ",7.0亿
33,002888.SZ,惠威科技,元器件,20.86,"智能音箱, ",7.42亿
34,002136.SZ,安纳达,化工原料,9.11,"安徽国企改革, 钛白粉, ",19.5亿
35,600061.SH,国投资本,证券,14.14,"MSCI, 券商, 央企改革, 雄安-金融, 雄安新区, ",590.18亿
36,002759.SZ,天际股份,家用电器,13.52,"业绩预增, 小家电, 高质押率, 家电, 锂电池, 新能源汽车, ",25.43亿
37,300494.SZ,盛天网络,互联网,11.91,"互联网金融, 电竞, 游戏, 手游, 创投, ",26.99亿
38,600593.SH,大连圣亚,旅游服务,36.07,"主题公园, 旅游, ",46.46亿
39,300384.SZ,三联虹普,纺织机械,18.1,"锦纶（尼龙）, 工业自动化, 智能制造, 互联网金融, 大数据, ",32.92亿
40,603726.SH,朗迪集团,机械基件,18.9,"白色家电, 家电, ",25.06亿
41,603388.SH,元成股份,建筑施工,11.85,"园林, PPP, ",10.08亿
42,603665.SH,康隆达,纺织,26.07,"纺织服装, ",9.72亿
43,002168.SZ,惠程科技,互联网,9.4,"碳纤维, 回购, 大数据, 举牌股, 资产重组, 游戏, 手游, ",74.27亿
44,002205.SZ,国统股份,其他建材,19.03,"一带一路, 央企改革, 新疆, 地下管廊, 水利, 海绵城市, PPP, 新疆国企改革, 股权转让, ",22.1亿
45,600861.SH,北京城乡,百货,8.3,"北京城市规划, 新零售, ",26.29亿
46,600882.SH,妙可蓝多,乳制品,10.49,"回购, 食品, 乳业（奶粉）, ",42.59亿
