,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS
0,603987.SH,603987,康德莱,医疗保健,7.35,3321.96
1,600298.SH,600298,安琪酵母,食品,30.76,3132.96
2,000883.SZ,000883,湖北能源,火力发电,4.42,3128.85
3,601699.SH,601699,潞安环能,煤炭开采,8.27,2748.72
4,300658.SZ,300658,延江股份,纺织,13.58,2514.49
5,000767.SZ,000767,漳泽电力,火力发电,2.86,2465.19
6,002607.SZ,002607,中公教育,文教休闲,13.29,2400.04
7,601088.SH,601088,中国神华,煤炭开采,20.01,2167.04
8,600515.SH,600515,海航基础,全国地产,5.04,1892.23
9,002830.SZ,002830,名雕股份,装修装饰,15.53,1776.8
10,600593.SH,600593,大连圣亚,旅游服务,36.07,1754.91
11,002010.SZ,002010,传化智联,仓储物流,8.15,1599.67
12,000001.SZ,000001,平安银行,银行,13.07,1587.13
13,600456.SH,600456,宝钛股份,小金属,22.5,1404.52
14,601669.SH,601669,中国电建,建筑施工,5.26,1254.09
15,002250.SZ,002250,联化科技,化工原料,10.99,1245.54
16,300587.SZ,300587,天铁股份,橡胶,21.78,1241.0
17,300636.SZ,300636,同和药业,化学制药,19.81,1218.06
18,300469.SZ,300469,信息发展,软件服务,23.4,1205.44
19,601155.SH,601155,新城控股,区域地产,38.84,1185.03
20,300457.SZ,300457,赢合科技,专用机械,25.0,1120.04
21,603520.SH,603520,司太立,化学制药,31.29,1094.62
22,603779.SH,603779,威龙股份,红黄药酒,14.78,1092.44
23,600185.SH,600185,格力地产,区域地产,4.86,1076.55
24,600845.SH,600845,宝信软件,软件服务,33.68,1029.25
25,603607.SH,603607,京华激光,造纸,21.59,1020.55
26,000913.SZ,000913,钱江摩托,摩托车,10.86,1001.68
27,600547.SH,600547,山东黄金,黄金,35.5,995.8
28,603259.SH,603259,药明康德,化学制药,85.72,989.16
29,601888.SH,601888,中国国旅,旅游服务,82.67,987.59
30,600060.SH,600060,海信电器,家用电器,8.58,984.25
31,002817.SZ,002817,黄山胶囊,化学制药,20.2,973.53
