,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE
0,002552.SZ,宝鼎科技,机械基件,19.38,7.27
1,300526.SZ,中潜股份,服饰,53.0,7.16
2,002201.SZ,九鼎新材,玻璃,21.95,5.45
3,300417.SZ,南华仪器,电器仪表,54.7,4.86
4,600745.SH,闻泰科技,通信设备,70.69,4.76
5,002463.SZ,沪电股份,元器件,24.5,4.4
6,002241.SZ,歌尔股份,元器件,17.58,4.21
7,300492.SZ,山鼎设计,建筑工程,46.45,3.89
8,300777.SZ,中简科技,化纤,34.19,3.71
9,300322.SZ,硕贝德,通信设备,24.86,3.58
10,603068.SH,博通集成,半导体,105.0,3.54
11,300379.SZ,东方通,软件服务,37.49,3.43
12,002869.SZ,金溢科技,通信设备,57.85,3.41
13,603501.SH,韦尔股份,半导体,98.11,3.4
14,600696.SH,ST岩石,区域地产,13.02,3.38
15,300661.SZ,圣邦股份,元器件,171.53,3.37
16,300552.SZ,万集科技,软件服务,45.83,3.32
17,600183.SH,生益科技,元器件,24.94,3.32
18,603986.SH,兆易创新,半导体,145.38,3.23
19,600052.SH,浙江广厦,影视音像,5.25,3.13
20,300602.SZ,飞荣达,元器件,44.42,3.05
21,300223.SZ,北京君正,半导体,49.4,3.04
22,002524.SZ,光正集团,医疗保健,8.52,2.92
23,300579.SZ,数字认证,软件服务,40.28,2.91
24,603787.SH,新日股份,摩托车,21.58,2.9
25,603129.SH,春风动力,摩托车,33.3,2.89
26,000799.SZ,酒鬼酒,白酒,39.55,2.85
27,002916.SZ,深南电路,元器件,151.0,2.81
28,603283.SH,赛腾股份,专用机械,31.14,2.79
29,300776.SZ,帝尔激光,专用机械,155.7,2.78
30,300657.SZ,弘信电子,元器件,35.53,2.69
31,002938.SZ,鹏鼎控股,元器件,40.12,2.67
32,603882.SH,金域医学,医疗保健,55.98,2.67
33,300326.SZ,凯利泰,医疗保健,14.8,2.64
34,300659.SZ,中孚信息,软件服务,56.0,2.57
35,600812.SH,华北制药,化学制药,7.13,2.57
36,300566.SZ,激智科技,元器件,24.9,2.56
37,002850.SZ,科达利,机械基件,32.2,2.48
38,300363.SZ,博腾股份,化学制药,13.75,2.46
39,002169.SZ,智光电气,电气设备,7.8,2.45
40,603160.SH,汇顶科技,元器件,203.4,2.45
41,300585.SZ,奥联电子,汽车配件,16.03,2.41
42,603012.SH,创力集团,专用机械,15.03,2.41
43,300306.SZ,远方信息,电器仪表,12.96,2.4
44,002881.SZ,美格智能,通信设备,30.31,2.4
45,002600.SZ,领益智造,元器件,9.36,2.39
46,300537.SZ,广信材料,染料涂料,20.56,2.38
47,300475.SZ,聚隆科技,专用机械,16.67,2.36
48,300136.SZ,信维通信,通信设备,35.8,2.36
49,002194.SZ,武汉凡谷,通信设备,22.67,2.32
50,300624.SZ,万兴科技,软件服务,70.8,2.32
51,000049.SZ,德赛电池,电气设备,40.75,2.3
52,300653.SZ,正海生物,医疗保健,83.26,2.3
53,300093.SZ,金刚玻璃,玻璃,11.38,2.3
54,300595.SZ,欧普康视,医疗保健,49.69,2.28
55,603186.SH,华正新材,元器件,39.4,2.26
56,300462.SZ,华铭智能,专用机械,24.91,2.25
57,600882.SH,妙可蓝多,乳制品,15.46,2.24
58,002947.SZ,恒铭达,元器件,54.87,2.21
59,002387.SZ,维信诺,元器件,16.97,2.18
60,603566.SH,普莱柯,生物制药,18.45,2.17
61,603456.SH,九洲药业,化学制药,12.45,2.17
62,603978.SH,深圳新星,铝,32.3,2.13
63,300433.SZ,蓝思科技,元器件,10.3,2.13
64,000043.SZ,中航善达,房产服务,17.01,2.1
65,002822.SZ,中装建设,装修装饰,8.3,2.09
66,603127.SH,昭衍新药,医疗保健,67.8,2.07
67,300436.SZ,广生堂,化学制药,38.52,2.06
68,300328.SZ,宜安科技,铝,13.37,2.03
69,300576.SZ,容大感光,染料涂料,23.08,2.01
70,300088.SZ,长信科技,元器件,7.44,2.0
71,603118.SH,共进股份,通信设备,13.88,1.99
72,002396.SZ,星网锐捷,通信设备,30.8,1.99
73,300601.SZ,康泰生物,生物制药,74.24,1.98
74,002901.SZ,大博医疗,医疗保健,47.33,1.96
75,000066.SZ,中国长城,IT设备,12.9,1.96
76,600584.SH,长电科技,半导体,17.21,1.95
77,300416.SZ,苏试试验,电器仪表,24.99,1.95
78,300214.SZ,日科化学,化工原料,8.37,1.95
79,002123.SZ,梦网集团,互联网,16.83,1.94
80,600592.SH,龙溪股份,机械基件,16.55,1.93
81,300613.SZ,富瀚微,半导体,124.3,1.93
82,300346.SZ,南大光电,元器件,13.13,1.93
83,300570.SZ,太辰光,元器件,30.2,1.92
84,603078.SH,江化微,化工原料,31.54,1.92
85,300482.SZ,万孚生物,生物制药,48.8,1.92
86,002456.SZ,欧菲光,元器件,11.9,1.9
87,002706.SZ,良信电器,电气设备,7.96,1.87
88,300502.SZ,新易盛,通信设备,34.58,1.87
89,600143.SH,金发科技,塑料,6.61,1.85
90,603377.SH,东方时尚,汽车服务,21.94,1.85
91,002786.SZ,银宝山新,专用机械,10.58,1.84
92,603936.SH,博敏电子,元器件,22.0,1.84
93,300655.SZ,晶瑞股份,化工原料,20.82,1.83
94,300755.SZ,华致酒行,其他商业,48.03,1.82
95,300211.SZ,亿通科技,通信设备,8.37,1.81
96,603317.SH,天味食品,食品,51.98,1.81
97,603516.SH,淳中科技,通信设备,31.25,1.81
98,300709.SZ,精研科技,元器件,58.31,1.8
99,002436.SZ,兴森科技,元器件,7.63,1.8
100,601595.SH,上海电影,影视音像,18.99,1.8
101,002402.SZ,和而泰,元器件,12.66,1.79
102,300357.SZ,我武生物,生物制药,41.28,1.78
103,603429.SH,集友股份,广告包装,34.79,1.77
104,600536.SH,中国软件,软件服务,71.78,1.76
105,600703.SH,三安光电,半导体,14.08,1.74
106,002479.SZ,富春环保,火力发电,7.31,1.74
107,002048.SZ,宁波华翔,汽车配件,14.93,1.73
108,600004.SH,白云机场,机场,22.45,1.73
109,603267.SH,鸿远电子,元器件,52.77,1.73
110,002384.SZ,东山精密,通信设备,19.7,1.72
111,600095.SH,哈高科,区域地产,8.85,1.72
112,601519.SH,大智慧,软件服务,9.02,1.7
113,000021.SZ,深科技,IT设备,11.13,1.7
114,300315.SZ,掌趣科技,互联网,4.74,1.69
115,603811.SH,诚意药业,化学制药,25.66,1.69
116,002653.SZ,海思科,化学制药,18.14,1.69
117,002531.SZ,天顺风能,电气设备,6.98,1.69
118,002351.SZ,漫步者,IT设备,7.52,1.68
119,603556.SH,海兴电力,电器仪表,18.65,1.68
120,002819.SZ,东方中科,电器仪表,30.95,1.68
121,600363.SH,联创光电,元器件,12.53,1.68
122,300639.SZ,凯普生物,医疗保健,19.31,1.68
123,603859.SH,能科股份,软件服务,26.35,1.67
124,300251.SZ,光线传媒,影视音像,9.36,1.67
125,300331.SZ,苏大维格,元器件,22.95,1.67
126,000037.SZ,深南电A,火力发电,13.71,1.67
127,300474.SZ,景嘉微,元器件,54.6,1.65
128,002555.SZ,三七互娱,互联网,18.03,1.65
129,300458.SZ,全志科技,元器件,27.9,1.65
130,300729.SZ,乐歌股份,家居用品,30.15,1.64
131,601100.SH,恒立液压,工程机械,38.5,1.64
132,000988.SZ,华工科技,电器仪表,18.98,1.63
133,603042.SH,华脉科技,通信设备,17.68,1.62
134,300151.SZ,昌红科技,机械基件,8.65,1.62
135,300638.SZ,广和通,通信设备,63.8,1.61
136,300738.SZ,奥飞数据,电信运营,34.52,1.61
137,002642.SZ,*ST荣联,软件服务,6.32,1.6
138,300682.SZ,朗新科技,软件服务,23.79,1.6
139,000603.SZ,盛达矿业,铅锌,13.8,1.6
140,600984.SH,建设机械,工程机械,9.0,1.59
141,300058.SZ,蓝色光标,广告包装,5.93,1.58
142,002607.SZ,中公教育,文教休闲,16.27,1.58
143,002886.SZ,沃特股份,塑料,25.34,1.57
144,002945.SZ,华林证券,证券,15.92,1.57
145,002915.SZ,中欣氟材,化工原料,27.84,1.56
146,002942.SZ,新农股份,农药化肥,34.73,1.55
147,002414.SZ,高德红外,电器仪表,23.76,1.54
148,601808.SH,中海油服,石油开采,12.25,1.53
149,603658.SH,安图生物,医疗保健,88.51,1.53
150,603226.SH,菲林格尔,家居用品,29.4,1.52
151,300759.SZ,康龙化成,化学制药,46.55,1.51
152,300581.SZ,晨曦航空,航空,19.82,1.5
153,002036.SZ,联创电子,元器件,14.2,1.5
154,601137.SH,博威合金,铜,11.0,1.5
155,300386.SZ,飞天诚信,软件服务,14.76,1.5
156,603079.SH,圣达生物,食品,35.84,1.49
157,300480.SZ,光力科技,电器仪表,16.8,1.49
158,600146.SH,商赢环球,服饰,19.04,1.48
159,300134.SZ,大富科技,通信设备,17.87,1.48
160,600933.SH,爱柯迪,汽车配件,10.46,1.48
161,002152.SZ,广电运通,IT设备,8.62,1.47
162,300622.SZ,博士眼镜,其他商业,24.56,1.47
163,002409.SZ,雅克科技,化工原料,20.62,1.46
164,600588.SH,用友网络,软件服务,30.89,1.46
165,300548.SZ,博创科技,元器件,43.4,1.45
166,600763.SH,通策医疗,医疗保健,102.5,1.43
167,002801.SZ,微光股份,电气设备,36.18,1.43
168,300685.SZ,艾德生物,生物制药,65.71,1.43
169,603738.SH,泰晶科技,元器件,20.15,1.42
