,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE
0,000677.SZ,恒天海龙,化纤,4.83,2.17,2.8
1,603520.SH,司太立,化学制药,40.96,2.12,4.07
2,600212.SH,江泉实业,综合类,5.76,2.19,4.41
3,300311.SZ,任子行,软件服务,9.6,2.09,4.51
4,000868.SZ,*ST安凯,汽车整车,4.21,2.3,4.99
5,300525.SZ,博思软件,软件服务,37.97,3.82,6.37
6,601872.SH,招商轮船,水运,5.95,2.01,6.41
7,002626.SZ,金达威,食品,18.22,2.07,6.55
8,603477.SH,振静股份,纺织,12.65,3.18,6.69
9,300775.SZ,三角防务,航空,38.24,2.79,6.78
10,300595.SZ,欧普康视,医疗保健,52.18,2.1,7.03
11,002785.SZ,万里石,其他建材,14.77,2.23,7.32
12,300357.SZ,我武生物,生物制药,44.92,2.03,7.68
13,300416.SZ,苏试试验,电器仪表,27.99,2.33,8.55
14,300202.SZ,聚龙股份,专用机械,11.34,2.76,8.91
15,300735.SZ,光弘科技,通信设备,26.39,2.07,9.25
16,300685.SZ,艾德生物,生物制药,77.38,2.28,9.93
17,002045.SZ,国光电器,元器件,8.32,2.72,10.37
18,300639.SZ,凯普生物,医疗保健,24.69,3.27,10.5
19,300759.SZ,康龙化成,化学制药,57.22,2.68,10.66
20,002800.SZ,天顺股份,仓储物流,30.51,2.54,10.68
21,300214.SZ,日科化学,化工原料,9.81,2.88,10.74
22,300244.SZ,迪安诊断,医疗保健,25.5,2.06,10.93
23,300624.SZ,万兴科技,软件服务,77.12,2.17,11.07
24,002835.SZ,同为股份,元器件,14.79,2.21,11.83
25,300566.SZ,激智科技,元器件,24.1,2.06,12.35
26,603317.SH,天味食品,食品,55.8,2.08,12.68
27,300613.SZ,富瀚微,半导体,151.5,2.72,13.24
28,300306.SZ,远方信息,电器仪表,14.94,3.18,13.97
29,300598.SZ,诚迈科技,软件服务,79.61,6.35,14.56
30,000049.SZ,德赛电池,电气设备,40.25,2.2,14.56
31,300326.SZ,凯利泰,医疗保健,17.48,3.79,14.72
32,603127.SH,昭衍新药,医疗保健,73.5,2.55,15.37
33,300136.SZ,信维通信,通信设备,37.22,2.55,15.37
34,300433.SZ,蓝思科技,元器件,13.28,3.69,15.41
35,603129.SH,春风动力,摩托车,33.96,2.84,15.78
36,300502.SZ,新易盛,通信设备,37.0,2.11,15.99
37,002916.SZ,深南电路,元器件,152.32,3.11,16.53
38,002634.SZ,棒杰股份,服饰,8.5,2.16,16.85
39,002947.SZ,恒铭达,元器件,62.53,2.26,17.46
40,603456.SH,九洲药业,化学制药,12.51,2.18,18.78
41,300657.SZ,弘信电子,元器件,34.2,2.17,20.42
42,002524.SZ,光正集团,医疗保健,12.6,5.73,20.49
43,002901.SZ,大博医疗,医疗保健,56.95,3.16,20.7
44,603516.SH,淳中科技,通信设备,35.05,2.06,20.81
45,300602.SZ,飞荣达,元器件,45.57,3.38,21.71
46,603811.SH,诚意药业,化学制药,29.66,2.57,22.23
47,600052.SH,浙江广厦,影视音像,5.06,2.66,22.28
48,603986.SH,兆易创新,半导体,132.0,2.5,22.66
49,300492.SZ,山鼎设计,建筑工程,50.98,4.23,24.09
50,600984.SH,建设机械,工程机械,10.62,2.81,24.34
51,300363.SZ,博腾股份,化学制药,15.65,2.84,24.61
52,300379.SZ,东方通,软件服务,36.1,3.23,25.08
53,002600.SZ,领益智造,元器件,9.46,2.13,25.09
54,603658.SH,安图生物,医疗保健,96.22,2.03,25.61
55,600812.SH,华北制药,化学制药,6.91,2.27,26.61
56,002607.SZ,中公教育,文教休闲,18.88,2.36,28.9
57,300436.SZ,广生堂,化学制药,38.48,2.03,29.19
58,300482.SZ,万孚生物,生物制药,53.2,2.17,29.75
59,603012.SH,创力集团,专用机械,15.77,2.38,30.39
60,300537.SZ,广信材料,染料涂料,20.55,2.33,30.42
61,300322.SZ,硕贝德,通信设备,21.13,2.3,30.8
62,300093.SZ,金刚玻璃,玻璃,12.08,2.83,31.11
63,002568.SZ,百润股份,红黄酒,23.43,2.08,31.4
64,300012.SZ,华测检测,电器仪表,14.21,2.19,31.99
65,603068.SH,博通集成,半导体,106.59,2.97,32.05
66,603186.SH,华正新材,元器件,45.59,2.75,33.63
67,600882.SH,妙可蓝多,乳制品,14.65,2.22,33.63
68,603360.SH,百傲化学,化工原料,37.2,2.01,34.75
69,002241.SZ,歌尔股份,元器件,18.08,4.2,35.18
70,300462.SZ,华铭智能,专用机械,27.3,2.45,35.24
71,002938.SZ,鹏鼎控股,元器件,43.23,2.65,35.65
72,002123.SZ,梦网集团,互联网,21.21,3.38,36.51
73,002552.SZ,宝鼎科技,机械基件,25.0,8.75,36.84
74,300661.SZ,圣邦股份,元器件,177.88,3.15,38.78
75,300601.SZ,康泰生物,生物制药,83.7,2.56,38.98
76,002881.SZ,美格智能,通信设备,33.78,2.63,40.37
77,000043.SZ,中航善达,房产服务,18.8,2.88,43.77
78,300223.SZ,北京君正,半导体,48.92,2.31,45.66
79,603882.SH,金域医学,医疗保健,60.18,3.18,47.27
80,603160.SH,汇顶科技,元器件,192.5,2.43,51.71
81,600696.SH,ST岩石,区域地产,13.69,2.87,52.35
82,600095.SH,哈高科,区域地产,8.43,2.3,52.54
83,603787.SH,新日股份,摩托车,21.76,2.48,52.63
84,600183.SH,生益科技,元器件,24.92,2.69,52.66
85,600745.SH,闻泰科技,通信设备,68.77,3.41,53.3
86,603501.SH,韦尔股份,半导体,97.45,3.8,53.35
87,002463.SZ,沪电股份,元器件,24.5,4.24,61.91
88,300552.SZ,万集科技,软件服务,57.8,4.39,62.22
89,300417.SZ,南华仪器,电器仪表,48.1,3.61,80.15
90,002201.SZ,九鼎新材,玻璃,22.03,4.89,83.05
91,300573.SZ,兴齐眼药,化学制药,92.48,2.94,84.92
92,002869.SZ,金溢科技,通信设备,68.8,3.9,86.01
93,300526.SZ,中潜股份,服饰,50.5,5.49,98.57
