,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_CONTINUOUS_COUNT
0,300573.SZ,兴齐眼药,化学制药,86.77,2.61,5.14,42.0
1,002463.SZ,沪电股份,元器件,21.85,3.0,5.01,63.0
2,300552.SZ,万集科技,软件服务,77.9,6.42,4.78,36.0
3,002869.SZ,金溢科技,通信设备,71.55,3.64,4.09,36.0
4,300526.SZ,中潜股份,服饰,48.58,5.11,3.95,35.0
5,002714.SZ,牧原股份,农业综合,94.65,2.27,3.89,48.0
6,603186.SH,华正新材,元器件,51.2,3.17,3.52,42.0
7,600696.SH,ST岩石,区域地产,13.14,2.63,3.37,50.0
8,002201.SZ,九鼎新材,玻璃,21.08,4.29,3.18,16.0
9,300012.SZ,华测检测,电器仪表,13.92,2.1,3.05,76.0
10,002568.SZ,百润股份,红黄酒,27.72,3.12,2.91,38.0
11,300417.SZ,南华仪器,电器仪表,45.95,3.16,2.88,36.0
12,603501.SH,韦尔股份,半导体,107.28,4.01,2.82,36.0
13,002607.SZ,中公教育,文教休闲,19.95,2.46,2.78,41.0
14,002791.SZ,坚朗五金,其他建材,29.52,3.86,2.72,38.0
15,600745.SH,闻泰科技,通信设备,73.07,3.7,2.68,33.0
16,000043.SZ,中航善达,房产服务,19.49,3.34,2.63,48.0
17,002552.SZ,宝鼎科技,机械基件,21.24,5.63,2.61,9.0
18,002123.SZ,梦网集团,互联网,20.95,2.42,2.61,38.0
19,300345.SZ,红宇新材,钢加工,12.38,3.04,2.61,35.0
20,603882.SH,金域医学,医疗保健,53.5,2.46,2.53,41.0
21,300223.SZ,北京君正,半导体,53.85,3.18,2.51,36.0
22,603012.SH,创力集团,专用机械,16.8,2.44,2.51,60.0
23,603160.SH,汇顶科技,元器件,183.0,2.07,2.5,38.0
24,300492.SZ,山鼎设计,建筑工程,59.93,5.4,2.49,13.0
25,300661.SZ,圣邦股份,元器件,211.5,4.35,2.49,29.0
26,300014.SZ,亿纬锂能,电气设备,38.3,2.19,2.41,44.0
27,002241.SZ,歌尔股份,元器件,18.63,4.03,2.39,37.0
28,300598.SZ,诚迈科技,软件服务,79.76,6.03,2.34,9.0
29,600809.SH,山西汾酒,白酒,92.98,2.36,2.33,38.0
30,600095.SH,哈高科,区域地产,8.48,2.2,2.29,37.0
31,600183.SH,生益科技,元器件,23.35,2.27,2.27,38.0
32,300369.SZ,绿盟科技,软件服务,18.95,2.09,2.16,38.0
33,000661.SZ,长春高新,生物制药,475.8,2.4,2.1,35.0
34,300537.SZ,广信材料,染料涂料,20.76,2.35,2.05,37.0
35,300601.SZ,康泰生物,生物制药,86.47,2.8,2.05,35.0
36,603605.SH,珀莱雅,日用化工,90.2,2.14,2.05,43.0
37,002524.SZ,光正集团,医疗保健,10.15,3.75,2.02,15.0
