,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_DAILY_AGGRESSIVE_RATE
0,002351.SZ,漫步者,IT设备,21.03,9.14,3.24,67.05,87.08
1,300643.SZ,万通智控,汽车配件,18.89,5.3,2.08,60.03,28.45
2,002156.SZ,通富微电,半导体,13.42,2.52,1.34,27.02,23.5
3,300223.SZ,北京君正,半导体,77.83,4.72,3.63,34.2,21.38
4,603005.SH,晶方科技,半导体,31.42,3.25,1.7,42.58,12.13
5,300319.SZ,麦捷科技,元器件,12.17,3.71,1.6,20.73,11.21
6,002036.SZ,联创电子,元器件,16.29,2.34,1.24,32.2,9.91
7,300256.SZ,星星科技,元器件,5.91,2.49,1.46,24.19,6.12
8,300088.SZ,长信科技,元器件,8.29,2.13,1.58,7.99,5.79
9,002655.SZ,共达电声,元器件,16.05,3.77,1.84,41.37,5.56
10,300526.SZ,中潜股份,服饰,52.95,3.62,4.31,20.0,5.45
11,603501.SH,韦尔股份,半导体,144.9,4.43,3.81,28.59,4.53
12,603197.SH,保隆科技,汽车配件,30.85,2.49,1.48,26.97,4.5
13,000673.SZ,当代东方,影视音像,5.64,3.24,1.77,40.0,4.41
14,300277.SZ,海联讯,软件服务,11.07,2.89,1.57,30.03,4.24
15,300468.SZ,四方精创,软件服务,31.71,3.37,1.72,16.37,3.79
16,300474.SZ,景嘉微,元器件,67.47,2.63,1.51,27.61,3.56
17,600584.SH,长电科技,半导体,22.79,3.15,1.59,7.89,3.46
18,300632.SZ,光莆股份,半导体,27.19,2.57,1.41,16.61,3.09
19,002045.SZ,国光电器,元器件,14.15,5.74,2.51,20.92,3.0
20,300014.SZ,亿纬锂能,电气设备,49.58,2.63,3.11,6.68,2.76
21,600640.SH,号百控股,影视音像,20.51,2.96,1.35,20.34,2.68
22,300709.SZ,精研科技,元器件,89.2,2.82,2.98,5.0,2.58
23,600703.SH,三安光电,半导体,17.68,2.76,1.31,10.0,2.43
24,300341.SZ,麦克奥迪,电气设备,19.36,10.23,3.52,54.23,2.32
25,300115.SZ,长盈精密,元器件,17.87,2.52,1.49,9.99,2.29
26,603229.SH,奥翔药业,化学制药,23.32,3.62,1.79,25.02,2.04
27,300379.SZ,东方通,软件服务,38.7,2.76,1.77,7.42,1.98
28,002065.SZ,东华软件,软件服务,10.03,2.2,1.49,9.89,1.94
29,300315.SZ,掌趣科技,互联网,6.03,3.1,1.63,7.3,1.93
30,300202.SZ,聚龙股份,专用机械,12.48,2.41,1.45,12.18,1.89
31,300207.SZ,欣旺达,元器件,19.28,2.97,1.43,11.7,1.89
32,300598.SZ,诚迈科技,软件服务,112.0,6.95,3.29,18.21,1.7
33,300004.SZ,南风股份,电气设备,6.54,2.02,1.43,15.21,1.55
34,300767.SZ,震安科技,橡胶,56.56,2.97,1.4,12.92,1.48
35,603477.SH,振静股份,纺织,12.39,2.29,1.58,16.36,1.47
36,300438.SZ,鹏辉能源,电气设备,24.34,2.32,1.45,6.15,1.46
37,600812.SH,华北制药,化学制药,7.74,2.54,1.85,6.95,1.44
38,603378.SH,亚士创能,染料涂料,20.27,2.53,1.55,11.45,1.38
39,300659.SZ,中孚信息,软件服务,56.49,2.14,2.68,6.21,1.35
40,300552.SZ,万集科技,软件服务,83.7,5.13,5.13,20.33,1.31
41,002605.SZ,姚记科技,文教休闲,17.72,3.04,1.75,6.16,1.17
42,300655.SZ,晶瑞股份,化工原料,28.86,2.29,1.66,5.06,1.17
43,300661.SZ,圣邦股份,元器件,255.0,4.85,3.0,10.0,1.09
44,002861.SZ,瀛通通讯,通信设备,40.93,3.74,1.67,10.21,1.07
45,600745.SH,闻泰科技,通信设备,102.5,5.16,3.76,10.0,1.05
46,603129.SH,春风动力,摩托车,37.3,2.85,1.74,10.0,0.99
47,002552.SZ,宝鼎科技,机械基件,25.15,5.45,3.09,15.68,0.96
48,002555.SZ,三七互娱,互联网,24.05,3.2,1.72,6.04,0.94
49,002524.SZ,光正集团,医疗保健,10.89,3.46,2.17,10.04,0.59
50,002201.SZ,九鼎新材,玻璃,22.45,3.42,3.39,7.15,0.57
51,603659.SH,璞泰来,化工原料,72.17,2.04,1.43,5.8,0.56
52,603520.SH,司太立,化学制药,43.15,3.14,1.28,6.66,0.49
53,300558.SZ,贝达药业,化学制药,71.3,2.38,1.55,6.11,0.29
54,600595.SH,*ST中孚,铝,2.04,2.65,1.43,5.08,0.27
55,300770.SZ,新媒股份,影视音像,116.02,2.16,1.25,0.0,0.0
56,002332.SZ,仙琚制药,生物制药,10.5,2.23,1.36,0.0,0.0
57,603976.SH,正川股份,医疗保健,24.26,2.06,1.38,0.0,0.0
58,603879.SH,永悦科技,化工原料,11.97,2.39,1.34,0.0,0.0
59,002624.SZ,完美世界,影视音像,37.77,2.47,1.32,0.0,0.0
60,300113.SZ,顺网科技,互联网,23.15,2.26,1.25,0.0,0.0
61,300360.SZ,炬华科技,电器仪表,12.3,2.39,1.34,0.0,0.0
62,002241.SZ,歌尔股份,元器件,21.05,3.54,2.7,0.0,0.0
63,002292.SZ,奥飞娱乐,影视音像,9.07,2.08,1.48,0.0,0.0
64,603121.SH,华培动力,汽车配件,25.79,2.06,1.22,0.0,0.0
65,603022.SH,新通联,广告包装,13.68,2.37,1.6,0.0,0.0
66,603021.SH,山东华鹏,玻璃,9.35,2.38,1.3,0.0,0.0
67,002123.SZ,梦网集团,互联网,21.2,2.04,2.64,0.0,0.0
68,300548.SZ,博创科技,元器件,60.56,3.14,1.58,0.0,0.0
69,300639.SZ,凯普生物,医疗保健,25.44,2.6,1.4,0.0,0.0
70,002901.SZ,大博医疗,医疗保健,61.37,2.53,1.9,0.0,0.0
71,603986.SH,兆易创新,半导体,194.05,3.54,1.69,0.0,0.0
