,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,300160.SZ,秀强股份,玻璃,10.29,49.99,中央汇金资产管理有限责任公司
1,300390.SZ,天华超净,元器件,13.33,45.5,
2,300671.SZ,富满电子,半导体,38.12,30.01,
3,600267.SH,海正药业,化学制药,17.17,27.11,"中央汇金资产管理有限责任公司
中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
中国工商银行-博时第三产业成长混合型证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅-晓峰1号睿远证券投资基金"
4,300677.SZ,英科医疗,医疗保健,32.64,25.15,广发证券股份有限公司-中庚小盘价值股票型证券投资基金
5,002623.SZ,亚玛顿,玻璃,43.84,25.07,中央汇金资产管理有限责任公司
6,002239.SZ,奥特佳,汽车配件,3.47,25.03,
7,603993.SH,洛阳钼业,小金属,5.4,24.6,"建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
泰达宏利基金-民生银行-长安国际信托-长安信托-民生定增1号单一资金信托
香港中央结算有限公司(陆股通)
全国社保基金一零二组合"
8,300476.SZ,胜宏科技,元器件,25.88,21.5,"交通银行股份有限公司-易方达科讯混合型证券投资基金
中国工商银行股份有限公司-易方达科翔混合型证券投资基金
华泰资产管理有限公司-策略投资产品
基本养老保险基金一二零五组合
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
华泰瑞联基金管理有限公司-南京华泰瑞联并购基金二号(有限合伙)
全国社保基金一零四组合"
9,300499.SZ,高澜股份,专用机械,19.44,20.04,
10,603726.SH,朗迪集团,机械基件,20.39,20.03,
11,300655.SZ,晶瑞股份,化工原料,47.29,20.01,上海聚源聚芯集成电路产业股权投资基金中心(有限合伙)
12,603131.SH,上海沪工,专用机械,25.6,20.0,"交通银行股份有限公司-天治核心成长混合型证券投资基金(LOF)
上海朴易资产管理有限公司-朴易至尚证券投资基金"
13,300235.SZ,方直科技,软件服务,24.5,20.0,前海开源基金-浦发银行-中融国际信托-中融-融珲60号单一资金信托
14,300724.SZ,捷佳伟创,专用机械,71.4,20.0,"天津架桥富凯股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-嘉实环保低碳股票型证券投资基金
深圳市麦瑞股权投资基金合伙企业(有限合伙)
深圳市麦瑞世纪股权投资基金(有限合伙)
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划"
15,300397.SZ,天和防务,通信设备,47.77,20.0,"陕西金达投资基金合伙企业(有限合伙)
上海申九资产管理有限公司-申九积极进取3号证券私募投资基金
上海申九资产管理有限公司-申九股票精选1号私募证券投资基金"
