,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,002560.SZ,通达股份,电气设备,10.0442,9.97,50.01,
1,002873.SZ,新天药业,中成药,10.0,27.06,50.01,
2,002953.SZ,日丰股份,电气设备,9.9949,43.47,49.92,
3,300265.SZ,通光线缆,电气设备,10.0,18.04,47.43,
5,300576.SZ,容大感光,染料涂料,9.9973,41.48,39.36,
6,002286.SZ,保龄宝,食品,9.9893,10.24,37.45,
10,300293.SZ,蓝英装备,专用机械,10.0394,11.18,30.0,
14,000721.SZ,西安饮食,酒店餐饮,9.9352,5.09,29.89,
15,300655.SZ,晶瑞股份,化工原料,9.5259,48.98,29.51,"上海聚源聚芯集成电路产业股权投资基金中心(有限合伙)
中国工商银行股份有限公司-诺安成长混合型证券投资基金
交通银行股份有限公司-诺安和鑫保本混合型证券投资基金"
17,000615.SZ,京汉股份,全国地产,10.1176,4.68,28.4,
19,300698.SZ,万马科技,通信设备,10.0,24.42,25.95,
22,002471.SZ,中超控股,电气设备,10.0386,2.85,25.18,深圳市鑫腾华资产管理有限公司
23,603002.SH,宏昌电子,化工原料,10.0569,5.8,25.1,
30,603530.SH,神马电力,电气设备,10.0,23.1,20.48,
31,002426.SZ,胜利精密,元器件,10.1322,2.5,20.33,
37,600589.SH,广东榕泰,塑料,10.0478,6.9,20.12,
38,600267.SH,海正药业,化学制药,10.0351,15.68,20.07,
41,600520.SH,文一科技,机械基件,10.0098,11.21,20.05,
44,300721.SZ,怡达股份,化工原料,10.0,23.98,20.03,
46,300398.SZ,飞凯材料,染料涂料,10.0189,23.28,20.01,"上海半导体装备材料产业投资管理有限公司-上海半导体装备材料产业投资基金合伙企业(有限合伙)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
共青城胜恒投资管理有限公司-胜恒精选新材料私募股权投资基金"
49,603519.SH,立霸股份,家用电器,10.0142,15.49,20.01,
53,603867.SH,新化股份,化工原料,9.9955,24.21,19.99,
64,603577.SH,汇金通,钢加工,9.9915,12.99,18.42,"吉林省现代农业和新兴产业投资基金有限公司
深圳唯瀚成长股权投资基金合伙企业(有限合伙)"
66,300299.SZ,富春股份,互联网,10.0,6.49,18.36,
70,002338.SZ,奥普光电,电器仪表,10.0,16.61,17.53,
73,300102.SZ,乾照光电,半导体,9.9638,6.07,16.97,
78,002576.SZ,通达动力,电气设备,9.9896,10.57,16.82,
83,002342.SZ,巨力索具,机械基件,9.8802,3.67,16.42,
94,000682.SZ,东方电子,软件服务,10.0182,6.04,16.14,
100,300046.SZ,台基股份,半导体,10.0,22.44,15.83,
101,300452.SZ,山河药辅,化学制药,9.9813,17.63,15.83,
103,300236.SZ,上海新阳,半导体,10.0069,64.2,15.72,
114,300538.SZ,同益股份,批发业,10.0,20.24,15.04,
153,600306.SH,商业城,百货,10.1075,5.12,10.11,
154,600280.SH,中央商场,百货,10.101,2.18,10.1,
155,601086.SH,国芳集团,百货,10.0935,5.89,10.09,
159,600838.SH,上海九百,百货,10.0733,6.01,10.07,
160,600778.SH,友好集团,百货,10.0642,5.14,10.06,
166,002725.SZ,跃岭股份,汽车配件,10.0529,10.4,10.05,"芜湖长元股权投资基金(有限合伙)
中央汇金资产管理有限责任公司"
169,000882.SZ,华联股份,其他商业,10.0503,2.19,10.05,
172,601116.SH,三江购物,超市连锁,10.0441,12.49,10.04,
182,300565.SZ,科信技术,通信设备,10.0191,11.53,10.02,
184,002194.SZ,武汉凡谷,通信设备,10.0204,26.9,10.02,
186,300342.SZ,天银机电,元器件,10.0154,21.42,10.02,北信瑞丰基金-工商银行-北信瑞丰基金丰庆92号资产管理计划
190,603279.SH,景津环保,环境保护,10.0244,22.5,10.02,
192,300394.SZ,天孚通信,通信设备,10.011,49.89,10.01,
194,002843.SZ,泰嘉股份,钢加工,10.0134,8.24,10.01,
197,603991.SH,至正股份,塑料,10.0,20.68,10.0,
200,002277.SZ,友阿股份,百货,10.0,3.63,10.0,
207,002075.SZ,沙钢股份,特种钢,10.0,11.22,10.0,香港中央结算有限公司(陆股通)
212,600361.SH,华联综超,超市连锁,10.0,3.85,10.0,
213,603819.SH,神力股份,电气设备,10.0,12.43,10.0,
216,002897.SZ,意华股份,元器件,9.9968,34.66,10.0,
217,300563.SZ,神宇股份,通信设备,10.0,31.9,10.0,西藏信托有限公司-西藏信托-莱沃3号集合资金信托计划
218,603189.SH,网达软件,软件服务,10.0043,25.51,10.0,
220,000909.SZ,数源科技,综合类,9.9889,9.91,9.99,海通证券资管-招商银行-海通通源1号集合资产管理计划
221,603712.SH,七一二,通信设备,9.9921,27.96,9.99,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
222,600498.SH,烽火通信,通信设备,9.9913,37.76,9.99,
223,002093.SZ,国脉科技,电信运营,9.9894,10.35,9.99,
224,300634.SZ,彩讯股份,软件服务,9.9853,22.47,9.99,
228,002922.SZ,伊戈尔,电气设备,9.9864,16.19,9.99,
232,002613.SZ,北玻股份,专用机械,9.9762,4.63,9.98,
240,000679.SZ,大连友谊,百货,9.9698,3.64,9.97,
243,600712.SH,南宁百货,百货,9.9631,5.96,9.96,
244,300376.SZ,易事特,电气设备,9.9638,6.07,9.96,
245,603333.SH,尚纬股份,电气设备,9.9573,7.73,9.96,
251,603633.SH,徕木股份,元器件,9.9634,12.03,9.96,
253,600078.SH,澄星股份,化工原料,9.9548,4.86,9.95,
254,002264.SZ,新华都,超市连锁,9.949,4.31,9.95,
262,300225.SZ,金力泰,染料涂料,9.9251,5.87,9.93,
264,000893.SZ,东凌国际,食品,9.9065,5.88,9.91,
