,ts_code,name,industry,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
6,002770.SZ,科迪乳业,乳制品,2.86,20.17,
7,002731.SZ,萃华珠宝,服饰,7.55,20.11,
8,000678.SZ,襄阳轴承,机械基件,6.99,20.1,
9,300478.SZ,杭州高新,橡胶,14.71,20.06,
10,603536.SH,惠发食品,食品,15.03,20.01,
11,300506.SZ,名家汇,建筑工程,6.31,20.0,
12,603320.SH,迪贝电气,机械基件,17.94,19.97,
13,002401.SZ,中远海科,软件服务,13.3,16.89,中央汇金资产管理有限责任公司
14,002570.SZ,贝因美,乳制品,6.03,16.85,
15,300063.SZ,天龙集团,互联网,4.35,10.13,
16,000757.SZ,浩物股份,汽车配件,4.46,10.12,
17,600653.SH,申华控股,汽车服务,2.07,10.11,
18,600086.SH,东方金钰,服饰,2.18,10.1,
19,002225.SZ,濮耐股份,其他建材,4.36,10.1,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
20,603335.SH,迪生力,汽车配件,4.47,10.1,
21,603009.SH,北特科技,汽车配件,7.22,10.06,
22,300427.SZ,红相股份,电气设备,18.32,10.03,
23,002863.SZ,今飞凯达,汽车配件,5.27,10.02,
24,300742.SZ,越博动力,汽车配件,22.65,10.0,
25,300390.SZ,天华超净,元器件,9.02,10.0,
26,002156.SZ,通富微电,半导体,20.68,10.0,
27,300389.SZ,艾比森,半导体,9.47,9.99,中央汇金资产管理有限责任公司
28,002952.SZ,亚世光电,元器件,24.55,9.99,
29,603023.SH,威帝股份,汽车配件,5.07,9.98,
30,600327.SH,大东方,汽车服务,4.19,9.97,
31,600766.SH,园城黄金,黄金,7.83,9.97,
32,002196.SZ,方正电机,纺织机械,5.3,9.96,
33,600335.SH,国机汽车,汽车配件,5.64,9.94,
34,000662.SZ,天夏智慧,软件服务,3.67,9.88,
