,trade_date,up_count,down_count,up_limit_count,down_limit_count,over_5_limit_count,max_limit_count,max_limit_stock
0,20200428.0,824.0,2899.0,34.0,60.0,2.0,7.0,603109.SH 神驰机电
1,20200427.0,1322.0,2401.0,47.0,50.0,5.0,9.0,300827.SZ 上能电气
2,20200421.0,1130.0,2593.0,60.0,3.0,10.0,12.0,002979.SZ 雷赛智能
3,20200420.0,2526.0,1197.0,77.0,1.0,12.0,8.0,600107.SH 美尔雅
4,20200417.0,1502.0,2221.0,51.0,4.0,7.0,11.0,002979.SZ 雷赛智能
5,20200416.0,1895.0,1828.0,75.0,2.0,10.0,14.0,300825.SZ 阿尔特
6,20200415.0,986.0,2737.0,54.0,3.0,8.0,9.0,002979.SZ 雷赛智能
7,20200414.0,3243.0,480.0,76.0,1.0,12.0,9.0,600127.SH 金健米业
8,20200413.0,1152.0,2571.0,53.0,28.0,8.0,9.0,300826.SZ 测绘股份
9,20200410.0,526.0,3197.0,37.0,39.0,4.0,13.0,300825.SZ 阿尔特
10,20200409.0,2267.0,1456.0,96.0,8.0,9.0,12.0,300825.SZ 阿尔特
11,20200408.0,2107.0,1616.0,80.0,6.0,13.0,11.0,300825.SZ 阿尔特
12,20200407.0,3610.0,113.0,146.0,3.0,21.0,10.0,300825.SZ 阿尔特
13,20200403.0,1138.0,2585.0,63.0,4.0,11.0,14.0,002977.SZ 天箭科技
14,20200402.0,3237.0,486.0,91.0,5.0,13.0,13.0,002977.SZ 天箭科技
15,20200401.0,1221.0,2502.0,37.0,16.0,5.0,8.0,300526.SZ 中潜股份
16,20200331.0,1478.0,2245.0,68.0,10.0,6.0,8.0,300526.SZ 中潜股份
17,20200330.0,700.0,3023.0,36.0,39.0,9.0,11.0,603949.SH 雪龙集团
