,ts_code,name,industry,COL_MA_20,COL_MA_20_SLOPE,COL_MA_20_SLOPE_CHANGE,COL_CRIMSON_RATE
0,300658.SZ,延江股份,纺织,21.43,7.796780684104632,70.36413885612562,0.47
1,002603.SZ,以岭药业,中成药,16.51,7.767624020887731,57.510153756890034,0.73
2,603200.SH,上海洗霸,环境保护,33.05,6.957928802588986,-8.334075591579914,0.73
3,300677.SZ,英科医疗,医疗保健,32.22,6.83023872679045,10.215215818663825,0.53
4,002838.SZ,道恩股份,塑料,24.13,6.159260888693341,-14.655992914837379,0.73
5,000903.SZ,云内动力,机械基件,3.22,5.573770491803298,-5.5737704918027875,0.4
6,600127.SH,金健米业,农业综合,5.15,5.532786885245922,-23.714605067063765,0.53
7,002581.SZ,未名医药,生物制药,9.57,5.512679162072764,5.598431949038174,0.93
8,300526.SZ,中潜股份,专用机械,78.77,5.406128730095006,-7.821587667293162,0.4
9,601179.SH,中国西电,电气设备,4.1,5.128205128205132,61.5384615384611,0.67
10,002030.SZ,达安基因,生物制药,14.44,4.865649963689189,76.21543111739311,0.73
11,000955.SZ,欣龙控股,纺织,8.27,4.816223067173642,41.337623086672835,0.6
12,300391.SZ,康跃科技,机械基件,8.32,4.785894206549113,53.54743912678399,0.67
13,300803.SZ,指南针,软件服务,46.72,4.659498207885293,,
14,000652.SZ,泰达股份,批发业,6.95,4.5112781954887105,-10.76127819548921,0.53
15,600527.SH,江南高纤,化纤,2.6,4.417670682730912,78.91566265060115,0.53
16,002837.SZ,英维克,专用机械,30.81,4.405286343612325,12.711830773504197,0.6
17,300026.SZ,红日药业,中成药,4.38,4.2857142857142705,120.71428571428501,0.47
18,300576.SZ,容大感光,染料涂料,29.57,4.193093727977448,32.58851546742561,0.67
19,300002.SZ,神州泰岳,软件服务,3.77,4.143646408839774,32.21998995479627,0.47
20,603005.SH,晶方科技,半导体,75.01,4.122709605774566,-5.122709605774456,0.47
21,002398.SZ,垒知集团,其他建材,7.09,4.111600587371522,35.88839941262947,0.6
22,002075.SZ,沙钢股份,特种钢,7.86,4.1059602649006655,10.708854549914637,0.67
23,600107.SH,美尔雅,服饰,7.13,4.087591240875921,111.29702414373943,0.67
24,002432.SZ,九安医疗,医疗保健,6.92,4.060150375939853,30.939849624060024,0.67
25,300738.SZ,奥飞数据,电信运营,46.17,4.033348355114907,-3.4715506023063614,0.6
26,300363.SZ,博腾股份,化学制药,20.31,3.9406345957011313,12.72603207096581,0.6
27,300236.SZ,上海新阳,半导体,43.43,3.825005976571849,9.650171328393519,0.47
28,600268.SH,国电南自,电气设备,5.71,3.8181818181818095,106.18181818181927,0.67
29,300702.SZ,天宇股份,化学制药,62.58,3.6951118475559097,-19.22541487785918,0.6
30,300206.SZ,理邦仪器,医疗保健,9.89,3.668763102725392,-3.668763102724726,0.53
31,002239.SZ,奥特佳,汽车配件,3.11,3.6666666666666625,-12.000000000000256,0.53
32,600228.SH,ST昌九,化工原料,6.9,3.603603603603611,67.8249678249674,0.67
33,002768.SZ,国恩股份,塑料,30.62,3.5508961785593485,-13.033654799249096,0.67
34,002214.SZ,大立科技,电器仪表,16.39,3.5375868603916727,-5.29197282530367,0.67
35,000021.SZ,深科技,IT设备,15.84,3.52941176470587,8.970588235293441,0.73
36,002824.SZ,和胜股份,铝,14.09,3.5268185157972143,51.31189116162318,0.53
37,603238.SH,诺邦股份,纺织,22.37,3.516890328551603,17.118030306369135,0.73
38,002185.SZ,华天科技,半导体,9.81,3.4810126582278444,23.442064264849204,0.53
39,002791.SZ,坚朗五金,其他建材,43.49,3.4737092552938442,6.300726834931902,0.53
40,002291.SZ,星期六,服饰,21.59,3.449928126497359,-12.310687620168558,0.6
41,603533.SH,掌阅科技,互联网,19.2,3.4482758620689724,38.77394636015368,0.67
42,600550.SH,保变电气,电气设备,4.22,3.4313725490195957,-3.43137254901994,0.6
43,600855.SH,航天长峰,专用机械,13.88,3.427719821162456,-26.76105315449564,0.73
44,300598.SZ,诚迈科技,软件服务,211.01,3.4159968633601157,-9.480686890314194,0.47
45,300489.SZ,中飞股份,铝,25.51,3.4049452776651723,-18.556460429180575,0.53
46,603613.SH,国联股份,互联网,90.41,3.396614821591948,24.620626557718595,0.53
47,688012.SH,中微公司,专用机械,140.87,3.3908256880734067,34.51962207312134,0.6
48,603890.SH,春秋电子,机械基件,11.68,3.362831858407067,23.303834808258838,0.67
49,002706.SZ,良信电器,电气设备,9.62,3.329752953813081,37.57933795527602,0.6
50,600538.SH,国发股份,医药商业,5.65,3.290676416819016,-13.290676416819203,0.53
51,002551.SZ,尚荣医疗,医疗保健,7.0,3.2448377581120846,-3.244837758112795,0.6
52,300452.SZ,山河药辅,化学制药,16.31,3.227848101265818,165.19320453031332,0.87
53,300048.SZ,合康新能,电气设备,2.88,3.2258064516129004,-13.225806451613265,0.4
54,002135.SZ,东南网架,建筑工程,6.73,3.220858895705536,1.7791411042951122,0.47
55,300453.SZ,三鑫医疗,医疗保健,9.64,3.2119914346895095,0.23628442737984034,0.67
56,002541.SZ,鸿路钢构,钢加工,12.56,3.2046014790468424,11.501280873894348,0.53
57,300696.SZ,爱乐达,航空,32.94,3.195488721804507,-8.751044277360442,0.67
58,002385.SZ,大北农,饲料,6.47,3.189792663476876,14.457266160052207,0.53
59,603301.SH,振德医疗,医疗保健,32.7,3.1871252761123348,-3.18712527611249,0.53
60,603916.SH,苏博特,化工原料,17.58,3.169014084507027,76.83098591549154,0.67
61,600882.SH,妙可蓝多,乳制品,17.92,3.1663788140472215,9.0785191451366,0.67
62,002223.SZ,鱼跃医疗,医疗保健,27.44,3.157894736842115,-6.606170598910621,0.47
63,600396.SH,金山股份,火力发电,1.96,3.157894736842115,96.84210526316043,0.47
64,300683.SZ,海特生物,生物制药,40.86,3.155768745266352,-21.456422340037406,0.6
65,300482.SZ,万孚生物,生物制药,63.05,3.123977755969909,47.269723031431155,0.67
66,000818.SZ,航锦科技,化工原料,22.45,3.123564538355539,-3.1235645383553834,0.67
67,300502.SZ,新易盛,通信设备,54.31,3.113726979305098,6.9533871146542525,0.6
68,002323.SZ,*ST百特,建筑工程,2.65,3.112840466926081,96.88715953307576,0.67
69,002556.SZ,辉隆股份,其他商业,6.71,3.0721966205837115,30.261136712750325,0.67
70,603520.SH,司太立,化学制药,50.71,3.069105691056917,14.89964430894284,0.73
71,300063.SZ,天龙集团,互联网,4.06,3.045685279187804,30.28764805414552,0.67
72,603669.SH,灵康药业,化学制药,8.47,3.041362530413627,16.00625651720522,0.47
73,002156.SZ,通富微电,半导体,21.61,3.0028598665395645,20.526551898165767,0.67
74,002623.SZ,亚玛顿,玻璃,29.86,3.0010348395998587,9.985978147412954,0.53
75,002825.SZ,纳尔股份,化工原料,13.48,2.3538344722854987,340.503308384856,0.4
76,601689.SH,拓普集团,汽车配件,19.62,1.975051975051989,121.55435978965694,0.67
77,603501.SH,韦尔股份,半导体,163.33,1.7759222333001201,120.88032776670272,0.53
78,002932.SZ,明德生物,医疗保健,38.61,1.7391304347825987,111.16409537166435,0.53
79,688300.SH,联瑞新材,矿物制品,48.92,1.7047817047816993,1264.9618849618448,0.6
80,300783.SZ,三只松鼠,食品,65.62,1.673380849085837,106.01892684321528,0.67
81,600512.SH,腾达建设,建筑工程,3.04,1.6722408026755842,148.32775919732538,0.53
82,002127.SZ,南极电商,互联网,11.1,1.6483516483516425,198.35164835164204,0.6
83,002459.SZ,晶澳科技,电气设备,13.79,1.546391752577314,131.7869415807547,0.53
84,300298.SZ,三诺生物,医疗保健,15.18,1.538461538461533,227.03296703297,0.73
85,300039.SZ,上海凯宝,中成药,5.28,1.538461538461533,165.12820512820335,0.6
