,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,688126.SH,沪硅产业,半导体,14.7959,13.5,208.94,
14,603109.SH,神驰机电,电气设备,10.0093,35.5,69.67,
17,002982.SZ,湘佳股份,农业综合,9.9915,51.63,64.01,
45,002983.SZ,N芯瑞达,元器件,44.0247,18.68,44.02,
48,603439.SH,N三力,化学制药,43.9456,10.58,43.95,
73,002662.SZ,京威股份,汽车配件,9.9707,3.75,35.52,
74,002416.SZ,爱施德,电器连锁,10.0128,8.57,35.43,"香港中央结算有限公司(陆股通)
长安国际信托股份有限公司"
83,300576.SZ,容大感光,染料涂料,10.0,45.21,32.96,中国农业银行股份有限公司-大成产业升级股票型证券投资基金(LOF)
110,300538.SZ,同益股份,批发业,9.9866,24.67,30.0,
136,000068.SZ,华控赛格,环境保护,10.1408,3.91,26.26,
140,002505.SZ,大康农业,农业综合,10.1626,2.71,25.96,
150,600255.SH,梦舟股份,铜,9.5745,1.03,25.52,
177,002469.SZ,三维工程,建筑工程,10.0917,4.8,22.91,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
203,603755.SH,日辰股份,食品,10.0,54.01,20.73,
225,300688.SZ,创业黑马,综合类,10.0152,29.0,20.03,
238,603719.SH,良品铺子,食品,9.9933,65.27,20.0,
241,603023.SH,威帝股份,汽车配件,9.9631,5.96,20.0,
243,600053.SH,九鼎投资,多元金融,10.0,29.04,20.0,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国银行股份有限公司-广发中证养老产业指数型发起式证券投资基金"
244,600051.SH,宁波联合,综合类,10.0649,6.78,20.0,ACADIAN资产管理有限责任公司-ACADIAN中国A股股票主基金(交易所)
245,300793.SZ,佳禾智能,IT设备,10.003,36.73,20.0,
248,600818.SH,中路股份,文教休闲,9.9682,10.37,19.99,
249,300707.SZ,威唐工业,专用机械,9.987,16.96,19.98,
258,000609.SZ,中迪投资,区域地产,9.919,5.43,19.94,
265,300362.SZ,天翔环境,环境保护,9.2715,1.65,19.49,
302,603530.SH,神马电力,电气设备,9.9797,21.71,17.11,
311,300511.SZ,雪榕生物,种植业,10.02,10.98,16.87,
343,300782.SZ,卓胜微,元器件,9.9998,571.79,16.07,
357,603725.SH,天安新材,塑料,10.0,7.15,15.67,
359,002270.SZ,华明装备,电气设备,10.0386,5.7,15.63,
571,600004.SH,白云机场,机场,10.0356,15.46,10.04,
617,601137.SH,博威合金,铜,10.0167,13.18,10.02,金鹰基金-浦发银行-深圳前海金鹰资产管理有限公司
622,300746.SZ,汉嘉设计,建筑工程,10.0083,13.3,10.01,
641,600809.SH,山西汾酒,白酒,9.998,109.25,10.0,
652,600862.SH,中航高科,航空,10.0,14.19,10.0,"北京京国发股权投资基金(有限合伙)
全国社保基金五零三组合
中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金"
676,603005.SH,晶方科技,半导体,10.0048,92.03,10.0,"招商银行股份有限公司-银河创新成长混合型证券投资基金
中央汇金资产管理有限责任公司
国家集成电路产业投资基金股份有限公司"
695,600211.SH,西藏药业,中成药,9.9877,26.87,9.99,中国建设银行股份有限公司-兴全社会责任混合型证券投资基金
696,603693.SH,江苏新能,新型电力,9.9881,9.25,9.99,
781,000532.SZ,华金资本,多元金融,9.7538,11.59,9.75,"珠海金控股权投资基金管理有限公司
华金资产管理(深圳)有限公司
珠海金控股权投资基金管理有限公司
华金资产管理(深圳)有限公司"
789,603233.SH,大参林,医药商业,9.4323,74.6,9.43,
