,ts_code,name,industry,COL_MA_20,COL_MA_20_SLOPE,COL_MA_20_SLOPE_CHANGE,COL_FLOAT_HOLDERS
0,600707.SH,彩虹股份,元器件,4.17,0.72,inf,"合肥芯屏产业投资基金(有限合伙)
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
富国基金管理有限公司-社保基金一五零一组合
合肥芯屏产业投资基金(有限合伙)
北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划
富国基金管理有限公司-社保基金一五零一组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
1,002578.SZ,闽发铝业,铝,3.4,0.29,inf,"国通信托有限责任公司-国通信托·紫金12号集合资金信托计划
国通信托有限责任公司-国通信托·紫金12号集合资金信托计划"
2,300276.SZ,三丰智能,专用机械,7.99,0.5,inf,"长江财富资管-湖北省鄂旅投创业投资有限责任公司-长江财富-财富成长5号单一资产管理计划
中意资管-招商银行-中意资产-招商银行-定增精选74号资产管理产品
中央汇金资产管理有限责任公司
中意资管-招商银行-中意资产-招商银行-定增精选72号资产管理产品
中意资管-招商银行-中意资产-招商银行-定增精选72号资产管理产品
中意资管-招商银行-中意资产-招商银行-定增精选74号资产管理产品
中央汇金资产管理有限责任公司"
3,002856.SZ,美芝股份,装修装饰,17.45,0.11,inf,
4,002305.SZ,南国置业,区域地产,2.15,0.47,inf,"东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划
东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划"
5,600745.SH,闻泰科技,通信设备,110.35,0.45,inf,"中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金
全国社保基金一零一组合
香港中央结算有限公司(陆股通)
全国社保基金一零一组合
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金
全国社保基金一零一组合"
6,002611.SZ,东方精工,轻工机械,4.6,0.44,inf,"华融证券-招商证券-华融优智1号集合资产管理计划
盛稷股权投资基金(上海)有限公司
香港中央结算有限公司(陆股通)
华融证券-招商证券-华融优智1号集合资产管理计划
盛稷股权投资基金(上海)有限公司
香港中央结算有限公司(陆股通)"
7,600375.SH,华菱星马,汽车整车,4.56,0.44,inf,深圳抱朴容易资产管理有限公司-抱朴容易1号私募证券投资基金
8,603861.SH,白云电器,电气设备,8.48,0.12,inf,
9,600639.SH,浦东金桥,园区开发,12.98,0.39,inf,"上海国际集团资产管理有限公司
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
上海国际集团资产管理有限公司
中央汇金资产管理有限责任公司
上海禛瑛投资管理有限公司-禛瑛瑞盈私募证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金"
10,002069.SZ,獐子岛,渔业,2.71,0.37,inf,"北京吉融元通资产管理有限公司-和岛一号证券投资基金
北京吉融元通资产管理有限公司-和岛一号证券投资基金"
11,601390.SH,中国中铁,建筑工程,5.64,0.36,inf,"银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
平安大华基金-平安银行-汇添富资本管理有限公司
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
12,603685.SH,晨丰科技,电气设备,12.53,0.32,inf,
13,002417.SZ,深南股份,软件服务,7.23,0.14,inf,
14,000540.SZ,中天金融,多元金融,3.35,0.3,inf,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
全国社保基金零二零组合"
15,002782.SZ,可立克,电气设备,10.27,0.29,inf,中信银行股份有限公司-建信中证500指数增强型证券投资基金
16,601186.SH,中国铁建,建筑工程,9.78,0.1,inf,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划"
17,600297.SH,广汇汽车,汽车服务,3.68,0.27,inf,"泰达宏利基金-招商银行-大业信托-大业信托·增利1号集合资金信托计划
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
香港中央结算有限公司(陆股通)
深圳市银天使资产管理有限公司-银天使2号私募证券投资基金
深圳市银天使资产管理有限公司-银天使2号私募证券投资基金
泰达宏利基金-招商银行-大业信托-大业信托·增利1号集合资金信托计划
北信瑞丰基金-招商银行-华鑫国际信托-华鑫信托·慧智投资110号集合资金信托计划
诺德基金-招商银行-华宝信托-华宝-广汇1号单一资金信托"
18,002534.SZ,杭锅股份,专用机械,7.66,0.26,inf,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
19,002183.SZ,怡亚通,仓储物流,4.08,0.25,inf,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
金鹰基金-工商银行-金鹰穗通26号资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
金鹰基金-工商银行-金鹰穗通26号资产管理计划"
