,ts_code,name,industry,COL_MA_20,COL_MA_20_SLOPE,COL_MA_20_SLOPE_CHANGE,COL_CRIMSON_RATE
0,603566.SH,普莱柯,生物制药,18.35,1.5495296070835662,831.7838037262277,0.53
1,002570.SZ,贝因美,乳制品,5.8,1.0452961672473782,498.9547038327534,0.6
2,300755.SZ,华致酒行,其他商业,22.03,1.2873563218390949,458.7126436781831,0.53
3,603988.SH,中电电机,电气设备,9.52,1.3844515441959526,331.9488817891088,0.67
4,600359.SH,新农开发,农业综合,6.18,2.657807308970095,297.3421926910426,0.6
5,603611.SH,诺力股份,运输设备,17.96,1.012373453318327,198.9876265466739,0.6
6,600073.SH,上海梅林,食品,8.13,1.1194029850746468,198.88059701492998,0.6
7,600375.SH,华菱星马,汽车整车,4.62,1.3157894736842257,198.68421052633195,0.53
8,600658.SH,电子城,园区开发,4.71,1.9480519480519431,198.05194805194836,0.6
9,300276.SZ,三丰智能,专用机械,8.1,1.3767209011263937,173.6232790988708,0.47
10,601038.SH,一拖股份,农用机械,6.63,1.6871165644171793,173.31288343559166,0.6
11,002469.SZ,三维工程,建筑工程,4.3,1.8957345971563955,164.77093206951673,0.47
12,603755.SH,日辰股份,食品,47.72,1.5319148936170146,155.61094224923679,0.53
13,002778.SZ,高科石化,石油加工,22.47,1.1251125112511362,126.14761476148443,0.4
14,000153.SZ,丰原药业,化学制药,7.01,1.3005780346820872,123.6994219653186,0.47
15,002726.SZ,龙大肉食,食品,6.92,1.317715959004384,123.68228404099501,0.47
16,601028.SH,玉龙股份,钢加工,5.84,1.5652173913043521,123.43478260869891,0.67
17,603336.SH,宏辉果蔬,农业综合,15.28,1.3262599469495928,120.89596227527272,0.6
18,688058.SH,宝兰德,软件服务,134.03,1.81555758128229,119.48073871501981,0.6
19,002650.SZ,加加食品,食品,3.74,1.0810810810810922,98.91891891892415,0.73
20,600872.SH,中炬高新,食品,42.09,1.4950566674704735,86.38373121131828,0.73
21,600060.SH,海信视像,家用电器,11.3,1.073345259391778,70.35522616917788,0.87
22,603903.SH,中持股份,环境保护,13.53,1.1210762331838486,65.54559043347868,0.8
23,603801.SH,志邦家居,家居用品,22.55,1.439496176338273,58.560503823660824,0.73
24,300640.SZ,德艺文创,文教休闲,7.98,2.8350515463917647,54.307805596465705,0.8
25,300538.SZ,同益股份,批发业,20.22,2.9531568228105876,53.803599933945414,0.73
26,601799.SH,星宇股份,汽车配件,94.74,1.1315115286080202,52.491676877184545,0.8
27,000636.SZ,风华高科,元器件,18.93,2.1035598705501757,32.379198750141455,0.73
28,603236.SH,移远通信,通信设备,191.45,2.3687306170462996,29.87007535310111,0.8
29,000713.SZ,丰乐种业,种植业,9.42,1.8378378378378413,28.931392931391507,0.73
30,300576.SZ,容大感光,染料涂料,34.39,6.6026038437693835,26.52239615623082,0.73
31,603027.SH,千禾味业,食品,24.42,2.5619487610248015,24.5213845723101,0.73
32,300452.SZ,山河药辅,化学制药,17.74,3.2596041909196627,24.01312308180634,0.73
33,002204.SZ,大连重工,专用机械,3.23,1.5723270440251458,23.427672955973968,0.73
34,603517.SH,绝味食品,食品,45.52,1.268075639599564,22.64496783866079,0.73
35,002705.SZ,新宝股份,家用电器,20.69,3.39830084957522,22.527625076350066,0.8
36,600546.SH,山煤国际,煤炭开采,9.58,2.3504273504273643,19.871794871796,0.73
37,688016.SH,心脉医疗,医疗保健,165.9,2.2496147919876863,19.82396380332998,0.73
38,300607.SZ,拓斯达,专用机械,54.91,2.310415502142704,19.258211948836145,0.73
39,601012.SH,隆基股份,电气设备,28.39,1.1039886039886149,18.12678062678319,0.73
40,300751.SZ,迈为股份,专用机械,170.81,1.4913844325608938,16.90484198253266,0.73
41,600031.SH,三一重工,工程机械,17.56,1.3271783035199158,13.67282169648214,0.73
42,002959.SZ,小熊电器,家用电器,76.1,3.186440677966096,13.150192985399967,0.8
43,600845.SH,宝信软件,软件服务,43.04,2.2570681872178477,12.20076313808205,0.73
44,603916.SH,苏博特,化工原料,19.19,3.227541689080149,12.157073695535004,0.73
45,603588.SH,高能环境,环境保护,11.23,1.5370705244122984,11.796262808920588,0.73
46,002920.SZ,德赛西威,汽车配件,35.69,2.117310443490683,11.728843402661049,0.73
47,300281.SZ,金明精机,专用机械,6.63,1.3761467889908285,11.123853211010104,0.73
48,603366.SH,日出东方,家用电器,6.09,1.4999999999999902,10.99999999999859,0.73
49,300763.SZ,锦浪科技,电气设备,58.9,3.188507358093906,10.5614926419062,0.73
50,002609.SZ,捷顺科技,软件服务,10.67,1.0416666666666519,8.958333333332757,0.73
51,600556.SH,天下秀,互联网,13.77,2.914798206278024,8.513773222293231,0.73
52,002414.SZ,高德红外,电器仪表,35.66,3.2725166521864857,7.511797073302606,0.73
53,300724.SZ,捷佳伟创,专用机械,56.48,2.8592241850300404,6.930985605179707,0.73
54,002074.SZ,国轩高科,电气设备,20.31,2.8875379939209633,6.727846621462996,0.73
55,600984.SH,建设机械,工程机械,12.11,2.1079258010118007,6.58772637290177,0.8
56,600330.SH,天通股份,元器件,8.48,1.6786570743405393,6.013650617968236,0.73
57,603127.SH,昭衍新药,医疗保健,74.17,2.8139728306071587,5.742176902013374,0.73
58,300037.SZ,新宙邦,化工原料,37.26,1.608944641396226,5.663782631329717,0.73
59,000789.SZ,万年青,水泥,11.89,2.060085836909864,2.287740250046655,0.87
