,ts_code,name,industry,COL_MA_20,COL_MA_20_SLOPE,COL_MA_20_SLOPE_CHANGE,COL_CRIMSON_RATE,COL_PCT_CHG_STD
0,002581.SZ,未名医药,生物制药,12.75,10.008628127696294,68.45291033384191,0.6,6.76
1,688399.SH,硕世生物,医疗保健,93.13,6.7882123609677825,52.35157258526877,0.6,8.59
2,002400.SZ,省广集团,广告包装,3.69,6.340057636887608,76.99327569644609,0.6,6.68
3,300677.SZ,英科医疗,医疗保健,40.37,5.874639391555192,13.274296778657014,0.53,4.3
4,600127.SH,金健米业,农业综合,6.57,5.797101449275366,10.331930808789336,0.67,4.75
5,688019.SH,安集科技,半导体,177.26,5.537032626815908,31.227673255536548,0.6,6.26
6,002847.SZ,盐津铺子,食品,52.54,5.185185185185182,21.775599128539636,0.6,3.7
7,600882.SH,妙可蓝多,乳制品,20.98,5.162907268170436,30.363408521304123,0.67,3.69
8,002791.SZ,坚朗五金,其他建材,52.0,5.07173166296222,5.500955561707466,0.73,2.8
9,603208.SH,江山欧派,家居用品,82.32,4.799490770210046,16.813412455596534,0.6,3.26
10,002075.SZ,沙钢股份,特种钢,9.3,4.494382022471921,6.61672908863935,0.6,3.75
11,300792.SZ,壹网壹创,互联网,237.3,4.427037493399055,43.732019944008705,0.6,5.07
12,300489.SZ,中飞股份,铝,29.3,4.307582769668916,34.772877000445646,0.47,4.28
13,600268.SH,国电南自,电气设备,6.8,4.294478527607359,7.705521472392518,0.53,4.28
14,688012.SH,中微公司,专用机械,161.84,4.224626481195259,19.782934955477693,0.53,6.6
15,000903.SZ,云内动力,机械基件,3.73,4.189944134078205,32.17369222955839,0.53,4.65
16,002030.SZ,达安基因,生物制药,17.09,4.017041996348136,4.179679315127038,0.47,3.93
17,002046.SZ,轴研科技,机械基件,6.58,3.949447077409163,729.3838862559271,0.8,6.52
18,300452.SZ,山河药辅,化学制药,18.44,3.9458850056369954,21.05411499436396,0.6,4.45
19,300326.SZ,凯利泰,医疗保健,19.78,3.941145559642667,17.02659637584123,0.73,3.62
20,000021.SZ,深科技,IT设备,18.01,3.9238315060588835,29.40950182727564,0.6,5.05
21,300342.SZ,天银机电,元器件,16.74,3.910614525139655,1.0893854748601495,0.6,4.62
22,300485.SZ,赛升药业,生物制药,11.43,3.9090909090909065,30.465909090908696,0.67,5.33
23,002185.SZ,华天科技,半导体,11.19,3.803339517625237,20.439084724798807,0.6,4.42
24,002705.SZ,新宝股份,家用电器,21.46,3.72160463992266,9.513689477723908,0.67,3.73
25,603713.SH,密尔克卫,仓储物流,51.95,3.6926147704590795,14.141780133999715,0.73,2.86
26,002498.SZ,汉缆股份,电气设备,3.69,3.6516853932584192,4.681647940074507,0.67,6.03
27,300002.SZ,神州泰岳,软件服务,4.28,3.631961259079919,32.731675104556835,0.53,5.46
28,603881.SH,数据港,电信运营,50.57,3.520982599795297,27.776727323869288,0.53,4.18
29,603127.SH,昭衍新药,医疗保健,76.76,3.4919778886342234,24.0942290079174,0.67,2.92
30,300391.SZ,康跃科技,机械基件,9.54,3.4707158351409806,3.195950831525196,0.47,2.02
31,002683.SZ,宏大爆破,化工原料,26.65,3.454968944099357,0.033403148923150106,0.47,3.42
32,603538.SH,美诺华,化学制药,29.41,3.447062961660219,57.20867474325768,0.53,3.88
33,300740.SZ,御家汇,日用化工,8.8,3.4077555816686367,310.8779587040442,0.53,6.96
34,603229.SH,奥翔药业,化学制药,26.01,3.378378378378377,89.80343980343903,0.53,4.55
35,002409.SZ,雅克科技,化工原料,35.19,3.3480176211453827,2.207537934410264,0.67,3.92
36,603345.SH,安井食品,食品,76.85,3.2930107526881525,15.63902808226263,0.6,3.2
37,600550.SH,保变电气,电气设备,4.72,3.2822757111597323,33.081360652475446,0.6,4.03
38,603027.SH,千禾味业,食品,25.22,3.2760032760032587,27.87153770760151,0.67,3.3
39,002959.SZ,小熊电器,家用电器,78.59,3.2720105124835808,2.685436296027466,0.67,4.01
40,600556.SH,天下秀,互联网,14.22,3.267973856209161,12.116641528406703,0.8,3.71
41,603696.SH,安记食品,食品,9.18,3.2620922384701823,311.02362204724443,0.8,5.64
42,300132.SZ,青松股份,化工原料,13.64,3.2551097653293004,9.902784971512668,0.47,5.31
43,603520.SH,司太立,化学制药,55.72,3.2425421530480003,43.81628137636413,0.47,4.2
44,300737.SZ,科顺股份,其他建材,15.63,3.236459709379136,1.0188594395570183,0.47,2.55
45,603987.SH,康德莱,医疗保健,10.86,3.2319391634980876,3.0180608365011796,0.6,3.03
46,002568.SZ,百润股份,红黄酒,31.52,3.208906352324825,22.43211928870139,0.73,2.99
47,300048.SZ,合康新能,电气设备,3.26,3.164556962025311,7.946554149085561,0.4,3.09
48,002723.SZ,金莱特,家用电器,10.5,3.143418467583503,3.5232481990840947,0.73,3.6
49,600988.SH,赤峰黄金,黄金,7.59,3.125,6.398809523809823,0.73,3.69
50,002214.SZ,大立科技,电器仪表,18.5,3.121516164994409,2.5388611934953564,0.47,2.57
51,300236.SZ,上海新阳,半导体,48.92,3.0979978925184337,2.657397790934657,0.67,3.46
52,300041.SZ,回天新材,化工原料,12.05,3.0795551753635797,6.011353915545903,0.4,3.08
53,300453.SZ,三鑫医疗,医疗保健,10.8,3.053435114503822,15.465083404014601,0.4,3.58
54,000636.SZ,风华高科,元器件,19.5,3.0110935023771823,43.142752651468186,0.6,4.88
55,002371.SZ,北方华创,专用机械,130.35,3.010905642484585,12.794565482135178,0.53,4.01
56,600359.SH,新农开发,农业综合,6.36,2.912621359223322,9.587378640777677,0.73,6.55
57,603530.SH,神马电力,电气设备,21.73,2.7423167848699803,173.44815940561017,0.6,6.13
58,000564.SZ,供销大集,百货,2.29,2.6905829596412634,197.30941704036064,0.73,7.1
59,300601.SZ,康泰生物,生物制药,112.09,2.627723860098885,27.826821594445917,0.73,1.84
60,300782.SZ,卓胜微,元器件,511.71,2.5861550490166474,27.454167531628325,0.73,5.37
61,002204.SZ,大连重工,专用机械,3.31,2.4767801857585203,57.52321981424304,0.73,5.6
62,300607.SZ,拓斯达,专用机械,56.27,2.4767801857585203,7.200639169081402,0.87,2.95
63,300785.SZ,值得买,互联网,167.26,2.4187128773498268,7.303509344873116,0.73,4.1
64,300373.SZ,扬杰科技,半导体,25.0,2.0408163265306145,6.654835847382645,0.8,2.7
65,300712.SZ,永福股份,建筑工程,11.89,1.9725557461406584,281.3607775871891,0.4,5.61
66,603517.SH,绝味食品,食品,46.38,1.8892794376098365,48.987913544844815,0.8,2.57
67,600584.SH,长电科技,半导体,24.91,1.8813905930470387,153.6741649625068,0.6,4.49
68,300751.SZ,迈为股份,专用机械,173.8,1.7504829927990295,17.373022983298213,0.73,2.6
69,600486.SH,扬农化工,农药化肥,70.62,1.6115107913669213,15.055155875302106,0.73,1.31
70,300573.SZ,兴齐眼药,化学制药,87.83,1.5258351635649037,228.4741648364231,0.53,3.59
71,300151.SZ,昌红科技,机械基件,8.9,1.4823261117445918,223.51767388825832,0.47,6.08
72,002104.SZ,恒宝股份,元器件,7.58,1.4725568942436373,118.52744310575738,0.67,4.59
73,600540.SH,新赛股份,种植业,4.17,1.4598540145985384,48.54014598540004,0.73,4.68
74,300009.SZ,安科生物,生物制药,15.58,1.432291666666674,98.5677083333344,0.73,3.04
75,603855.SH,华荣股份,专用机械,9.32,1.414581066376508,inf,0.8,3.66
76,600703.SH,三安光电,半导体,22.44,1.309255079006788,6.098152328402295,0.8,3.86
77,600503.SH,华丽家族,区域地产,3.27,1.238390092879249,298.7616099071246,0.53,3.13
78,000596.SZ,古井贡酒,白酒,129.47,1.1958730654994643,54.926575914092,0.73,1.78
79,600315.SH,上海家化,日用化工,28.93,1.189227002448412,20.23934442612283,0.73,2.81
80,300562.SZ,乐心医疗,医疗保健,17.86,1.1325028312570762,121.08971939096085,0.47,3.19
81,002851.SZ,麦格米特,电气设备,22.39,1.129177958446248,1148.870822041675,0.73,2.83
82,300357.SZ,我武生物,生物制药,46.91,1.0991379310344884,48.90086206896602,0.8,2.93
83,300080.SZ,易成新能,半导体,5.6,1.0830324909747224,198.91696750902207,0.47,6.31
84,300673.SZ,佩蒂股份,饲料,27.1,1.0816859380828214,106.06117120478076,0.73,2.82
85,000519.SZ,中兵红箭,矿物制品,7.94,1.0178117048346147,32.31552162850038,0.73,4.23
86,603703.SH,盛洋科技,通信设备,16.98,1.0113027959548049,12.322030537381924,0.73,2.57
87,600600.SH,青岛啤酒,啤酒,48.03,1.0094637223974745,298.99053627761447,0.73,1.96
