,ts_code,name,industry,COL_MA_20,COL_MA_20_SLOPE,COL_MA_20_SLOPE_CHANGE,COL_FLOAT_HOLDERS
0,002307.SZ,北新路桥,建筑工程,5.81,1.21951219512193,inf,"中央汇金资产管理有限责任公司
交通银行股份有限公司-广发中证基建工程指数型发起式证券投资基金
中国银行股份有限公司-信诚中证基建工程指数型证券投资基金(LOF)
中央汇金资产管理有限责任公司
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
1,600662.SH,强生控股,公共交通,4.35,3.325415676959609,inf,"中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金"
2,600329.SH,中新药业,中成药,13.64,0.9622501850481191,1199.0377498150174,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
3,000551.SZ,创元科技,专用机械,7.7,2.257636122177953,322.7423638778166,
4,002338.SZ,奥普光电,电器仪表,14.46,1.4025245441795287,298.5974754558207,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
5,002650.SZ,加加食品,食品,3.84,2.127659574468077,297.87234042554536,"广发证券资管-工商银行-广发原驰·加加食品1号集合资产管理计划
广发证券资管-工商银行-广发原驰·加加食品1号集合资产管理计划"
6,002782.SZ,可立克,电气设备,10.44,1.0648596321394033,265.6018070345398,中信银行股份有限公司-建信中证500指数增强型证券投资基金
7,603506.SH,南都物业,房产服务,20.35,0.992555831265518,232.3407775020772,"兴业证券股份有限公司-淳厚信睿核心精选混合型证券投资基金
中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国工商银行股份有限公司-交银施罗德持续成长主题混合型证券投资基金
杭州泉衡投资管理有限公司-泉衡祥瑞一号私募基金
青岛鼎潮基金管理有限公司-鼎潮创盈1号私募证券投资基金
平安基金-中国平安人寿保险股份有限公司-平安人寿-平安基金权益委托投资1号单一资产管理计划
杭州亘曦资产管理有限公司-亘曦1号私募证券投资基金
中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国工商银行股份有限公司-交银施罗德持续成长主题混合型证券投资基金"
8,002946.SZ,新乳业,乳制品,11.96,1.3559322033898313,218.6440677966016,"杭州恩宝资产管理有限公司-恩宝芝麻1号基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成产业升级股票型证券投资基金(LOF)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海塔基资产管理有限公司-上海塔基新范式私募投资基金
招商基金管理有限公司-社保基金一五零三组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
杭州恩宝资产管理有限公司-恩宝芝麻1号基金
平安资管-农业银行-平安资产如意35号资产管理产品"
9,603703.SH,盛洋科技,通信设备,17.44,2.7090694935217874,167.87916580059132,
