,ts_code,name,industry,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,000861.SZ,海印股份,房产服务,3.2,"香港中央结算有限公司(陆股通)
香港中央结算有限公司(陆股通)"
1,002354.SZ,*ST天娱,互联网,3.4,"渤海国际信托股份有限公司-渤海富盈8号单一资金信托
渤海国际信托股份有限公司-渤海富盈8号单一资金信托"
2,600790.SH,轻纺城,商品城,3.7,"全国社保基金一零三组合
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
全国社保基金一零三组合
广发证券股份有限公司-中庚小盘价值股票型证券投资基金"
3,600811.SH,东方集团,综合类,4.02,"昆仑信托有限责任公司-昆仑信托·东方集团定增一号集合资金信托计划
深圳市大华信安资产管理企业(有限合伙)-大华承运私募证券投资基金
中央汇金资产管理有限责任公司
中融金谷投资(北京)有限公司-中融金谷价值精选二号私募证券投资基金
昆仑信托有限责任公司-昆仑信托·东方集团定增一号集合资金信托计划
昆仑信托有限责任公司-昆仑信托·东方集团定增二号集合资金信托计划
深圳市大华信安资产管理企业(有限合伙)-大华承运私募证券投资基金
中央汇金资产管理有限责任公司"
4,603766.SH,隆鑫通用,摩托车,4.18,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
5,600239.SH,云南城投,区域地产,4.2,
6,002283.SZ,天润工业,汽车配件,4.54,
7,002225.SZ,濮耐股份,其他建材,4.55,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
8,600676.SH,交运股份,公共交通,5.34,"中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金"
9,600616.SH,金枫酒业,红黄酒,5.57,"中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金"
10,600119.SH,ST长投,仓储物流,6.7,
11,001696.SZ,宗申动力,摩托车,6.9,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成睿享混合型证券投资基金
香港中央结算有限公司(陆股通)"
12,603055.SH,台华新材,纺织,7.16,
13,300095.SZ,华伍股份,机械基件,8.01,"华宝信托有限责任公司-大地32号单一资金信托
华宝信托有限责任公司-大地32号单一资金信托"
14,600573.SH,惠泉啤酒,啤酒,8.08,"上海昀启投资有限公司-昀启投资-私募学院菁英69号基金
上海昀启投资有限公司-昀启投资-私募学院菁英69号基金"
15,002208.SZ,合肥城建,区域地产,8.27,宁波梅山保税港区龙悦投资管理有限公司-佳然一号私募证券投资基金
16,000967.SZ,盈峰环境,环境保护,8.44,"上海君和立成投资管理中心(有限合伙)-上海绿联君和产业并购股权投资基金合伙企业(有限合伙)
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
上海君和立成投资管理中心(有限合伙)-上海绿联君和产业并购股权投资基金合伙企业(有限合伙)
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
宁波太石资产管理有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
宁波太石资产管理有限公司"
17,600655.SH,豫园股份,百货,8.67,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
18,002753.SZ,永东股份,化工原料,8.77,
19,002381.SZ,双箭股份,橡胶,9.08,"泰达宏利基金-民生银行-国民信托-国民信托·证通1号单一资金信托
中国国际金融香港资产管理有限公司-客户资金
泰达宏利基金-民生银行-国民信托-国民信托·证通1号单一资金信托
交通银行股份有限公司-长信量化先锋混合型证券投资基金
中国建设银行股份有限公司-博时裕富沪深300指数证券投资基金"
20,002632.SZ,道明光学,化工原料,9.38,"广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
金鹰基金-工商银行-金鹰穗通定增35号资产管理计划
金鹰基金-工商银行-金鹰穗通定增35号资产管理计划"
21,002066.SZ,瑞泰科技,其他建材,9.47,"中央汇金资产管理有限责任公司
中央汇金资产管理有限责任公司"
