,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
0,002283.SZ,002283,天润工业,汽车配件,4.7,True,True,True,
1,000301.SZ,000301,东方盛虹,化纤,5.52,True,False,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
2,000731.SZ,000731,四川美丰,农药化肥,5.63,True,True,True,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
3,600350.SH,600350,山东高速,路桥,6.4,True,False,True,"山东高速集团-中金公司-17山高EB担保及信托财产专户
香港中央结算有限公司(陆股通)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-广发优企精选灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发行业领先混合型证券投资基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金"
4,300225.SZ,300225,金力泰,染料涂料,6.67,True,False,True,"宁夏华锦资产管理有限公司
上海方圆达创投资合伙企业(有限合伙)-方圆-东方25号私募投资基金
上海方圆达创投资合伙企业(有限合伙)-方圆-东方15号私募投资基金
中央汇金资产管理有限责任公司"
5,600119.SH,600119,ST长投,仓储物流,6.72,True,False,True,
6,002553.SZ,002553,南方轴承,汽车配件,6.78,True,False,True,华泰证券资管-南京银行-华泰家园10号集合资产管理计划
7,603058.SH,603058,永吉股份,广告包装,7.99,True,False,True,
8,000967.SZ,000967,盈峰环境,环境保护,8.48,True,False,True,"上海君和立成投资管理中心(有限合伙)-上海绿联君和产业并购股权投资基金合伙企业(有限合伙)
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
上海君和立成投资管理中心(有限合伙)-上海绿联君和产业并购股权投资基金合伙企业(有限合伙)
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
宁波太石资产管理有限公司"
9,000504.SZ,000504,*ST生物,环境保护,9.02,True,False,True,"湖南省财信产业基金管理有限公司
上海和平大宗股权投资基金管理有限公司
重庆信三威投资咨询中心(有限合伙)-昌盛二号私募基金
云南国际信托有限公司-云信永盈8号证券投资集合资金信托计划"
10,601028.SH,601028,玉龙股份,钢加工,9.66,True,False,True,
11,002381.SZ,002381,双箭股份,橡胶,9.96,True,True,True,"泰达宏利基金-民生银行-国民信托-国民信托·证通1号单一资金信托
中国国际金融香港资产管理有限公司-客户资金"
12,300219.SZ,300219,鸿利智汇,元器件,10.16,True,False,True,
13,000582.SZ,000582,北部湾港,港口,10.48,True,False,True,"广西广投资产管理有限公司
平安基金-平安银行-中融国际信托-中融-财富1号结构化集合资金信托
广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
广西交通发展投资基金合伙企业(有限合伙)"
14,002238.SZ,002238,天威视讯,影视音像,10.51,True,True,True,中国建设银行股份有限公司-华夏收入混合型证券投资基金
15,603917.SH,603917,合力科技,汽车配件,11.1,True,True,True,
16,002240.SZ,002240,威华股份,家居用品,11.12,True,False,True,"国通信托有限责任公司-国通信托·紫金9号集合资金信托计划
中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金"
17,000800.SZ,000800,一汽解放,汽车整车,11.14,True,False,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中欧基金-农业银行-中欧中证金融资产管理计划"
18,000546.SZ,000546,金圆股份,水泥,11.16,True,True,True,"上海裕灏投资管理有限公司-裕灏金苹果6号私募证券投资基金
长信基金-浦发银行-五矿国际信托-五矿信托-聚富投资单一资金信托
平安银行股份有限公司-广发沪港深新起点股票型证券投资基金
上海万永投资管理有限公司-万永5期私募证券投资基金
云南国际信托有限公司-云信智兴2017-118号单一资金信托
云南国际信托有限公司-云信智兴2017-116号单一资金信托"
19,002616.SZ,002616,长青集团,环境保护,11.43,True,True,True,"招商银行股份有限公司-景顺长城品质成长混合型证券投资基金
中国银行-景顺长城动力平衡证券投资基金"
20,002698.SZ,002698,博实股份,化工机械,11.88,True,True,True,"香港中央结算有限公司(陆股通)
国海证券-浦发银行-国海证券虑远1058号集合资产管理计划"
21,603088.SH,603088,宁波精达,专用机械,12.67,True,False,True,
22,300381.SZ,300381,溢多利,生物制药,13.07,True,True,True,深圳菁英时代基金管理股份有限公司-菁英时代久盈1号基金
23,300257.SZ,300257,开山股份,机械基件,13.2,True,True,True,"香港中央结算有限公司(陆股通)
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
24,002758.SZ,002758,华通医药,医药商业,13.2,True,True,True,浙江大熊投资管理有限公司-伽利略壹号私募投资基金
25,603937.SH,603937,丽岛新材,铝,14.03,True,True,True,
26,002222.SZ,002222,福晶科技,元器件,14.13,True,False,True,"上海浦东发展银行股份有限公司-西藏东财中证通信技术主题指数型发起式证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中邮核心成长混合型证券投资基金
深圳市星森资产管理有限公司-星森二期私募基金"
27,600750.SH,600750,江中药业,中成药,14.38,True,False,True,"中央汇金资产管理有限责任公司
基本养老保险基金一五零一一组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成景阳领先混合型证券投资基金"
28,603056.SH,603056,德邦股份,仓储物流,14.44,True,False,True,"中金佳泰(天津)股权投资基金合伙企业(有限合伙)
天津瑞荣股权投资基金合伙企业(有限合伙)
上海国和现代服务业股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-东方红恒元五年定期开放灵活配置混合型证券投资基金"
29,002262.SZ,002262,恩华药业,化学制药,15.0,True,False,True,"香港中央结算有限公司(陆股通)
上海宽远资产管理有限公司-宽远价值进取证券投资基金
中国建设银行股份有限公司-鹏华优选价值股票型证券投资基金"
30,603269.SH,603269,海鸥股份,机械基件,15.01,True,True,True,
31,300503.SZ,300503,昊志机电,机械基件,15.43,True,True,True,"广州市玄元投资管理有限公司-玄元定增精选证券投资基金
玄元(横琴)股权投资有限公司-玄元横琴4号私募投资基金"
32,300200.SZ,300200,高盟新材,化工原料,16.0,True,False,True,中央汇金资产管理有限责任公司
33,603699.SH,603699,纽威股份,专用机械,16.05,True,True,True,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-富国龙头优势混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金"
34,300453.SZ,300453,三鑫医疗,医疗保健,16.27,True,True,True,"中国工商银行股份有限公司-融通医疗保健行业混合型证券投资基金
中航信托股份有限公司-中航信托·天顺【2019】113号江西国资支持民营企业专项单一资金信托"
