,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_NO_LIMIT,COL_FLOAT_HOLDERS
0,000301.SZ,000301,东方盛虹,化纤,5.52,True,False,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
1,600350.SH,600350,山东高速,路桥,6.4,True,False,True,"山东高速集团-中金公司-17山高EB担保及信托财产专户
香港中央结算有限公司(陆股通)
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-广发优企精选灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发行业领先混合型证券投资基金
中国工商银行股份有限公司-富国中证红利指数增强型证券投资基金"
2,300225.SZ,300225,金力泰,染料涂料,6.67,True,False,True,"宁夏华锦资产管理有限公司
上海方圆达创投资合伙企业(有限合伙)-方圆-东方25号私募投资基金
上海方圆达创投资合伙企业(有限合伙)-方圆-东方15号私募投资基金
中央汇金资产管理有限责任公司"
3,600119.SH,600119,ST长投,仓储物流,6.72,True,False,True,
4,002553.SZ,002553,南方轴承,汽车配件,6.78,True,False,True,华泰证券资管-南京银行-华泰家园10号集合资产管理计划
5,603058.SH,603058,永吉股份,广告包装,7.99,True,False,True,
6,000967.SZ,000967,盈峰环境,环境保护,8.48,True,False,True,"上海君和立成投资管理中心(有限合伙)-上海绿联君和产业并购股权投资基金合伙企业(有限合伙)
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
上海君和立成投资管理中心(有限合伙)-上海绿联君和产业并购股权投资基金合伙企业(有限合伙)
广东粤财信托有限公司-粤财信托·腾鑫1号证券投资集合资金信托计划
宁波太石资产管理有限公司"
7,000504.SZ,000504,*ST生物,环境保护,9.02,True,False,True,"湖南省财信产业基金管理有限公司
上海和平大宗股权投资基金管理有限公司
重庆信三威投资咨询中心(有限合伙)-昌盛二号私募基金
云南国际信托有限公司-云信永盈8号证券投资集合资金信托计划"
8,601028.SH,601028,玉龙股份,钢加工,9.66,True,False,True,
9,300219.SZ,300219,鸿利智汇,元器件,10.16,True,False,True,
