,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,000959.SZ,000959,首钢股份,普钢,3.66,True,False,"北京纳木纳尼资产管理有限公司
香港中央结算有限公司(陆股通)"
1,000793.SZ,000793,华闻集团,出版业,3.74,True,False,"四川信托有限公司-四川信托·星光3号单一资金信托
国广环球资产管理有限公司
前海开源基金-浦发银行-渤海国际信托-渤海信托·煦沁聚和1号集合资金信托计划
长信基金-浦发银行-长信-浦发-粤信2号资产管理计划
四川信托有限公司-四川信托·星光5号单一资金信托
方正东亚信托有限责任公司-腾翼投资1号单一资金信托
前海开源基金-浦发银行-前海开源聚和资产管理计划
云南国际信托有限公司-峻茂15号单一资金信托"
2,600811.SH,600811,东方集团,综合类,4.09,True,False,"昆仑信托有限责任公司-昆仑信托·东方集团定增一号集合资金信托计划
深圳市大华信安资产管理企业(有限合伙)-大华承运私募证券投资基金
中央汇金资产管理有限责任公司
中融金谷投资(北京)有限公司-中融金谷价值精选二号私募证券投资基金"
3,300163.SZ,300163,先锋新材,其他建材,4.19,True,False,
4,600239.SH,600239,云南城投,区域地产,4.45,True,False,
5,600337.SH,600337,美克家居,家居用品,5.18,True,False,"国泰元鑫资管-赣州金融控股集团有限责任公司-国泰元鑫睿鑫一号单一资产管理计划
美克集团-中山证券-2018年非公开发行可交换公司债券担保及信托财产专户
美克集团-中山证券-19美克EB01担保及信托财产专户
民生加银基金-平安银行-四川信托-美克1号集合资金信托计划
美克集团-中山证券-19美克E2担保及信托财产专户
美克集团-中山证券-19美04EB担保及信托财产专户
中海信托股份有限公司-中海信托-美克家居员工持股计划集合资金信托计划
泰达宏利基金-民生银行-华鑫国际信托-华鑫信托·智选10号证券投资集合资金信托计划
新华基金-民生银行-四川信托-智隆优选1号集合资金信托计划
中海信托股份有限公司-中海信托-美克家居员工持股计划集合资金信托计划
美克集团-中山证券-19美04EB担保及信托财产专户
美克集团-中山证券-19美克E2担保及信托财产专户
民生加银基金-平安银行-四川信托-美克1号集合资金信托计划
美克集团-中山证券-19美克EB01担保及信托财产专户
美克集团-中山证券-19美克EB01担保及信托财产专户
民生加银基金-平安银行-四川信托-美克1号集合资金信托计划
美克集团-中山证券-19美克E2担保及信托财产专户
美克集团-中山证券-19美04EB担保及信托财产专户
泰达宏利基金-民生银行-华鑫国际信托-华鑫信托·智选10号证券投资集合资金信托计划
中海信托股份有限公司-中海信托-美克家居员工持股计划集合资金信托计划
新华基金-民生银行-四川信托-智隆优选1号集合资金信托计划"
6,601968.SH,601968,宝钢包装,广告包装,5.25,True,False,浙商证券资管-光大银行-浙商汇金灵活定增集合资产管理计划
7,000301.SZ,000301,东方盛虹,化纤,5.52,True,False,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
8,002004.SZ,002004,华邦健康,化学制药,5.53,True,False,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
9,600609.SH,600609,金杯汽车,汽车配件,5.83,True,False,北京桑海汇通资产管理中心(有限合伙)
