,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,600572.SH,600572,康恩贝,中成药,True,5.66,True,False,"渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划
香港中央结算有限公司(陆股通)
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
1,600594.SH,600594,益佰制药,中成药,True,6.53,True,False,"中央汇金资产管理有限责任公司
金元顺安基金-海通证券-渤海国际信托-渤海信托·恒利丰123号·益佰艾康一号集合资金信托计划"
2,600285.SH,600285,羚锐制药,中成药,True,9.23,True,False,"香港中央结算有限公司(陆股通)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
中国工商银行股份有限公司-诺安先锋混合型证券投资基金
方正证券-宁波银行-民族-羚锐小羚羊资产管理计划"
3,600479.SH,600479,千金药业,中成药,True,9.64,True,False,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
长安基金-光大银行-长安平安富贵千金净雅资产管理计划"
4,300381.SZ,300381,溢多利,生物制药,True,13.45,True,False,深圳菁英时代基金管理股份有限公司-菁英时代久盈1号基金
5,300171.SZ,300171,东富龙,医疗保健,True,14.26,True,False,汇添富基金管理股份有限公司-社保基金一五零二组合
6,300519.SZ,300519,新光药业,中成药,True,15.98,True,False,
7,600976.SH,600976,健民集团,中成药,True,17.05,True,False,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品"
8,600329.SH,600329,中新药业,中成药,True,17.3,True,False,中央汇金资产管理有限责任公司
9,002332.SZ,002332,仙琚制药,生物制药,True,18.01,True,False,"中央汇金资产管理有限责任公司
国泰基金管理有限公司-社保基金四二一组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合润分级混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
齐鲁证券资管-民生银行-齐鲁民生2号集合资产管理计划
全国社保基金六零二组合"
10,300439.SZ,300439,美康生物,医疗保健,True,18.65,True,False,广东金百合财富管理有限公司-金百合八号证券投资基金
11,603139.SH,603139,康惠制药,中成药,True,19.24,True,False,"陕西德同福方投资管理有限公司-陕西省新材料高技术创业投资基金(有限合伙)
中国建设银行股份有限公司-光大保德信风格轮动混合型证券投资基金"
12,300562.SZ,300562,乐心医疗,医疗保健,True,19.4,True,False,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金"
13,300146.SZ,300146,汤臣倍健,医疗保健,True,20.57,True,False,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
前海开源再融资主题精选股票型证券投资基金
易方达创业板交易型开放式指数证券投资基金"
14,002287.SZ,002287,奇正藏药,中成药,True,20.8,True,False,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中央汇金资产管理有限责任公司"
15,300406.SZ,300406,九强生物,医疗保健,True,22.1,True,False,"香港中央结算有限公司(陆股通)
全国社保基金四一一组合"
16,600645.SH,600645,中源协和,生物制药,True,23.01,True,False,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
17,002942.SZ,002942,新农股份,农药化肥,True,29.6,True,False,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
18,002727.SZ,002727,一心堂,医药商业,True,31.69,True,False,"招商银行股份有限公司-景顺长城品质成长混合型证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行-广发聚丰混合型证券投资基金
中国工商银行股份有限公司-景顺长城沪港深精选股票型证券投资基金
中国工商银行股份有限公司-景顺长城精选蓝筹混合型证券投资基金
中国农业银行股份有限公司-景顺长城核心竞争力混合型证券投资基金"
19,600521.SH,600521,华海药业,化学制药,True,33.2,True,False,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
全国社保基金一零五组合
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金"
20,300233.SZ,300233,金城医药,化学制药,True,33.55,True,False,"华泰证券股份有限公司-中庚价值领航混合型证券投资基金
海通证券资管-工商银行-海通投融宝1号集合资产管理计划
广发证券股份有限公司-中庚小盘价值股票型证券投资基金
香港中央结算有限公司(陆股通)"
21,300633.SZ,300633,开立医疗,医疗保健,True,36.15,True,False,"招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
中金佳泰(天津)股权投资基金合伙企业(有限合伙)
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华商盛世成长混合型证券投资基金"
22,603810.SH,603810,丰山集团,农药化肥,True,42.07,True,False,
23,002773.SZ,002773,康弘药业,化学制药,True,42.09,True,False,"招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
招商银行股份有限公司-兴全合泰混合型证券投资基金
兴业全球基金-兴业银行-兴全-股票红利特定多客户资产管理计划
兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
中国建设银行股份有限公司-兴全社会责任混合型证券投资基金"
24,300639.SZ,300639,凯普生物,医疗保健,True,44.4,True,False,"北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
武汉比邻之家股权投资基金管理中心(有限合伙)
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
中国建设银行股份有限公司-上投摩根医疗健康股票型证券投资基金
上海盛宇股权投资中心(有限合伙)-盛宇十七号私募证券投资基金
中国工商银行股份有限公司-富国龙头优势混合型证券投资基金"
