,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_AMPLITUDE,COL_FLOAT_HOLDERS
0,600022.SH,600022,山东钢铁,普钢,1.3,True,5.691056910569103,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
1,601929.SH,601929,吉视传媒,影视音像,2.22,True,11.557788944723635,中央汇金资产管理有限责任公司
2,300111.SZ,300111,向日葵,半导体,2.52,True,13.513513513513509,
3,600275.SH,600275,ST昌鱼,农业综合,2.57,True,29.7979797979798,
4,600220.SH,600220,江苏阳光,纺织,2.7,True,26.16822429906542,"中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
5,600808.SH,600808,马钢股份,普钢,2.7,True,11.570247933884303,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
福建滚雪球投资管理有限公司-嘉耀滚雪球1号证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
6,601588.SH,601588,北辰实业,区域地产,2.81,True,8.914728682170537,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
7,000753.SZ,000753,漳州发展,汽车服务,2.92,True,14.509803921568643,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
8,002431.SZ,002431,棕榈股份,建筑工程,3.0,True,24.27983539094649,中央汇金资产管理有限责任公司
9,003816.SZ,003816,中国广核,新型电力,3.07,True,9.219858156028371,
10,002141.SZ,002141,贤丰控股,元器件,3.33,True,20.274914089347075,"深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划"
11,002154.SZ,002154,报喜鸟,服饰,3.44,True,23.29749103942651,中央汇金资产管理有限责任公司
12,600665.SH,600665,天地源,全国地产,3.56,True,9.202453987730074,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
13,603993.SH,603993,洛阳钼业,小金属,3.77,True,12.537313432835816,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
全国社保基金一零八组合"
14,300278.SZ,300278,华昌达,专用机械,3.97,True,26.97947214076246,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托"
