,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,002509.SZ,002509,天茂退,,0.2,"方正东亚信托有限责任公司-聚赢31号证券投资单一资金信托
湖南省信托有限责任公司-南金3号集合资金信托计划
华能贵诚信托有限公司-华能信托·致远建诚1号集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆28号证券投资集合资金信托计划"
1,601558.SH,601558,退锐电,,0.23,
2,300156.SZ,300156,神雾环保,环境保护,0.32,
3,300090.SZ,300090,盛运环保,环境保护,0.32,"安徽省铁路发展基金股份有限公司
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-众禄A股定增2号基金"
4,600175.SH,600175,*ST美都,综合类,0.41,嘉实资本-工商银行-中航信托-中航信托·天顺1685号单一资金信托
5,002220.SZ,002220,*ST天宝,食品,0.52,
6,002711.SZ,002711,*ST欧浦,仓储物流,0.77,创金合信基金-南京银行-诺安资产管理有限公司
7,000820.SZ,000820,*ST节能,环境保护,0.9,"陕西省国际信托股份有限公司-陕国投·持盈88号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆30号证券投资集合资金信托计划"
8,000587.SZ,000587,*ST金洲,批发业,0.9,中欧基金-农业银行-中欧中证金融资产管理计划
9,600069.SH,600069,*ST银鸽,造纸,0.92,
10,600856.SH,600856,*ST中天,供气供热,0.94,"青岛中天资产管理有限公司
中原信托有限公司-中原财富-成长434期-中天能源股权收益权投资集合资金信托计划
渤海国际信托股份有限公司-渤海信托·恒利丰201号集合资金信托计划
英大基金-民生银行-渤海信托-渤海信托·君乾1号单一资金信托
浙商金汇信托股份有限公司-浙金·汇利44号证券投资集合资金信托计划"
11,002210.SZ,002210,*ST飞马,仓储物流,0.97,"光大兴陇信托有限责任公司-光大信托-励上2号集合资金信托计划
深圳市前海宏亿资产管理有限公司"
12,600634.SH,600634,*ST富控,互联网,1.05,中融国际信托有限公司-中融-证赢179号证券投资集合资金信托计划
13,600255.SH,600255,*ST梦舟,铜,1.07,"财通基金-李绍君-财通基金玉泉916号单一资产管理计划
财通基金-李绍君-财通基金玉泉916号单一资产管理计划
财通基金-李绍君-财通基金玉泉916号单一资产管理计划"
14,600010.SH,600010,包钢股份,普钢,1.11,"香港中央结算有限公司(陆股通)
华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
华安资产管理(香港)有限公司-客户资金专户1号(交易所)"
15,002256.SZ,002256,*ST兆新,染料涂料,1.14,"深圳市汇通正源股权投资基金合伙企业(有限合伙)
中融国际信托有限公司
上海隆升资产管理有限公司"
16,600687.SH,600687,*ST刚泰,黄金,1.16,"浙江汇通刚泰股权投资基金合伙企业(有限合伙)
上海淮茂股权投资基金管理合伙企业(有限合伙)
华润深国投信托有限公司-华润信托·韶夏增利39号单一资金信托"
17,600122.SH,600122,*ST宏图,其他商业,1.16,
18,600701.SH,600701,*ST工新,综合类,1.17,
19,600978.SH,600978,*ST宜生,家居用品,1.2,
20,600568.SH,600568,*ST中珠,区域地产,1.23,"武汉雪球资产管理有限公司-武汉众邦资产定增1号证券投资基金
深圳市一体正润资产管理有限公司
兴业国际信托有限公司-睿郡可交换私募债2号结构化债券投资集合资金信托计划"
21,600290.SH,600290,*ST华仪,电气设备,1.23,"东吴基金-兴业银行-彭杏妮
万家基金-兴业银行-南京钢铁联合有限公司
上银基金-浦发银行-徐燎燃
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·民鑫20号证券投资集合资金信托计划
前海开源基金-恒丰银行-海通创新证券投资有限公司"
22,000816.SZ,000816,ST慧业,农用机械,1.24,香港中央结算有限公司(陆股通)
23,601258.SH,601258,ST庞大,汽车服务,1.27,
24,002122.SZ,002122,*ST天马,机械基件,1.28,
25,002359.SZ,002359,*ST北讯,通信设备,1.28,陕西省国际信托股份有限公司-陕国投·鑫鑫向荣85号证券投资集合资金信托计划
26,600157.SH,600157,永泰能源,火力发电,1.3,"陕西省国际信托股份有限公司-陕国投·唐兴8号证券投资集合资金信托计划
泰达宏利基金-工商银行-泰达宏利新毅3号资产管理计划"
27,000673.SZ,000673,*ST当代,影视音像,1.3,"南方资本-宁波银行-当代东方定向增发专项资产管理计划
中国金谷国际信托有限责任公司-金谷·信惠94号证券投资集合资金信托计划
中国金谷国际信托有限责任公司-金谷·信惠64号证券投资集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华升85号集合资金信托计划
中国金谷国际信托有限责任公司-金谷·信惠52号证券投资集合资金信托计划
中国金谷国际信托有限责任公司-金谷·信惠36号证券投资集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华升81号集合资金信托计划"
28,002113.SZ,002113,*ST天润,互联网,1.31,
29,000982.SZ,000982,*ST中绒,纺织,1.32,
30,000981.SZ,000981,ST银亿,汽车配件,1.32,
31,002535.SZ,002535,*ST林重,工程机械,1.33,
32,002610.SZ,002610,爱康科技,电气设备,1.34,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
33,600022.SH,600022,山东钢铁,普钢,1.35,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
34,603077.SH,603077,和邦生物,化工原料,1.36,"西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资77号集合资金信托计划
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资78号集合资金信托计划
香港中央结算有限公司(陆股通)
建信基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资75号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资77号集合资金信托计划
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资78号集合资金信托计划
香港中央结算有限公司(陆股通)
建信基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资75号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
35,600086.SH,600086,东方金钰,服饰,1.36,"上海国际信托有限公司-上信-浦银股益4号集合资金信托计划
天风证券-湖北省国有资本运营有限公司-天风证券天权50号定向资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划"
36,600555.SH,600555,*ST海创,旅游服务,1.39,
37,002501.SZ,002501,*ST利源,铝,1.42,"长城国泰(舟山)产业并购重组基金合伙企业(有限合伙)
安徽省铁路发展基金股份有限公司
北信瑞丰基金-工商银行-华融国际信托-华融·融汇54号权益投资集合资金信托计划
前海开源基金-浦发银行-渤海国际信托-前海利源1号单一资金信托"
38,000727.SZ,000727,*ST东科,元器件,1.42,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
39,000585.SZ,000585,*ST东电,电气设备,1.43,
