,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,600022.SH,600022,山东钢铁,普钢,1.35,True,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
1,601005.SH,601005,重庆钢铁,普钢,1.69,True,True,
2,600569.SH,600569,安阳钢铁,普钢,2.14,True,True,中央汇金资产管理有限责任公司
3,601929.SH,601929,吉视传媒,影视音像,2.18,True,True,中央汇金资产管理有限责任公司
4,601000.SH,601000,唐山港,港口,2.25,True,True,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
5,000552.SZ,000552,靖远煤电,煤炭开采,2.26,True,True,"平安大华基金-平安银行-中融国际信托-财富骐骥定增5号集合资金信托计划
诺安基金-兴业证券-中国光大银行股份有限公司"
6,600231.SH,600231,凌钢股份,普钢,2.31,True,True,"宁波宁聚资产管理中心(有限合伙)-宁聚量化精选证券投资基金
宁波宁聚资产管理中心(有限合伙)-宁聚满天星2期对冲基金
宁波宁聚资产管理中心(有限合伙)-宁聚量化稳盈优享私募证券投资基金"
7,600397.SH,600397,安源煤业,煤炭开采,2.54,True,False,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
8,600808.SH,600808,马钢股份,普钢,2.69,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
福建滚雪球投资管理有限公司-嘉耀滚雪球1号证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国银行股份有限公司-富国中证国企一带一路交易型开放式指数证券投资基金
中国建设银行股份有限公司-易方达中证国企一带一路交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
9,600256.SH,600256,广汇能源,石油开采,2.73,True,True,"中央汇金资产管理有限责任公司
华龙证券-浦发银行-华龙证券金智汇31号集合资产管理计划
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
10,600275.SH,600275,ST昌鱼,农业综合,2.74,True,True,
11,601588.SH,601588,北辰实业,区域地产,2.84,True,True,"香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合"
12,600715.SH,600715,文投控股,影视音像,2.85,True,True,"中国民生信托有限公司-中国民生信托-至信516号证券投资集合资金信托计划
上海丰煜投资有限公司-丰煜-稳盈证券投资基金1号"
13,600220.SH,600220,江苏阳光,纺织,2.87,True,True,"中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划"
14,002431.SZ,002431,棕榈股份,建筑工程,3.04,True,True,中央汇金资产管理有限责任公司
15,002133.SZ,002133,广宇集团,全国地产,3.1,True,True,
16,002069.SZ,002069,獐子岛,渔业,3.11,True,True,北京吉融元通资产管理有限公司-和岛一号证券投资基金
17,000937.SZ,000937,冀中能源,煤炭开采,3.11,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
18,600581.SH,600581,八一钢铁,普钢,3.15,True,True,中央汇金资产管理有限责任公司
19,600117.SH,600117,西宁特钢,特种钢,3.25,True,True,
20,002314.SZ,002314,南山控股,区域地产,3.36,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
21,000778.SZ,000778,新兴铸管,钢加工,3.47,True,True,"香港中央结算有限公司(陆股通)
全国社保基金四一三组合
安徽高新毅达皖江产业发展创业投资基金(有限合伙)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
22,300008.SZ,300008,天海防务,船舶,3.47,True,True,
23,002108.SZ,002108,沧州明珠,塑料,3.58,True,False,"中央汇金资产管理有限责任公司
深圳福星资本管理有限公司-福星高照1号私募投资基金
云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划"
24,600684.SH,600684,珠江实业,全国地产,3.58,True,True,香港中央结算有限公司(陆股通)
25,600282.SH,600282,南钢股份,普钢,3.64,True,True,"香港中央结算有限公司(陆股通)
基本养老保险基金一零零三组合
财通基金-广发证券-四川三新创业投资有限责任公司"
26,002517.SZ,002517,恺英网络,互联网,3.66,True,True,"深圳市华泰瑞麟一号股权投资基金合伙企业(有限合伙)
深圳市华泰瑞麟一号股权投资基金合伙企业(有限合伙)"
27,603993.SH,603993,洛阳钼业,小金属,3.79,True,True,"中国建设银行股份有限公司-博时主题行业混合型证券投资基金(LOF)
建信基金-工商银行-陕西省国际信托-陕国投·金玉6号定向投资集合资金信托计划
中国国有企业结构调整基金股份有限公司
民生加银基金-宁波银行-嘉兴民琉投资合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
全国社保基金一零八组合"
28,600959.SH,600959,江苏有线,影视音像,3.82,True,True,江苏紫金文化产业二期创业投资基金(有限合伙)
29,000060.SZ,000060,中金岭南,铅锌,3.82,True,False,"中信保诚基金-浦发银行-云南国际信托-云信智兴2017-510号单一资金信托
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
30,600365.SH,600365,通葡股份,红黄酒,3.85,True,True,
31,000548.SZ,000548,湖南投资,路桥,3.85,True,False,
32,000717.SZ,000717,韶钢松山,普钢,3.97,True,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金"
33,000543.SZ,000543,皖能电力,火力发电,4.04,True,False,"全国社保基金一零三组合
全国社保基金四一二组合
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
34,601001.SH,601001,大同煤业,煤炭开采,4.04,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金"
35,601011.SH,601011,宝泰隆,焦炭加工,4.08,True,True,创金合信基金-包商银行-中建投信托-中建投信托·鹏华定增1号集合资金信托计划
36,300005.SZ,300005,探路者,服饰,4.1,True,True,
37,600503.SH,600503,华丽家族,区域地产,4.16,True,True,
38,600657.SH,600657,信达地产,全国地产,4.17,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
39,002131.SZ,002131,利欧股份,互联网,4.18,True,True,"香港中央结算公司
中国农业银行-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
