,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_PIT,COL_FLOAT_HOLDERS
0,600252.SH,600252,中恒集团,中成药,True,3.26,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
1,002170.SZ,002170,芭田股份,农药化肥,True,3.91,True,广东西域投资管理有限公司-西域诚长稳赢壹号私募基金
2,300110.SZ,300110,华仁药业,化学制药,True,4.08,True,"鹏华资产-浦发银行-鹏华资产方圆5号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划"
3,000912.SZ,000912,泸天化,农药化肥,True,4.18,True,
4,002588.SZ,002588,史丹利,农药化肥,True,4.27,True,中央汇金资产管理有限责任公司
5,002370.SZ,002370,亚太药业,化学制药,True,4.8,True,上海华富利得资产-民生银行-富鼎6号专项资产管理计划
6,002538.SZ,002538,司尔特,农药化肥,True,4.88,True,创金合信基金-招商银行-湖南轻盐创投定增资产管理计划
7,000766.SZ,000766,通化金马,化学制药,True,4.97,True,
8,002215.SZ,002215,诺普信,农药化肥,True,6.05,True,"中航信托股份有限公司-天启(2016)55号诺普信员工持股集合资金信托计划
深圳前海精至资产管理有限公司-精至君诺私募证券投资基金"
9,002424.SZ,002424,贵州百灵,中成药,True,8.35,True,"华创证券有限责任公司支持民企发展14号单一资产管理计划
华创证券-工商银行-华创证券有限责任公司支持民企发展1号集合资产管理计划
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
申万宏源证券-证券行业支持民企发展之申万宏源2号单一资产管理计划"
10,603963.SH,603963,大理药业,化学制药,True,8.65,True,
11,000952.SZ,000952,广济药业,化学制药,True,8.9,True,盛稷股权投资基金(上海)有限公司
12,300030.SZ,300030,阳普医疗,医疗保健,True,9.2,True,"中央汇金资产管理有限责任公司
长安基金-光大银行-长安睿享2号分级资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划"
13,600750.SH,600750,江中药业,中成药,True,12.4,True,"中央汇金资产管理有限责任公司
基本养老保险基金一五零一一组合
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-大成景阳领先混合型证券投资基金"
14,002044.SZ,002044,美年健康,医疗保健,True,12.86,True,"上海天亿资产管理有限公司
云南国际信托有限公司-云南信托-云起3号集合资金信托计划
香港中央结算有限公司(陆股通)
全国社保基金一一七组合
上海国盛资本管理有限公司-上海国盛海通股权投资基金合伙企业(有限合伙)"
15,002817.SZ,002817,黄山胶囊,化学制药,True,13.71,True,
16,603880.SH,603880,南卫股份,医疗保健,True,14.71,True,
