,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,600397.SH,安源煤业,煤炭开采,9.9567,2.54,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
1,002909.SZ,集泰股份,化工原料,9.9572,10.27,
2,603661.SH,恒林股份,家居用品,10.0065,50.57,"中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金"
3,300842.SZ,帝科股份,元器件,10.0087,25.28,
4,600884.SH,杉杉股份,综合类,10.0191,11.53,"中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金"
5,300612.SZ,宣亚国际,广告包装,10.0213,20.64,
6,300097.SZ,智云股份,电器仪表,10.0267,16.46,"南通金玖锐信投资管理有限公司-中汇金锐定增5期私募投资基金
全国社保基金一一四组合
中国银行股份有限公司-博时宏观回报债券型证券投资基金
交通银行股份有限公司-长城久富核心成长混合型证券投资基金(LOF)"
7,603329.SH,上海雅仕,仓储物流,10.0326,16.89,连云港初映企业资产管理合伙企业(有限合伙)
8,300019.SZ,硅宝科技,化工原料,10.0448,12.27,"申万菱信基金-四川发展引领资本管理有限公司-申万菱信-引领资本1号大股东增持单一资产管理计划
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金"
9,605166.SH,聚合顺,化工原料,10.0493,11.17,
10,000638.SZ,万方发展,软件服务,10.0671,4.92,
