,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_FLOAT_HOLDERS
0,002219.SZ,002219,*ST恒康,中成药,True,1.51,"四川产业振兴发展投资基金有限公司
长安基金-工商银行-华鑫信托-鑫康财富3号单一资金信托
新余恒道资产管理中心(有限合伙)
盛世金泉(天津)股权投资基金管理有限公司
上海朴沃资产管理有限公司"
1,000509.SZ,000509,*ST华塑,医疗保健,True,1.67,
2,000806.SZ,000806,*ST银河,生物制药,True,1.71,
3,002102.SZ,002102,ST冠福,化学制药,True,1.92,
4,300247.SZ,300247,融捷健康,医疗保健,True,2.48,安徽高新毅达皖江产业发展创业投资基金(有限合伙)
5,600518.SH,600518,ST康美,中成药,True,2.62,"五矿国际信托有限公司-五矿信托-优质精选上市公司投资单一资金信托
华夏基金-农业银行-华夏中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划"
6,300108.SZ,300108,吉药控股,中成药,True,2.8,"吉林省现代农业和新兴产业投资基金有限公司
汇安基金-浦发银行-江海证券有限公司
上海国药股权投资基金合伙企业(有限合伙)"
7,600530.SH,600530,*ST交昂,医疗保健,True,2.8,
8,600227.SH,600227,圣济堂,化学制药,True,2.84,"中国长城资产管理股份有限公司
云南国际信托有限公司-云南信托·大西部丝绸之路2号集合资金信托计划
东海基金-浦发银行-云南国际信托-云南信托锦瑟年华2号集合资金信托计划"
9,002162.SZ,002162,悦心健康,医疗保健,True,3.02,中央汇金资产管理有限责任公司
10,600090.SH,600090,同济堂,医药商业,True,3.03,"北京东方国润投资基金管理中心(有限合伙)
北京京粮鑫牛润瀛股权投资基金(有限合伙)
广州汇垠健康产业投资基金企业(有限合伙)"
11,002437.SZ,002437,誉衡药业,化学制药,True,3.15,
12,600252.SH,600252,中恒集团,中成药,True,3.24,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
13,600664.SH,600664,哈药股份,化学制药,True,3.48,"中国证券投资者保护基金有限责任公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
14,600767.SH,600767,ST运盛,医疗保健,True,3.53,四川蓝润资产管理有限公司
15,000150.SZ,000150,宜华健康,医疗保健,True,3.71,广发证券资管-浦发银行-广发原驰·宜华健康1号集合资产管理计划
16,002435.SZ,002435,长江健康,化学制药,True,3.73,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划"
17,000908.SZ,000908,景峰医药,化学制药,True,3.93,"中国长城资产管理股份有限公司
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
平江县国有资产管理局"
18,300110.SZ,300110,华仁药业,化学制药,True,4.02,"鹏华资产-浦发银行-鹏华资产方圆5号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划"
19,000516.SZ,000516,国际医学,医疗保健,True,4.07,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划"
20,300267.SZ,300267,尔康制药,化学制药,True,4.1,
21,600781.SH,600781,ST辅仁,中成药,True,4.14,
22,000518.SZ,000518,四环生物,生物制药,True,4.25,
23,000078.SZ,000078,海王生物,医药商业,True,4.3,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
交通银行股份有限公司-国联安中证医药100指数证券投资基金"
24,600896.SH,600896,览海医疗,医疗保健,True,4.38,
25,002433.SZ,002433,太安堂,中成药,True,4.4,"中央汇金资产管理有限责任公司
中国长城资产管理股份有限公司
陕西省国际信托股份有限公司-陕国投·招商昆吾一期结构化证券投资集合资金信托计划
宁波梅山保税港区凌顶投资管理有限公司-凌顶五号私募证券投资基金"
26,002550.SZ,002550,千红制药,生物制药,True,4.44,香港中央结算有限公司(陆股通)
27,600713.SH,600713,南京医药,医药商业,True,4.46,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
28,300239.SZ,300239,东宝生物,生物制药,True,4.53,"中科先行(北京)资产管理有限公司
中央汇金资产管理有限责任公司
内蒙古金融资产管理有限公司
中国华融资产管理股份有限公司"
29,002390.SZ,002390,信邦制药,中成药,True,4.55,
30,600381.SH,600381,青海春天,医疗保健,True,4.59,
31,002118.SZ,002118,紫鑫药业,中成药,True,4.71,上海红樱资产管理有限公司
32,002370.SZ,002370,亚太药业,化学制药,True,4.73,上海华富利得资产-民生银行-富鼎6号专项资产管理计划
33,300086.SZ,300086,康芝药业,化学制药,True,4.93,云南国际信托有限公司-聚鑫2026号集合资金信托计划
34,000790.SZ,000790,华神科技,中成药,True,4.97,
35,000766.SZ,000766,通化金马,化学制药,True,4.97,
36,600351.SH,600351,亚宝药业,中成药,True,5.06,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司"
37,300006.SZ,300006,莱美药业,化学制药,True,5.07,中国对外经济贸易信托有限公司-外贸信托-汇沣8号结构化证券投资集合资金信托计划
38,000950.SZ,000950,重药控股,医药商业,True,5.09,"重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托
重庆渝富资本股权投资基金管理有限公司-重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙)"
39,002693.SZ,002693,双成药业,化学制药,True,5.14,
40,600721.SH,600721,ST百花,生物制药,True,5.16,"上海嘉企资产管理中心(有限合伙)
西藏瑞东财富投资有限责任公司-瑞丰医药投资基金"
41,002349.SZ,002349,精华制药,中成药,True,5.17,
42,000597.SZ,000597,东北制药,化学制药,True,5.21,"中国华融资产管理股份有限公司
香港中央结算有限公司(陆股通)"
43,002004.SZ,002004,华邦健康,化学制药,True,5.22,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
44,600488.SH,600488,天药股份,化学制药,True,5.23,"中央汇金资产管理有限责任公司
广州德福投资咨询合伙企业(有限合伙)-广州德福股权投资基金合伙企业(有限合伙)
领航投资澳洲有限公司-领航新兴市场股指基金(交易所)"
45,600080.SH,600080,ST金花,中成药,True,5.27,北京融亨基金管理有限公司-融亨宝盈证券私募投资基金
46,300039.SZ,300039,上海凯宝,中成药,True,5.28,中央汇金资产管理有限责任公司
47,002198.SZ,002198,嘉应制药,中成药,True,5.33,深圳市老虎汇资产管理有限公司
48,002562.SZ,002562,兄弟科技,化学制药,True,5.35,"中国国际金融香港资产管理有限公司-客户资金
中国建设银行股份有限公司-华夏兴华混合型证券投资基金
中央汇金资产管理有限责任公司"
49,300158.SZ,300158,振东制药,化学制药,True,5.37,国通信托有限责任公司-国通信托·紫金11号集合资金信托计划
50,002173.SZ,002173,创新医疗,医疗保健,True,5.38,
51,300026.SZ,300026,红日药业,中成药,True,5.52,泰达宏利基金-民生银行-泰达宏利价值成长定向增发118号资产管理计划
52,002589.SZ,002589,瑞康医药,医药商业,True,5.52,"汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划
汇添富基金-宁波银行-程义全"
53,002872.SZ,002872,*ST天圣,化学制药,True,5.52,
54,600572.SH,600572,康恩贝,中成药,True,5.53,"渤海国际信托股份有限公司-渤海信托·恒利丰253号集合资金信托计划
香港中央结算有限公司(陆股通)
金元顺安基金-杭州银行-华润信托-华润信托·汇祥增利53号单一资金信托
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
55,300194.SZ,300194,福安药业,化学制药,True,5.57,"申万宏源证券-民生银行-申万宏源领航200号集合资产管理计划
昆仑信托有限责任公司-昆仑四十一号证券投资集合资金信托计划"
