,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_DAILY_BREAK_OFFSET1,COL_FLOAT_HOLDERS
0,002004.SZ,002004,华邦健康,化学制药,True,5.32,True,False,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
1,000813.SZ,000813,德展健康,化学制药,True,6.37,True,True,"北京凯世富乐资产管理股份有限公司-凯世富乐稳健9号私募证券投资基金
北京凯世富乐资产管理股份有限公司-凯世富乐稳健11号私募证券投资基金"
2,603669.SH,603669,灵康药业,化学制药,True,7.97,True,True,香港中央结算有限公司(陆股通)
3,300412.SZ,300412,迦南科技,医疗保健,True,8.18,True,True,"北信瑞丰基金-平安银行-北信瑞丰基金浙商汇融5号资产管理计划
中央汇金资产管理有限责任公司"
4,000989.SZ,000989,九芝堂,中成药,True,9.35,True,True,"绵阳科技城产业投资基金(有限合伙)
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划
香港中央结算有限公司(陆股通)
鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产金润25号资产管理计划
鹏华资产-浦发银行-鹏华资产金润21号资产管理计划"
5,600624.SH,600624,复旦复华,化学制药,True,9.7,True,True,
6,002524.SZ,002524,光正集团,医疗保健,True,10.03,True,True,稷定资产管理(嘉兴)有限公司-稷定健康私募证券投资基金
7,600833.SH,600833,第一医药,医药商业,True,10.79,True,True,
8,000931.SZ,000931,中关村,生物制药,True,11.24,True,True,"北京天鑫财富投资管理有限公司-天鑫医药价值成长1号私募证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
9,002044.SZ,002044,美年健康,医疗保健,True,13.65,True,True,"上海天亿资产管理有限公司
云南国际信托有限公司-云南信托-云起3号集合资金信托计划
香港中央结算有限公司(陆股通)
全国社保基金一一七组合
上海国盛资本管理有限公司-上海国盛海通股权投资基金合伙企业(有限合伙)"
10,600129.SH,600129,太极集团,中成药,True,14.9,True,False,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
财通基金-招商银行-深圳市招商国协壹号股权投资基金管理有限公司
重庆市供销合作发展股权投资基金有限公司"
11,603880.SH,603880,南卫股份,医疗保健,True,15.95,True,True,
12,300171.SZ,300171,东富龙,医疗保健,True,16.1,True,True,汇添富基金管理股份有限公司-社保基金一五零二组合
13,300143.SZ,300143,盈康生命,医疗保健,True,16.24,True,False,"浙商金汇信托股份有限公司-浙金·天府1号证券投资集合资金信托计划
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合"
14,600380.SH,600380,健康元,化学制药,True,16.39,True,True,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
基本养老保险基金一六零一一组合
全国社保基金一零八组合
博时基金管理有限公司-社保基金四一九组合
全国社保基金五零二组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一零八组合
全国社保基金五零二组合
博时基金管理有限公司-社保基金四一九组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实医疗保健股票型证券投资基金
基本养老保险基金一六零一一组合"
15,603987.SH,603987,康德莱,医疗保健,True,16.52,True,False,"中国建设银行股份有限公司-国泰研究精选两年持有期混合型证券投资基金
中国建设银行股份有限公司-国泰大健康股票型证券投资基金
平安资管-邮储银行-如意10号资产管理产品
全国社保基金五零二组合
基本养老保险基金一六零四一组合"
16,600976.SH,600976,健民集团,中成药,True,17.8,True,False,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品"
17,300149.SZ,300149,量子生物,生物制药,True,18.45,True,True,香港中央结算有限公司(陆股通)
18,603718.SH,603718,海利生物,生物制药,True,19.45,True,False,
19,300562.SZ,300562,乐心医疗,医疗保健,True,20.06,True,True,"中国工商银行股份有限公司-中欧时代先锋股票型发起式证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金"
20,600993.SH,600993,马应龙,中成药,True,20.31,True,False,"中国农业银行股份有限公司-大成睿享混合型证券投资基金
中央汇金资产管理有限责任公司
全国社保基金五零三组合
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
摩根士丹利投资管理公司-摩根士丹利中国A股基金
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-景顺长城精选蓝筹混合型证券投资基金"
21,600216.SH,600216,浙江医药,化学制药,True,20.5,True,True,"中国工商银行股份有限公司-融通中国风1号灵活配置混合型证券投资基金
寻常(上海)投资管理有限公司-汇玖3号私募证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金"
22,300146.SZ,300146,汤臣倍健,医疗保健,True,22.08,True,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
前海开源再融资主题精选股票型证券投资基金
易方达创业板交易型开放式指数证券投资基金"
23,002019.SZ,002019,亿帆医药,化学制药,True,23.03,True,True,"香港中央结算有限公司(陆股通)
深圳国调招商并购股权投资基金合伙企业(有限合伙)
江苏一带一路投资基金(有限合伙)
金元顺安基金-宁波银行-华润深国投信托-华润信托·韶夏增利32号单一资金信托
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
24,688108.SH,688108,赛诺医疗,医疗保健,True,23.09,True,False,深圳前海汇富雪球基金管理有限公司-汇富雪球医药医疗大健康一号基金
25,000963.SZ,000963,华东医药,化学制药,True,24.37,True,False,"香港中央结算有限公司(陆股通)
全国社保基金一零六组合
泰康资产管理有限责任公司-积极配置投资产品
基本养老保险基金一五零四一组合
国泰君安证券资管-光大银行-国泰君安君得明混合型集合资产管理计划"
26,002399.SZ,002399,海普瑞,化学制药,True,24.66,True,True,"香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华夏医疗健康混合型发起式证券投资基金
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
招商银行股份有限公司-睿远成长价值混合型证券投资基金"
27,600645.SH,600645,中源协和,生物制药,True,24.86,True,False,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
28,300452.SZ,300452,山河药辅,化学制药,True,26.3,True,False,"中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金
中国工商银行股份有限公司-诺安灵活配置混合型证券投资基金"
