,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT,COL_FLOAT_HOLDERS
0,300090.SZ,300090,盛运环保,环境保护,0.32,True,"安徽省铁路发展基金股份有限公司
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-众禄A股定增2号基金"
1,300362.SZ,300362,天翔环境,环境保护,1.49,True,东海瑞京资产-上海银行-东海瑞京-瑞龙11号专项资产管理计划
2,600777.SH,600777,新潮能源,石油开采,1.68,True,"大业信托有限责任公司-大业信托·聚鑫25号(启坤-新潮能源)集合资金信托计划
大业信托有限责任公司-大业信托·聚鑫26号(骏祥-新潮能源)集合资金信托计划"
3,002305.SZ,002305,南国置业,区域地产,2.93,True,"东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划
东吴基金-上海银行-渤海国际信托股份有限公司
东吴基金-上海银行-东吴鼎利6020号资产管理计划"
4,002069.SZ,002069,獐子岛,渔业,3.0,True,北京吉融元通资产管理有限公司-和岛一号证券投资基金
5,002285.SZ,002285,世联行,房产服务,3.18,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
6,300117.SZ,300117,嘉寓股份,装修装饰,3.36,True,中央汇金资产管理有限责任公司
7,600794.SH,600794,保税科技,仓储物流,3.36,True,
8,000698.SZ,000698,沈阳化工,化工原料,3.39,True,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中央汇金资产管理有限责任公司"
9,000620.SZ,000620,新华联,全国地产,3.49,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
10,601099.SH,601099,太平洋,证券,3.52,True,"陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
11,000407.SZ,000407,胜利股份,供气供热,3.53,True,"平安资产-工商银行-平安资产鑫享7号保险资产管理产品
平安资产-工商银行-鑫享3号资产管理产品"
12,300317.SZ,300317,珈伟新能,半导体,3.55,True,香港中央结算有限公司(陆股通)
13,600586.SH,600586,金晶科技,玻璃,3.78,True,"中央汇金资产管理有限责任公司
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国建设银行股份有限公司-广发中证全指建筑材料指数型发起式证券投资基金
香港中央结算有限公司(陆股通)"
14,002517.SZ,002517,恺英网络,互联网,3.96,True,深圳市华泰瑞麟一号股权投资基金合伙企业(有限合伙)
15,600130.SH,600130,波导股份,通信设备,4.07,True,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
重庆国际信托股份有限公司-鸿睿一号集合资金信托计划"
16,002239.SZ,002239,奥特佳,汽车配件,4.3,True,
17,000564.SZ,000564,供销大集,百货,4.43,True,"上海并购股权投资基金合伙企业(有限合伙)
西部利得基金-交通银行-哈尔滨嘉悦投资有限公司
方正富邦基金-光大银行-陕西省国际信托-陕国投·盛唐70号定向投资集合资金信托计划
香港中央结算有限公司(陆股通)"
18,300032.SZ,300032,金龙机电,元器件,4.46,True,"前海开源基金-广发银行-方正东亚信托有限责任公司
中国长城资产管理股份有限公司
兴全基金-兴业银行-兴全-可交换私募债56期分级特定多客户资产管理计划"
19,000908.SZ,000908,景峰医药,化学制药,4.49,True,"中国长城资产管理股份有限公司
华菱津杉(天津)产业投资管理有限公司-华菱津杉-融创未来资产管理计划
平江县国有资产管理局"
20,601777.SH,601777,力帆股份,摩托车,4.53,True,
21,002701.SZ,002701,奥瑞金,广告包装,4.67,True,"中泰证券资管-招商银行-证券行业支持民企发展系列之中泰资管5号集合资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
22,002613.SZ,002613,北玻股份,专用机械,4.69,True,
23,300466.SZ,300466,赛摩智能,电器仪表,4.79,True,"徐州经济技术开发区金龙湖城市投资有限公司-证券行业支持民企发展系列之兴业证券5号单一资产管理计划
华泰证券资管-徐州市融资担保有限公司-证券行业支持民企发展系列之华泰证券资管5号单一资产管理计划
徐州经济技术开发区金龙湖城市投资有限公司-证券行业支持民企发展系列之兴业证券1号单一资产管理计划"
24,600657.SH,600657,信达地产,全国地产,4.84,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
25,002958.SZ,002958,青农商行,银行,4.98,True,
26,002334.SZ,002334,英威腾,电气设备,5.16,True,中信建投证券股份有限公司-富国中证科技50策略交易型开放式指数证券投资基金
27,600711.SH,600711,盛屯矿业,小金属,5.21,True,香港中央结算有限公司(陆股通)
28,300846.SZ,300846,N首都,软件服务,5.34,True,
29,600075.SH,600075,新疆天业,化工原料,5.34,True,"万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
景顺长城基金-工商银行-景顺长城基金工行500增强资产管理计划
万家共赢-中信银行-万家共赢安泰1号专项资产管理计划
海富通基金-民生银行-五矿信托-民生保腾投资集合资金信托计划
中国银行股份有限公司-华泰柏瑞量化先行混合型证券投资基金"
30,600515.SH,600515,海航基础,全国地产,5.47,True,"泰达宏利基金-浦发银行-兴业国际信托-兴业信托·锦馨八号集合资金信托计划
长信基金-浦发银行-兴业国际信托-兴业信托·兴津浦鑫6号集合资金信托计划
重庆信三威投资咨询中心(有限合伙)-润泽京渝1号私募基金
大业信托有限责任公司-大业信托·海航基础定增项目投资集合资金信托计划
长江财富资产-浦发银行-兴业信托-兴津浦鑫7号集合资金信托计划
广东粤财信托有限公司-粤财信托·海航基础定增集合资金信托计划"
31,300061.SZ,300061,旗天科技,多元金融,5.71,True,"博时资本-宁波银行-博时资本康耐特2号专项资产管理计划
博时资本-宁波银行-博时资本康耐特1号专项资产管理计划"
