,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,002210.SZ,002210,*ST飞马,仓储物流,1.1,True,"光大兴陇信托有限责任公司-光大信托-励上2号集合资金信托计划
深圳市前海宏亿资产管理有限公司"
1,000630.SZ,000630,铜陵有色,铜,2.05,True,香港中央结算有限公司(陆股通)
2,600219.SH,600219,南山铝业,铝,2.17,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划"
3,600743.SH,600743,华远地产,区域地产,2.2,True,中央汇金资产管理有限责任公司
4,601016.SH,601016,节能风电,新型电力,2.24,True,"华安基金-兴业银行-广西铁路发展投资基金(有限合伙)
全国社会保障基金理事会转持二户
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
全国社会保障基金理事会
华宝信托有限责任公司"
5,601000.SH,601000,唐山港,港口,2.32,True,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)"
6,000552.SZ,000552,靖远煤电,煤炭开采,2.39,True,"平安大华基金-平安银行-中融国际信托-财富骐骥定增5号集合资金信托计划
诺安基金-兴业证券-中国光大银行股份有限公司"
7,600968.SH,600968,海油发展,石油开采,2.51,True,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金
中国建设银行-上证180交易型开放式指数证券投资基金
中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金"
8,600397.SH,600397,安源煤业,煤炭开采,2.55,True,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
9,300111.SZ,300111,向日葵,半导体,2.56,True,
10,600017.SH,600017,日照港,港口,2.6,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
山钢金控资产管理(深圳)有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
11,000517.SZ,000517,荣安地产,区域地产,2.61,True,香港中央结算有限公司(陆股通)
12,000838.SZ,000838,财信发展,区域地产,2.71,True,华润深国投信托有限公司-黄河9号信托计划
