,ts_code,symbol,name,industry,COL_IS_DRINK,COL_LASTPRICE,COL_DAILY_BREAK,COL_FLOAT_HOLDERS
0,603779.SH,603779,ST威龙,红黄酒,True,5.58,True,创金合信基金-浦发银行-云南信托-云南信托-盈泰20号单一资金信托
1,600543.SH,600543,莫高股份,红黄酒,True,6.34,True,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划
2,600616.SH,600616,金枫酒业,红黄酒,True,6.41,True,中国工商银行股份有限公司-中证上海国企交易型开放式指数证券投资基金
3,600199.SH,600199,金种子酒,白酒,True,8.1,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
4,601579.SH,601579,会稽山,红黄酒,True,9.15,True,"浙商金汇信托股份有限公司-浙金·汇利36号证券投资集合资金信托计划
上海大丰资产管理有限公司"
5,600059.SH,600059,古越龙山,红黄酒,True,10.31,True,"中央汇金资产管理有限责任公司
全国社保基金一零三组合
中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
招商银行股份有限公司-富兰克林国海基本面优选混合型证券投资基金"
6,000869.SZ,000869,张裕A,红黄酒,True,35.64,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
7,603369.SH,603369,今世缘,白酒,True,43.1,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金"
8,002568.SZ,002568,百润股份,红黄酒,True,50.05,True,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-东方红睿泽三年定期开放灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红产业升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红睿玺三年定期开放灵活配置混合型证券投资基金"
9,600779.SH,600779,水井坊,白酒,True,66.0,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
天津礼仁投资管理合伙企业(有限合伙)-卓越长青私募证券投资基金
易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
中国光大银行股份有限公司-泓德优选成长混合型证券投资基金
交通银行-鹏华中国50开放式证券投资基金"
10,000568.SZ,000568,泸州老窖,白酒,True,114.85,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中国工商银行股份有限公司-景顺长城新兴成长混合型证券投资基金
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金"
11,002304.SZ,002304,洋河股份,白酒,True,134.9,True,"香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央汇金资产管理有限责任公司
兴元资产管理有限公司-客户资金"
12,600809.SH,600809,山西汾酒,白酒,True,152.05,True,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
全国社保基金一一四组合"
13,000858.SZ,000858,五粮液,白酒,True,201.89,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-易方达消费行业股票型证券投资基金
中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金"
14,600519.SH,600519,贵州茅台,白酒,True,1688.0,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
珠海市瑞丰汇邦资产管理有限公司-瑞丰汇邦三号私募证券投资基金
深圳市金汇荣盛财富管理有限公司-金汇荣盛三号私募证券投资基金
中国工商银行-上证50交易型开放式指数证券投资基金"
