,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_LIMIT,COL_FLOAT_HOLDERS
0,600397.SH,600397,安源煤业,煤炭开采,2.72,True,True,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
1,000573.SZ,000573,粤宏远A,区域地产,3.04,True,True,中国建设银行股份有限公司-长城量化小盘股票型证券投资基金
2,601599.SH,601599,鹿港文化,影视音像,3.19,True,True,
3,601106.SH,601106,中国一重,工程机械,3.27,True,True,"中国华融资产管理股份有限公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划"
4,601600.SH,601600,中国铝业,铝,3.28,True,True,"中国信达资产管理股份有限公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
5,000812.SZ,000812,陕西金叶,广告包装,3.43,True,True,北京厚毅资本管理有限公司-厚毅辰酉二号私募证券投资基金
6,601598.SH,601598,中国外运,仓储物流,3.71,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
7,000965.SZ,000965,天保基建,区域地产,3.72,True,True,"长江证券资管-天津市万博咨询有限公司-长江资管万博红日1号单一资产管理计划
中信建投证券-天津市万博咨询有限公司-中信建投万博咨询单一资产管理计划
国投大成投资基金(北京)有限公司"
8,300117.SZ,300117,嘉寓股份,装修装饰,3.74,True,True,中央汇金资产管理有限责任公司
9,000560.SZ,000560,我爱我家,房产服务,3.8,True,True,
10,300178.SZ,300178,腾邦国际,旅游服务,3.83,True,True,"建信基金管理有限责任公司
中央汇金资产管理有限责任公司
创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
嘉实基金-农业银行-嘉实中证金融资产管理计划
中国银行股份有限公司-广发中证养老产业指数型发起式证券投资基金"
11,002936.SZ,002936,郑州银行,银行,4.04,True,True,
12,601919.SH,601919,中远海控,水运,4.17,True,True,中国国有企业结构调整基金股份有限公司
13,601608.SH,601608,中信重工,专用机械,4.26,True,True,"中国黄金集团资产管理有限公司
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
14,600403.SH,600403,大有能源,煤炭开采,4.31,True,True,"中国信达资产管理股份有限公司
中国华融资产管理股份有限公司
中央汇金资产管理有限公司"
15,601669.SH,601669,中国电建,建筑工程,4.32,True,True,"建信基金-工商银行-陕西省国际信托-陕国投·财富尊享30号定向投资集合资金信托计划
诺德基金-民生银行-诺德千金209号特定客户资产管理计划
国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
民生加银基金-平安银行-嘉兴民臻投资合伙企业(有限合伙)"
16,601101.SH,601101,昊华能源,煤炭开采,4.39,True,True,"中央汇金资产管理有限责任公司
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金"
17,601818.SH,601818,光大银行,银行,4.44,True,True,"中央汇金投资有限责任公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
18,002807.SZ,002807,江阴银行,银行,4.46,True,True,
19,600854.SH,600854,春兰股份,家用电器,4.47,True,True,
20,601099.SH,601099,太平洋,证券,4.47,True,True,"陕西省国际信托股份有限公司-陕国投·财富72号单一资金信托
易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国建设银行股份有限公司-华宝中证全指证券公司交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)"
21,000698.SZ,000698,沈阳化工,化工原料,4.51,True,True,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
中央汇金资产管理有限责任公司"
22,000060.SZ,000060,中金岭南,铅锌,4.53,True,True,"中信保诚基金-浦发银行-云南国际信托-云信智兴2017-510号单一资金信托
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
23,002392.SZ,002392,北京利尔,其他建材,4.54,True,True,
24,000717.SZ,000717,韶钢松山,普钢,4.54,True,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金"
25,300159.SZ,300159,新研股份,航空,4.64,True,True,华澳国际信托有限公司-华澳·臻智28号证券投资集合资金信托计划
26,300084.SZ,300084,海默科技,石油开采,4.7,True,True,
27,002266.SZ,002266,浙富控股,电气设备,4.71,True,True,"中央汇金资产管理有限责任公司
西藏信托有限公司-西藏信托-智昂6号集合资金信托计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
28,601666.SH,601666,平煤股份,煤炭开采,4.72,True,True,"中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国工商银行-广发聚富开放式证券投资基金"
29,601916.SH,601916,浙商银行,银行,4.77,True,True,
30,000933.SZ,000933,神火股份,煤炭开采,4.84,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
富国中证500指数增强型证券投资基金
全国社保基金四一二组合
国泰国证有色金属行业指数分级证券投资基金"
31,603169.SH,603169,兰石重装,专用机械,4.86,True,True,光大兴陇信托有限责任公司
32,300148.SZ,300148,天舟文化,出版业,4.92,True,True,国金证券-浦发银行-国金天舟文化1号集合资产管理计划
33,601860.SH,601860,紫金银行,银行,5.01,True,True,
34,603323.SH,603323,苏农银行,银行,5.02,True,True,
35,000758.SZ,000758,中色股份,铅锌,5.15,True,True,"中央汇金资产管理有限责任公司
全国社保基金一一四组合
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国工商银行股份有限公司-诺安新经济股票型证券投资基金"
36,002303.SZ,002303,美盈森,造纸,5.18,True,True,"红塔红土基金-浙商银行-渤海国际信托-美盈森平层投资单一资金信托
中国工商银行股份有限公司-景顺长城精选蓝筹混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-景顺长城核心竞争力混合型证券投资基金
景顺长城基金-建设银行-中国人寿-中国人寿委托景顺长城基金股票型组合"
37,000516.SZ,000516,国际医学,医疗保健,5.18,True,True,"广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划"
38,601658.SH,601658,邮储银行,银行,5.19,True,True,"中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
全国社保基金一一四组合"
39,002239.SZ,002239,奥特佳,汽车配件,5.21,True,True,
40,002613.SZ,002613,北玻股份,专用机械,5.37,True,True,
41,600807.SH,600807,济南高新,区域地产,5.38,True,True,国通信托有限责任公司
42,600787.SH,600787,中储股份,仓储物流,5.4,True,True,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
国家第一养老金信托公司-自有资金
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
43,601001.SH,601001,大同煤业,煤炭开采,5.45,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金"
44,600986.SH,600986,科达股份,互联网,5.48,True,True,红塔资产-中信银行-中信信托-中信·宏商金融投资项目1701期
45,002284.SZ,002284,亚太股份,汽车配件,5.51,True,True,宁波梅山保税港区智石资产管理有限公司-智石私募证券投资基金
46,600657.SH,600657,信达地产,全国地产,5.53,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金"
47,002948.SZ,002948,青岛银行,银行,5.54,True,True,
48,000690.SZ,000690,宝新能源,火力发电,5.57,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划"
49,000750.SZ,000750,国海证券,证券,5.61,True,True,"中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰中证全指证券公司交易型开放式指数证券投资基金"
50,600908.SH,600908,无锡银行,银行,5.66,True,True,"国联信托股份有限公司
华能贵诚信托有限公司-华能信托·鸿源锡诚1号集合资金信托计划"
51,000807.SZ,000807,云铝股份,铝,5.66,True,True,"全国社保基金四一二组合
华泰资产管理有限公司-策略投资产品
香港中央结算有限公司(陆股通)
基本养老保险基金九零二组合
易方达基金-工商银行-易方达基金臻选2号资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中国工商银行股份有限公司-富国沪深300增强证券投资基金"
52,002334.SZ,002334,英威腾,电气设备,5.72,True,True,中信建投证券股份有限公司-富国中证科技50策略交易型开放式指数证券投资基金
53,000159.SZ,000159,国际实业,石油贸易,5.76,True,True,中央汇金资产管理有限责任公司
54,600369.SH,600369,西南证券,证券,5.81,True,True,"重庆市江北嘴中央商务区投资集团有限公司
招商财富-招商银行-渝富4号专项资产管理计划
重庆国际信托股份有限公司
中央汇金资产管理有限责任公司"
55,601998.SH,601998,中信银行,银行,5.9,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托"
56,600266.SH,600266,城建发展,区域地产,5.92,True,True,基本养老保险基金一零零三组合
57,002565.SZ,002565,顺灏股份,造纸,5.94,True,True,中央汇金资产管理有限责任公司
58,601077.SH,601077,渝农商行,银行,5.98,True,True,香港中央结算有限公司(陆股通)
59,002098.SZ,002098,浔兴股份,服饰,6.04,True,True,
60,600415.SH,600415,小商品城,商品城,6.06,True,True,"中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划"
61,000627.SZ,000627,天茂集团,保险,6.09,True,True,"民生加银基金-平安银行-民生加银鑫牛定向增发76号资产管理计划-民生中信建投南京5号定向资产管理计划
渤海国际信托股份有限公司-渤海信托·恒利丰213号集合资金信托计划
香港中央结算有限公司(陆股通)
财通基金-浦发银行-粤财信托-粤财信托·弘盛1号单一资金信托计划
泰达宏利基金-平安银行-长安信托-长安信托·稳健增利1号集合资金信托计划
渤海国际信托股份有限公司-渤海信托·恒利丰210号集合资金信托计划"
62,600901.SH,600901,江苏租赁,多元金融,6.14,True,True,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
易方达基金-工商银行-易方达基金臻选2号资产管理计划
中国农业银行股份有限公司-景顺长城沪深300指数增强型证券投资基金
中信银行股份有限公司-建信中证500指数增强型证券投资基金"
63,600928.SH,600928,西安银行,银行,6.2,True,True,
64,002207.SZ,002207,准油股份,石油开采,6.29,True,True,"中投鼎鸿(北京)投资基金管理有限公司-中投鼎鸿2号私募证券投资基金
北京都市二号投资中心(有限合伙)-都市盛世大有四号私募证券投资基金
北京都市二号投资中心(有限合伙)-都市盛世大有五号私募证券投资基金"
