,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_AVERAGE_ABS_CHG,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300238.SZ,300238,冠昊生物,医疗保健,True,18.95,True,True,0.11,2.12,"广东智硕资产管理有限公司-智硕莲花1号私募证券投资基金
浙商金汇信托股份有限公司-浙金·冠昊生物1号员工持股集合资金信托计划
华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托
云南国际信托有限公司-云信-弘瑞29号集合资金信托计划",4.0
1,000538.SZ,000538,云南白药,中成药,True,108.73,True,True,0.19,2.16,"全国社保基金一一二组合
瑞银资产管理(新加坡)有限公司-瑞银卢森堡投资SICAV
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",4.0
2,300003.SZ,300003,乐普医疗,医疗保健,True,42.08,True,True,0.18,2.18,"中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金
海通证券资管-工商银行-海通投融宝1号集合资产管理计划
香港中央结算有限公司(陆股通)
鼎晖投资咨询新加坡有限公司-鼎晖稳健成长A股基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
全国社保基金一一七组合
挪威中央银行-自有资金
中央汇金资产管理有限责任公司
全国社保基金一零四组合
中国建设银行股份有限公司-华安创业板50交易型开放式指数证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
中国工商银行股份有限公司-汇添富价值精选混合型证券投资基金
中国信达资产管理股份有限公司
全国社保基金五零三组合",15.0
3,002589.SZ,002589,瑞康医药,医药商业,True,6.31,True,True,0.19,2.35,"汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划
汇添富基金-宁波银行-程义全
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划",3.0
4,000623.SZ,000623,吉林敖东,化学制药,True,18.1142,True,True,0.19,2.7,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
5,000516.SZ,000516,国际医学,医疗保健,True,5.18,True,True,0.29,2.79,"泰达宏利基金-民生银行-泰达宏利价值成长定向增发170号资产管理计划
广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划",2.0
6,002022.SZ,002022,科华生物,医疗保健,True,21.0229,True,True,0.22,3.03,"博时基金-农业银行-博时中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
中央汇金资产管理有限责任公司",11.0
7,000661.SZ,000661,长春高新,生物制药,True,447.93,True,True,0.12,3.13,"全国社保基金一一六组合
招商银行股份有限公司-鹏华价值成长混合型证券投资基金
交通银行-易方达50指数证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
全国社保基金一零四组合
全国社保基金一一八组合
全国社保基金一零一组合
中央汇金资产管理有限责任公司",9.0
8,300143.SZ,300143,盈康生命,医疗保健,True,18.86,True,True,0.27,3.28,"建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
浙商金汇信托股份有限公司-浙金·天府1号证券投资集合资金信托计划",2.0
9,300759.SZ,300759,康龙化成,化学制药,True,99.9803,True,True,0.14,3.31,香港中央结算有限公司(陆股通),1.0
