,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,600317.SH,600317,营口港,港口,2.67,True,True,"南方基金-农业银行-南方中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司
易方达基金-农业银行-易方达中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划",12.0
1,002022.SZ,002022,科华生物,医疗保健,22.4,True,True,"南方基金-农业银行-南方中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划",11.0
2,000661.SZ,000661,长春高新,生物制药,454.58,True,True,"全国社保基金一一六组合
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
全国社保基金一零一组合
中央汇金资产管理有限责任公司
全国社保基金一零四组合
交通银行-易方达50指数证券投资基金
招商银行股份有限公司-鹏华价值成长混合型证券投资基金
香港中央结算有限公司(陆股通)
全国社保基金一一八组合",9.0
3,688058.SH,688058,宝兰德,软件服务,195.0,True,True,"中国建设银行股份有限公司-博时回报灵活配置混合型证券投资基金
中国工商银行股份有限公司-金鹰核心资源混合型证券投资基金
中国银行股份有限公司-海富通股票混合型证券投资基金
中国建设银行股份有限公司-南方信息创新混合型证券投资基金
兴业银行股份有限公司-金鹰转型动力灵活配置混合型证券投资基金
中国工商银行股份有限公司-南方3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)
中国工商银行股份有限公司-海富通科技创新混合型证券投资基金
中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国银行股份有限公司-海富通先进制造股票型证券投资基金",9.0
4,688002.SH,688002,睿创微纳,通信设备,71.22,True,True,"中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划
平安基金-中国平安人寿保险股份有限公司-分红-个险分红-平安人寿-平安基金权益委托投资2号单一资产管理计划
招商银行股份有限公司-睿远成长价值混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国工商银行股份有限公司-嘉实企业变革股票型证券投资基金
中国银行股份有限公司-泰信中小盘精选股票型证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
全国社保基金一一八组合",9.0
5,688258.SH,688258,卓易信息,软件服务,126.99,True,True,"中国建设银行股份有限公司-华润元大信息传媒科技混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托·昀沣6号证券投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托·昀沣3号证券投资集合资金信托计划
中国对外经济贸易信托有限公司-外贸信托-宽星9号证券投资集合资金信托计划
交通银行股份有限公司-诺安和鑫保本混合型证券投资基金
兴业银行股份有限公司-兴全精选混合型证券投资基金
华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划
中国银行股份有限公司-海富通股票混合型证券投资基金
中国建设银行股份有限公司-南方现代教育股票型证券投资基金",9.0
6,601698.SH,601698,中国卫通,电信运营,23.18,True,True,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国农业银行股份有限公司-华夏中证央企结构调整交易型开放式指数证券投资基金
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金",9.0
7,600415.SH,600415,小商品城,商品城,7.34,True,True,"广发基金-农业银行-广发中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
中央汇金资产管理有限责任公司
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划",9.0
8,688368.SH,688368,晶丰明源,半导体,103.0,True,True,"中国建设银行股份有限公司-摩根士丹利华鑫卓越成长混合型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
中国工商银行股份有限公司-博时科创主题3年封闭运作灵活配置混合型证券投资基金
中国银行-嘉实增长开放式证券投资基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
中国银行股份有限公司-嘉实先进制造股票型证券投资基金
招商银行股份有限公司-嘉实科技创新混合型证券投资基金
中国银行股份有限公司-中金科创主题3年封闭运作灵活配置混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金",9.0
9,600536.SH,600536,中国软件,软件服务,117.88,True,True,"中国建设银行股份有限公司-广发多元新兴股票型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国电子-中信证券-19中电EB担保及信托财产专户
中央汇金资产管理有限责任公司
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
香港中央结算有限公司(陆股通)",8.0
