,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,002382.SZ,002382,蓝帆医疗,医疗保健,True,34.96,True,True,"中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
中泰证券资管-证券行业支持民企发展中泰资管2号FOF集合资管计划-证券行业支持民企发展系列之中泰资管11号单一资产管理计划
国信国投基金管理(北京)有限公司-北京华宇瑞泰股权投资合伙企业(有限合伙)
共青城胜恒投资管理有限公司-胜恒普惠一期私募投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
富安达基金-南京银行-富安达-富享14号股票型资产管理计划",7.0
1,603229.SH,603229,奥翔药业,化学制药,True,57.69,True,True,"诺安基金-建设银行-中国人寿-中国人寿委托诺安基金公司股票型组合
中国银行股份有限公司-国泰融安多策略灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
国泰基金管理有限公司-社保基金四二一组合
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
平安资管-邮储银行-如意10号资产管理产品
中国工商银行股份有限公司-诺安先锋混合型证券投资基金",7.0
2,300573.SZ,300573,兴齐眼药,化学制药,True,164.0,True,True,"中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-华夏乐享健康灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金
中国建设银行股份有限公司-富国新动力灵活配置混合型证券投资基金
中国银行股份有限公司-易方达医疗保健行业混合型证券投资基金",7.0
3,600380.SH,600380,健康元,化学制药,True,18.37,True,True,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
基本养老保险基金一六零一一组合
全国社保基金五零二组合
全国社保基金一零八组合
博时基金管理有限公司-社保基金四一九组合",7.0
4,300122.SZ,300122,智飞生物,生物制药,True,122.97,True,True,"香港中央结算有限公司(陆股通)
尚信健投资产管理(上海)有限责任公司-尚投道私募证券投资基金
尚信健投资产管理(上海)有限责任公司-尚信健投-恒兴私募证券投资基金
东莞信托有限公司-东莞信托·汇信-惠正稳健集合资金信托计划
云南国际信托有限公司-云南信托-智飞生物2019第二期员工持股集合资金信托计划
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金",6.0
5,300601.SZ,300601,康泰生物,生物制药,True,197.6,True,True,"中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金",6.0
6,600976.SH,600976,健民集团,中成药,True,22.95,True,True,"深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)",6.0
7,300298.SZ,300298,三诺生物,医疗保健,True,36.1,True,True,"香港中央结算有限公司(陆股通)
招商银行股份有限公司-睿远成长价值混合型证券投资基金
招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
广东省铁路发展基金有限责任公司
湖南省信托有限责任公司-湖南信托·三诺生物1号集合资金信托计划",5.0
8,300358.SZ,300358,楚天科技,医疗保健,True,11.0,True,True,"鹏华资产-兴业银行-鹏华资产德传医疗资产管理计划
中央汇金资产管理有限责任公司
中投天琪期货-浙商金汇信托股份有限公司-浙金·浦发-津杉-国泰定增1号集合资金信托计划
湖南省资产管理有限公司
西藏德传投资管理有限公司-德传附子证券投资基金",5.0
9,300206.SZ,300206,理邦仪器,医疗保健,True,26.9,True,True,"中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金
中国工商银行股份有限公司-中欧精选灵活配置定期开放混合型发起式证券投资基金
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金
云南国际信托有限公司-理邦仪器1号员工持股集合资金信托计划
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)",5.0
10,002019.SZ,002019,亿帆医药,化学制药,True,29.21,True,True,"香港中央结算有限公司(陆股通)
深圳国调招商并购股权投资基金合伙企业(有限合伙)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
金元顺安基金-宁波银行-华润深国投信托-华润信托·韶夏增利32号单一资金信托
江苏一带一路投资基金(有限合伙)",5.0
11,002007.SZ,002007,华兰生物,生物制药,True,53.5,True,True,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国银行股份有限公司-易方达蓝筹精选混合型证券投资基金
交通银行-易方达50指数证券投资基金
中国银行股份有限公司-易方达中小盘混合型证券投资基金",5.0
12,688198.SH,688198,佰仁医疗,医疗保健,True,140.5,True,True,"上海勤远投资管理中心(有限合伙)-勤远动态平衡2号私募证券投资基金
上海勤远投资管理中心(有限合伙)-勤远嘉裕私募证券投资基金
上海勤远投资管理中心(有限合伙)-勤远动态平衡1号私募证券投资基金
中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF)
全国社保基金四一一组合",5.0
13,002252.SZ,002252,上海莱士,生物制药,True,10.64,True,True,"香港中央结算有限公司(陆股通)
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣76号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·如意69号定向投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·鑫鑫向荣82号证券投资集合资金信托计划
民生通惠资产-民生银行-民生通惠聚鑫2号资产管理产品",5.0
14,300677.SZ,300677,英科医疗,医疗保健,True,152.37,True,True,"中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
中国银行股份有限公司-广发医疗保健股票型证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金",4.0
15,300246.SZ,300246,宝莱特,医疗保健,True,48.35,True,True,"中国对外经济贸易信托有限公司-外贸信托·锐进31期清水源证券投资集合资金信托计划
中央汇金资产管理有限责任公司
中信信托有限责任公司-中信价值管理型金融投资集合资金信托计划
中国工商银行股份有限公司-金鹰稳健成长混合型证券投资基金",4.0
16,300238.SZ,300238,冠昊生物,医疗保健,True,24.78,True,True,"浙商金汇信托股份有限公司-浙金·冠昊生物1号员工持股集合资金信托计划
云南国际信托有限公司-云信-弘瑞29号集合资金信托计划
广东智硕资产管理有限公司-智硕莲花1号私募证券投资基金
华融国际信托有限责任公司-华融·汇盈32号证券投资单一资金信托",4.0
17,300723.SZ,300723,一品红,化学制药,True,53.13,True,True,"招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金",4.0
18,002020.SZ,002020,京新药业,化学制药,True,13.55,True,True,"上海国际集团资产管理有限公司
芜湖弘唯基石投资基金管理合伙企业(有限合伙)-信保基石1号专项私募投资基金
香港中央结算有限公司(陆股通)
建信基金-杭州银行-杭州玖擎投资管理合伙企业(有限合伙)",4.0
19,000566.SZ,000566,海南海药,化学制药,True,9.11,True,True,"云南国际信托有限公司-聚利36号单一资金信托
金元顺安基金-农业银行-杭州通武投资管理合伙企业(有限合伙)
国通信托有限责任公司-国通信托·方泰1号集合资金信托计划
泰达宏利基金-浦发银行-粤财信托-粤财信托·浦发绚丽2号结构化集合资金信托计划",4.0
20,300030.SZ,300030,阳普医疗,医疗保健,True,13.66,True,True,"中央汇金资产管理有限责任公司
长安基金-光大银行-长安睿享2号分级资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",3.0
21,002932.SZ,002932,明德生物,医疗保健,True,102.0,True,True,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
科华(宜都)科技创业投资基金(有限合伙)
武汉光谷生物城华岭基金合伙企业(有限合伙)",3.0
