,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688981.SH,688981,中芯国际-U,半导体,77.06,True,True,0.0,,0.0
1,688165.SH,688165,埃夫特-U,专用机械,22.31,True,True,0.0,,0.0
2,688180.SH,688180,君实生物-U,生物制药,115.99,True,True,0.0,,0.0
3,300851.SZ,300851,N交大,软件服务,41.31,True,True,0.0,,0.0
4,688500.SH,688500,慧辰资讯,互联网,82.69,True,True,0.0,,0.0
5,688579.SH,688579,N地纬,软件服务,30.2,True,True,0.0,,0.0
6,688567.SH,688567,N孚能,电气设备,27.96,True,True,0.0,,0.0
7,600771.SH,600771,广誉远,中成药,14.07,True,True,0.05,"国寿安保基金-建设银行-人寿保险-中国人寿保险(集团)公司委托国寿安保基金混合型组合
兴业国际信托有限公司-兴享进取明达1号证券投资集合资金信托计划
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托",3.0
8,300591.SZ,300591,万里马,服饰,6.72,True,True,0.08,,0.0
9,605108.SH,605108,同庆楼,酒店餐饮,26.46,True,True,0.1,,0.0
10,002435.SZ,002435,长江健康,化学制药,3.97,True,True,0.1,"西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划
华安资产管理(香港)有限公司-客户资金专户1号(交易所)",2.0
11,603199.SH,603199,九华旅游,旅游景点,22.92,True,True,0.1,"全国社保基金一零九组合
中国银行-易方达积极成长证券投资基金",2.0
12,000617.SZ,000617,中油资本,多元金融,7.69,True,True,0.1,"海峡能源产业基金管理(厦门)有限公司
中国国有资本风险投资基金股份有限公司
中国长城资产管理股份有限公司",3.0
13,600706.SH,600706,曲江文旅,旅游服务,7.87,True,True,0.11,,0.0
14,603421.SH,603421,鼎信通讯,通信设备,11.22,True,True,0.11,,0.0
15,002159.SZ,002159,三特索道,旅游服务,11.49,True,True,0.11,"中国工商银行-国联安德盛小盘精选证券投资基金
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金",3.0
16,000510.SZ,000510,新金路,化工原料,4.53,True,True,0.11,华创证券-证券行业支持民企发展系列之华创证券1号FOF单一资产管理计划-华创证券有限责任公司支持民企发展,1.0
17,002695.SZ,002695,煌上煌,食品,26.0,True,True,0.12,"中信证券-建行-中信证券股债双赢集合资产管理计划
中国建设银行股份有限公司-汇添富价值创造定期开放混合型证券投资基金
全国社保基金四一八组合
中国银行股份有限公司-平安匠心优选混合型证券投资基金
中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金",5.0
18,300283.SZ,300283,温州宏丰,电气设备,4.56,True,True,0.12,中央汇金资产管理有限责任公司,1.0
19,002141.SZ,002141,贤丰控股,元器件,3.43,True,True,0.12,"深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划",2.0
20,000759.SZ,000759,中百集团,超市连锁,7.1,True,True,0.13,"长江证券-工商银行-长江证券超越理财宝6号集合资产管理计划
全国社保基金一零三组合",2.0
21,600593.SH,600593,大连圣亚,旅游服务,44.72,True,True,0.13,"磐京股权投资基金管理(上海)有限公司-磐京稳赢6号私募证券投资基金
磐京股权投资基金管理(上海)有限公司",2.0
22,603099.SH,603099,长白山,旅游景点,8.65,True,True,0.13,中国华融资产管理股份有限公司,1.0
23,002423.SZ,002423,中粮资本,多元金融,9.52,True,True,0.13,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
南方工业资产管理有限责任公司",3.0
24,000635.SZ,000635,英力特,化工原料,7.57,True,True,0.13,,0.0
25,603477.SH,603477,振静股份,纺织,14.14,True,True,0.14,,0.0
26,600054.SH,600054,黄山旅游,旅游景点,9.13,True,True,0.14,,0.0
27,603177.SH,603177,德创环保,环境保护,9.91,True,True,0.15,,0.0
28,000978.SZ,000978,桂林旅游,旅游景点,5.11,True,True,0.15,"华夏基金华兴2号股票型养老金产品
华夏基金-中国银行-中银国际证券有限责任公司
华夏基金华兴8号股票型养老金产品
华夏基金华益3号股票型养老金产品",4.0
29,603398.SH,603398,邦宝益智,文教休闲,10.0,True,True,0.15,,0.0
