,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK,COL_RECENT_AGGRESSIVE,COL_UP_RANGE,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,688580.SH,688580,伟思医疗,医疗保健,True,172.5,True,True,0.0,,0.0
1,688336.SH,688336,N三生,生物制药,True,54.1,True,True,0.0,,0.0
2,600767.SH,600767,ST运盛,医疗保健,True,3.74,True,False,0.07,四川蓝润资产管理有限公司,1.0
3,000952.SZ,000952,广济药业,化学制药,True,9.3,True,False,0.1,盛稷股权投资基金(上海)有限公司,1.0
4,603963.SH,603963,大理药业,化学制药,True,9.14,True,False,0.1,,0.0
5,688488.SH,688488,艾迪药业,生物制药,True,34.63,True,True,0.12,,0.0
6,300181.SZ,300181,佐力药业,中成药,True,6.37,True,False,0.12,长信基金-工商银行-长信-朗程-工行定增1号资产管理计划,1.0
7,000788.SZ,000788,北大医药,化学制药,True,7.67,True,False,0.13,"中央汇金资产管理有限责任公司
建投中信资产管理有限责任公司
北京大学教育基金会",3.0
8,600530.SH,600530,*ST交昂,医疗保健,True,3.12,True,False,0.13,,0.0
9,600896.SH,600896,览海医疗,医疗保健,True,4.93,True,False,0.15,,0.0
10,600763.SH,600763,通策医疗,医疗保健,True,169.52,True,False,0.17,"中国建设银行股份有限公司-兴全社会责任混合型证券投资基金
深圳市新智达投资管理有限公司-新智达成长一号基金
交通银行股份有限公司-博时新兴成长混合型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-银华富裕主题混合型证券投资基金
中国建设银行股份有限公司-汇添富创新医药主题混合型证券投资基金
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
全国社保基金四零六组合",8.0
11,600851.SH,600851,海欣股份,化学制药,True,8.52,True,False,0.17,"中央汇金资产管理有限责任公司
重庆国际信托股份有限公司-兴国1号集合资金信托计划
深圳市惠和投资基金管理有限公司-深圳市惠和基金惠和2号证券投资基金
重庆国际信托股份有限公司-兴国2号集合资金信托",4.0
12,603716.SH,603716,塞力斯,医药商业,True,16.72,True,False,0.17,"财通基金-招商银行-财通基金-长昕1号资产管理计划
深圳市华润资本股权投资有限公司-华润医药(汕头)产业投资基金合伙企业(有限合伙)
中国银行股份有限公司-广发中证养老产业指数型发起式证券投资基金
上海高能投资管理有限公司-高能汇实专项私募股权投资基金1号",4.0
