,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300064.SZ,300064,豫金刚石,矿物制品,2.04,9.0,0.0,1.0,13.03,香港中央结算有限公司(陆股通),1.0
1,600691.SH,600691,阳煤化工,农药化肥,2.07,9.0,0.0,1.0,36.36,云南国际信托有限公司-源盛恒瑞21号集合资金信托计划,1.0
2,002610.SZ,002610,爱康科技,电气设备,2.32,0.0,2.0,3.0,101.76,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,1.0
3,002263.SZ,002263,大东南,塑料,2.61,9.0,0.0,1.0,49.02,,0.0
4,300185.SZ,300185,通裕重工,工程机械,2.63,0.0,2.0,2.0,76.75,中央汇金资产管理有限责任公司,1.0
5,000659.SZ,000659,珠海中富,广告包装,2.67,3.0,1.0,1.0,34.33,,0.0
6,600527.SH,600527,江南高纤,化纤,2.79,9.0,0.0,1.0,40.28,,0.0
7,000506.SZ,000506,中润资源,黄金,3.01,0.0,1.0,1.0,27.95,共青城蕴沣资产管理有限公司-蕴沣创世3号证券投资私募基金,1.0
8,002622.SZ,002622,融钰集团,综合类,3.08,3.0,2.0,2.0,25.87,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划
创隆资产管理有限公司",2.0
9,600558.SH,600558,大西洋,钢加工,3.09,9.0,0.0,1.0,27.74,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金,1.0
10,300108.SZ,300108,吉药控股,中成药,3.1,3.0,2.0,2.0,13.75,"汇安基金-浦发银行-江海证券有限公司
吉林省现代农业和新兴产业投资基金有限公司
上海国药股权投资基金合伙企业(有限合伙)",3.0
11,600567.SH,600567,山鹰纸业,造纸,3.14,5.0,0.0,1.0,144.3,"香港中央结算有限公司(陆股通)
新华信托股份有限公司-新华信托华睿系列·金沙2号证券投资集合资金信托计划
山鹰国际控股股份公司-创享激励基金合伙人第一期持股计划",3.0
12,002141.SZ,002141,贤丰控股,元器件,3.24,5.0,0.0,2.0,20.63,"深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划",2.0
13,600981.SH,600981,汇鸿集团,商贸代理,3.37,3.0,1.0,1.0,24.63,"兴证证券资管-工商银行-兴证资管鑫成61号集合资产管理计划
上海赛领并购投资基金合伙企业(有限合伙)
上海国药圣礼股权投资基金合伙企业(有限合伙)
上海赛领博达股权投资基金合伙企业(有限合伙)
兴证证券资管-工商银行-兴证资管鑫成71号双红利轮动集合资产管理计划
兴证证券资管-工商银行-兴证资管鑫成63号集合资产管理计划
全国社保基金五零一组合",7.0
14,000428.SZ,000428,华天酒店,酒店餐饮,3.37,6.0,0.0,1.0,34.34,深圳昭阳投资管理有限公司-昭阳1号私募证券投资基金,1.0
15,000718.SZ,000718,苏宁环球,区域地产,3.39,4.0,1.0,1.0,77.6,"香港中央结算有限公司(陆股通)
安徽省铁路发展基金股份有限公司",2.0
16,600577.SH,600577,精达股份,电气设备,3.43,7.0,0.0,1.0,65.9,"香港中央结算有限公司(陆股通)
兴业国际信托有限公司-兴业信托·精达股份1号员工持股集合资金信托计划",2.0
17,000540.SZ,000540,中天金融,多元金融,3.44,8.0,0.0,2.0,239.88,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
18,600537.SH,600537,亿晶光电,半导体,3.45,0.0,1.0,1.0,40.58,中央汇金资产管理有限责任公司,1.0
19,000521.SZ,000521,长虹美菱,家用电器,3.47,0.0,1.0,1.0,30.27,"财通基金-宁波银行-海通兴泰(安徽)新兴产业投资基金(有限合伙)
中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
华泰证券股份有限公司-中庚价值领航混合型证券投资基金",3.0
20,601212.SH,601212,白银有色,铜,3.49,0.0,1.0,1.0,258.43,"瑞源(上海)股权投资基金合伙企业(有限合伙)
中国信达资产管理股份有限公司
广州市玄元投资管理有限公司-玄元科新10号私募证券投资基金
中国东方资产管理股份有限公司
平安银行股份有限公司-中证800交易型开放式指数证券投资基金
全国社保基金四一三组合",6.0
21,000937.SZ,000937,冀中能源,煤炭开采,3.49,5.0,0.0,1.0,101.44,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
22,601599.SH,601599,鹿港文化,影视音像,3.51,8.0,0.0,2.0,31.33,,0.0
23,600082.SH,600082,海泰发展,园区开发,3.55,4.0,1.0,1.0,22.52,,0.0
24,002162.SZ,002162,悦心健康,医疗保健,3.58,1.0,1.0,1.0,30.54,中央汇金资产管理有限责任公司,1.0
25,600300.SH,600300,维维股份,软饮料,3.62,0.0,1.0,1.0,60.53,中央汇金资产管理有限责任公司,1.0
26,600052.SH,600052,浙江广厦,影视音像,3.64,6.0,0.0,1.0,31.73,,0.0
27,002662.SZ,002662,京威股份,汽车配件,3.65,8.0,0.0,1.0,53.25,,0.0
28,000836.SZ,000836,富通鑫茂,通信设备,3.79,3.0,1.0,1.0,45.8,"南华基金-浙商银行-南华基金鑫华1号资产管理计划
汇安基金-浙商银行-汇安基金-湖畔1号资产管理计划
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金",3.0
29,600370.SH,600370,三房巷,纺织,3.8,3.0,0.0,1.0,30.3,,0.0
30,600581.SH,600581,八一钢铁,普钢,3.85,5.0,0.0,1.0,59.02,中央汇金资产管理有限责任公司,1.0
31,300091.SZ,300091,金通灵,机械基件,3.91,1.0,1.0,1.0,38.64,"上海滚石投资管理有限公司-滚石3号运能能源股权投资基金
鹏华资产-浦发银行-上海爱建信托-爱建信托-浦发金通定增2号集合资金信托计划",2.0
32,002345.SZ,002345,潮宏基,服饰,3.93,0.0,1.0,1.0,34.77,,0.0
33,000514.SZ,000514,渝开发,区域地产,4.03,9.0,0.0,1.0,34.0,中央汇金资产管理有限责任公司,1.0
34,002285.SZ,002285,世联行,房产服务,4.11,1.0,3.0,3.0,82.8,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司",3.0
35,002435.SZ,002435,长江健康,化学制药,4.12,8.0,0.0,1.0,49.42,"华安资产管理(香港)有限公司-客户资金专户1号(交易所)
西藏信托有限公司-西藏信托-莱沃50号集合资金信托计划",2.0
36,603766.SH,603766,隆鑫通用,摩托车,4.13,2.0,0.0,1.0,84.81,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",3.0
37,000046.SZ,000046,泛海控股,多元金融,4.13,4.0,1.0,1.0,213.73,"香港中央结算有限公司(陆股通)
建信基金-兴业银行-华鑫信托-华鑫信托·慧智投资52号结构化集合资金信托计划
德邦创新资本-渤海银行-中融国际信托有限公司",3.0
38,600722.SH,600722,金牛化工,化工原料,4.14,3.0,0.0,1.0,28.17,,0.0
39,600724.SH,600724,宁波富达,水泥,4.15,5.0,0.0,1.0,59.97,,0.0
40,000875.SZ,000875,吉电股份,火力发电,4.2,4.0,0.0,1.0,90.14,"香港中央结算有限公司(陆股通)
华安基金-兴业银行-广西铁路发展投资基金(有限合伙)
平安基金-包商银行-上海国际集团资产管理有限公司",3.0
41,000620.SZ,000620,新华联,全国地产,4.2,0.0,2.0,2.0,79.66,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司",2.0
42,600496.SH,600496,精工钢构,钢加工,4.21,4.0,0.0,1.0,63.59,"中国建设银行-上投摩根阿尔法股票型证券投资基金
中国银行股份有限公司-华泰紫金泰盈混合型证券投资基金
全国社保基金六零三组合
交通银行-中海优质成长证券投资基金
中央汇金资产管理有限责任公司
长安国际信托股份有限公司-银帆3期(长安投资78号)集合资金信托计划",6.0
43,603227.SH,603227,雪峰科技,化工原料,4.25,5.0,0.0,1.0,27.99,,0.0
44,300283.SZ,300283,温州宏丰,电气设备,4.25,7.0,0.0,1.0,10.06,中央汇金资产管理有限责任公司,1.0
45,000010.SZ,000010,美丽生态,建筑工程,4.27,2.0,1.0,1.0,22.3,"深圳市德远投资有限公司-德远梧桐山9号私募基金
上海衍金投资管理有限公司-衍金共生2号私募证券投资基金",2.0
46,000822.SZ,000822,山东海化,化工原料,4.32,0.0,1.0,1.0,38.67,中央汇金资产管理有限责任公司,1.0
47,002094.SZ,002094,青岛金王,日用化工,4.36,5.0,0.0,1.0,30.1,"华夏基金-浦发银行-华夏基金-中植产投-定增1号资产管理计划
蓝色经济区产业投资基金(有限合伙)
金鹰基金-浦发银行-金鹰中植产投定增8号资产管理计划
佳和美资产管理有限公司",4.0
48,600490.SH,600490,鹏欣资源,铜,4.39,0.0,1.0,1.0,73.7,,0.0
