,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT_5,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,000509.SZ,000509,*ST华塑,医疗保健,True,2.12,0.0,0.0,0.0,17.5,,0.0
1,300247.SZ,300247,融捷健康,医疗保健,True,2.9,2.0,0.0,0.0,19.1,安徽高新毅达皖江产业发展创业投资基金(有限合伙),1.0
2,600530.SH,600530,*ST交昂,医疗保健,True,3.04,6.0,0.0,0.0,23.71,,0.0
3,300108.SZ,300108,吉药控股,中成药,True,3.07,5.0,0.0,2.0,13.61,"吉林省现代农业和新兴产业投资基金有限公司
汇安基金-浦发银行-江海证券有限公司
上海国药股权投资基金合伙企业(有限合伙)",3.0
4,002162.SZ,002162,悦心健康,医疗保健,True,3.45,3.0,1.0,1.0,29.43,中央汇金资产管理有限责任公司,1.0
5,600252.SH,600252,中恒集团,中成药,True,3.6,4.0,0.0,0.0,125.1,"博时基金-农业银行-博时中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
香港中央结算有限公司(陆股通)
南方基金-农业银行-南方中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中央汇金资产管理有限责任公司
中欧基金-农业银行-中欧中证金融资产管理计划",12.0
6,300267.SZ,300267,尔康制药,化学制药,True,4.79,4.0,0.0,0.0,68.03,,0.0
7,000518.SZ,000518,四环生物,生物制药,True,5.28,0.0,1.0,1.0,54.36,,0.0
8,300239.SZ,300239,东宝生物,生物制药,True,5.28,4.0,1.0,1.0,26.66,"中央汇金资产管理有限责任公司
中国华融资产管理股份有限公司
中科先行(北京)资产管理有限公司
内蒙古金融资产管理有限公司",4.0
9,600351.SH,600351,亚宝药业,中成药,True,5.48,4.0,0.0,0.0,42.2,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
10,002004.SZ,002004,华邦健康,化学制药,True,5.62,4.0,0.0,0.0,101.65,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",2.0
11,000950.SZ,000950,重药控股,医药商业,True,5.71,0.0,1.0,1.0,49.57,"重庆国际信托股份有限公司-渝信创新优势拾贰号集合资金信托
重庆国际信托股份有限公司-兴国1号集合资金信托计划
重庆渝富资本股权投资基金管理有限公司-重庆战略性新兴产业医药专项股权投资基金合伙企业(有限合伙)",3.0
12,002349.SZ,002349,精华制药,中成药,True,5.85,4.0,1.0,1.0,48.04,,0.0
13,002198.SZ,002198,嘉应制药,中成药,True,6.03,6.0,1.0,1.0,30.6,深圳市老虎汇资产管理有限公司,1.0
14,300158.SZ,300158,振东制药,化学制药,True,6.05,0.0,0.0,0.0,61.21,国通信托有限责任公司-国通信托·紫金11号集合资金信托计划,1.0
15,002173.SZ,002173,创新医疗,医疗保健,True,6.19,6.0,0.0,0.0,22.96,,0.0
16,600222.SH,600222,太龙药业,中成药,True,6.73,4.0,0.0,0.0,38.62,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
17,300181.SZ,300181,佐力药业,中成药,True,6.85,0.0,1.0,1.0,31.77,长信基金-工商银行-长信-朗程-工行定增1号资产管理计划,1.0
18,000919.SZ,000919,金陵药业,化学制药,True,7.28,4.0,0.0,0.0,36.6,中央汇金资产管理有限责任公司,1.0
