,ts_code,name,industry,COL_PCT_CHG,COL_LASTPRICE,COL_DAILY_AGGRESSIVE_ACCUMULATION,COL_FLOAT_HOLDERS
0,601216.SH,君正集团,化工原料,10.0423,10.41,127.88,"中信信诚资产-招商银行-诚融聚荷1号资产管理计划
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司"
1,002625.SZ,光启技术,汽车配件,10.0,30.36,121.5,
2,603069.SH,海汽集团,公路,10.0069,63.76,92.98,
3,300378.SZ,鼎捷软件,软件服务,10.0117,37.69,81.27,
4,000411.SZ,英特集团,医药商业,10.0125,26.48,80.0,"全国社保基金六零四组合
基本养老保险基金九零三组合"
5,600165.SH,新日恒力,钢加工,10.0327,10.09,80.0,"国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划
华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划"
6,002151.SZ,北斗星通,通信设备,10.0044,74.88,76.29,"国家集成电路产业投资基金股份有限公司
香港中央结算有限公司(陆股通)
全国社保基金一零二组合
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
中国建设银行股份有限公司-摩根士丹利华鑫多元收益债券型证券投资基金"
7,300086.SZ,康芝药业,化学制药,9.9874,8.7,66.56,云南国际信托有限公司-聚鑫2026号集合资金信托计划
8,600893.SH,航发动力,航空,10.0107,51.21,59.61,"中国华融资产管理股份有限公司
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
建信基金-兴业银行-杭州翀宋投资合伙企业(有限合伙)"
9,600391.SH,航发科技,航空,10.0068,32.43,58.62,"中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金
北京国际信托有限公司
中国国际金融香港资产管理有限公司-客户资金
中国银行股份有限公司-国投瑞银国家安全灵活配置混合型证券投资基金"
10,300099.SZ,精准信息,电器仪表,10.0106,10.33,58.29,
11,002651.SZ,利君股份,专用机械,10.0,8.91,57.09,领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
12,300083.SZ,创世纪,元器件,10.0352,12.5,53.94,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金
13,002866.SZ,传艺科技,IT设备,10.0183,24.05,52.67,"中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
中国农业银行股份有限公司-交银施罗德定期支付双息平衡混合型证券投资基金
中国农业银行股份有限公司-交银施罗德数据产业灵活配置混合型证券投资基金
中国建设银行股份有限公司-华夏盛世精选混合型证券投资基金"
14,600543.SH,莫高股份,红黄酒,10.0109,10.11,50.13,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划
15,600139.SH,西部资源,综合类,9.9548,4.86,49.85,
16,002416.SZ,爱施德,电器连锁,10.0168,13.07,46.06,香港中央结算有限公司(陆股通)
17,000697.SZ,炼石航空,航空,9.9924,14.53,41.93,"申万菱信基金-四川发展引领资本管理有限公司-申万菱信-引领资本1号大股东增持单一资产管理计划
上海铂祥投资管理中心(有限合伙)-铂祥FOF私募证券投资基金"
18,300601.SZ,康泰生物,生物制药,10.0019,235.91,40.59,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金"
19,002985.SZ,北摩高科,航空,10.0018,238.11,40.0,"中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)
全国社保基金一零七组合
中国工商银行-广发聚富开放式证券投资基金
中国工商银行股份有限公司-广发多策略灵活配置混合型证券投资基金
泰康资产管理有限责任公司-积极配置投资产品
中国农业银行股份有限公司-宝盈鸿利收益灵活配置混合型证券投资基金
招商银行股份有限公司-兴全轻资产投资混合型证券投资基金(LOF)"
20,600601.SH,方正科技,IT设备,9.3633,5.84,38.58,"华夏基金-中央汇金资产管理有限责任公司-华夏基金-汇金资管单一资产管理计划
广东伍文资产管理有限公司-伍文稳盈3号私募证券投资基金
广发基金-农业银行-广发中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划"
21,002165.SZ,红宝丽,化工原料,10.017,6.48,37.57,"中央汇金资产管理有限责任公司
兴全睿众资产-招商银行-兴全睿众-兴全睿众定增9号特定多客户资产管理计划
博时基金管理有限公司-社保基金四一九组合
中央汇金资产管理有限责任公司
兴全睿众资产-招商银行-兴全睿众-兴全睿众定增9号特定多客户资产管理计划"
22,300095.SZ,华伍股份,机械基件,10.0279,11.85,36.05,华宝信托有限责任公司-大地32号单一资金信托
