,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,603077.SH,603077,和邦生物,化工原料,1.55,9.9291,136.88,"香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资77号集合资金信托计划
建信基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资75号集合资金信托计划
西部利得基金-兴业银行-华鑫国际信托-华鑫信托·慧智投资78号集合资金信托计划",5.0
1,600157.SH,600157,永泰能源,火力发电,1.55,9.9291,192.6,"陕西省国际信托股份有限公司-陕国投·唐兴8号证券投资集合资金信托计划
泰达宏利基金-工商银行-泰达宏利新毅3号资产管理计划",2.0
2,002031.SZ,002031,巨轮智能,汽车配件,2.23,9.8522,42.11,中央汇金资产管理有限责任公司,1.0
3,600166.SH,600166,福田汽车,汽车整车,2.95,10.0746,193.97,中央汇金资产管理有限责任公司,1.0
4,000692.SZ,000692,惠天热电,供气供热,3.27,10.101,17.42,,0.0
5,300370.SZ,300370,安控科技,电器仪表,3.31,9.9668,23.91,,0.0
6,000040.SZ,000040,东旭蓝天,新型电力,3.44,9.9042,36.48,"鹏华资产-平安银行-鹏华资产锦富1号专项资产管理计划
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
海富通基金-宁波银行-民生信托-中国民生信托·至信167号宝安定增集合资金信托计划
国泓资产-宁波银行-西藏信托-鼎证47号单一资金信托
前海开源基金-浦发银行-国民信托-国民信托·证通7号单一资金信托",5.0
7,300317.SZ,300317,珈伟新能,半导体,3.6,10.0917,27.34,香港中央结算有限公司(陆股通),1.0
8,600537.SH,600537,亿晶光电,半导体,3.8,10.1449,44.7,中央汇金资产管理有限责任公司,1.0
9,600108.SH,600108,亚盛集团,农业综合,4.1,9.9196,79.82,中央汇金资产管理有限责任公司,1.0
10,000850.SZ,000850,华茂股份,纺织,4.27,10.0515,40.28,"深圳抱朴容易资产管理有限公司-抱朴容易1号私募证券投资基金
天津泰达股权投资基金管理有限公司",2.0
11,600237.SH,600237,铜峰电子,元器件,4.38,10.0503,24.72,,0.0
12,002662.SZ,002662,京威股份,汽车配件,4.57,10.1205,68.55,,0.0
