,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300857.SZ,300857,协创数据,IT设备,41.6,14.0,2.0,21.48,,0.0
1,300855.SZ,300855,图南股份,钢加工,51.1,13.0,1.0,25.55,,0.0
2,300858.SZ,300858,科拓生物,食品,93.76,12.0,1.0,19.34,,0.0
3,605188.SH,605188,国光连锁,超市连锁,14.37,11.0,0.0,7.12,,0.0
4,601456.SH,601456,国联证券,证券,15.86,11.0,3.0,75.45,,0.0
5,002991.SZ,002991,甘源食品,食品,144.76,11.0,3.0,33.73,,0.0
6,605199.SH,605199,葫芦娃,中成药,35.02,9.0,0.0,14.04,,0.0
7,002625.SZ,002625,光启技术,汽车配件,23.4,9.0,0.0,272.63,,0.0
8,300853.SZ,300853,申昊科技,机械基件,68.45,8.0,0.0,13.97,,0.0
9,605118.SH,605118,力鼎光电,元器件,23.0,8.0,0.0,9.43,,0.0
10,601216.SH,601216,君正集团,化工原料,8.37,8.0,0.0,706.26,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中信信诚资产-招商银行-诚融聚荷1号资产管理计划",3.0
11,000411.SZ,000411,英特集团,医药商业,21.08,8.0,0.0,43.7,"基本养老保险基金九零三组合
全国社保基金六零四组合",2.0
12,002995.SZ,002995,天地在线,互联网,94.97,8.0,3.0,15.36,,0.0
13,002151.SZ,002151,北斗星通,通信设备,66.0,7.0,0.0,242.11,"全国社保基金一零二组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
国家集成电路产业投资基金股份有限公司
中国建设银行股份有限公司-摩根士丹利华鑫多元收益债券型证券投资基金",5.0
14,300859.SZ,300859,西域旅游,旅游服务,18.35,7.0,3.0,7.11,,0.0
15,000828.SZ,000828,东莞控股,路桥,12.22,7.0,0.0,127.03,"工商银行-富国中证红利指数增强型证券投资基金
中国工商银行-富国中证红利指数增强型证券投资基金",2.0
16,300318.SZ,300318,博晖创新,医疗保健,10.74,7.0,0.0,77.82,中央汇金资产管理有限责任公司,1.0
17,600543.SH,600543,莫高股份,红黄酒,9.32,6.0,0.0,29.93,中信证券-甘肃兴陇资本管理有限公司-中信证券兴陇1号单一资产管理计划,1.0
18,002992.SZ,002992,宝明科技,元器件,39.33,6.0,0.0,13.57,,0.0
19,600165.SH,600165,新日恒力,化工原料,7.97,6.0,0.0,54.59,"华鑫国际信托有限公司-华鑫信托·华鹏66号集合资金信托计划
国通信托有限责任公司-国通信托·紫金8号集合资金信托计划
国通信托有限责任公司-国通信托·同洲精进2号集合资金信托计划",3.0
20,002506.SZ,002506,协鑫集成,电气设备,5.16,6.0,2.0,261.82,"香港中央结算有限公司(陆股通)
长城(德阳)超日项目基金合伙企业(有限合伙)
天津融境股权投资基金中心(有限合伙)",3.0
21,300120.SZ,300120,经纬辉开,元器件,15.5,6.0,2.0,36.73,"嘉实基金-农业银行-嘉实中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划",11.0
22,300099.SZ,300099,精准信息,电器仪表,8.6,6.0,0.0,38.79,,0.0
23,002287.SZ,002287,奇正藏药,中成药,33.24,6.0,0.0,175.47,"中央汇金资产管理有限责任公司
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",2.0
24,300856.SZ,300856,科思股份,化工原料,84.15,6.0,0.0,23.75,,0.0
25,603069.SH,603069,海汽集团,公路,46.4,6.0,0.0,146.62,,0.0
26,002827.SZ,002827,高争民爆,化工原料,20.0,6.0,1.0,55.2,全国社会保障基金理事会转持一户,1.0
27,300554.SZ,300554,三超新材,矿物制品,21.41,5.0,0.0,11.97,,0.0
28,002417.SZ,002417,深南股份,软件服务,11.59,5.0,1.0,26.59,,0.0
29,600336.SH,600336,澳柯玛,家用电器,8.09,5.0,0.0,62.84,,0.0
30,600351.SH,600351,亚宝药业,中成药,6.91,5.0,0.0,53.21,"中央汇金资产管理有限责任公司
山西省科技基金发展有限公司",2.0
31,300846.SZ,300846,首都在线,软件服务,29.0,5.0,0.0,14.5,,0.0
32,300278.SZ,300278,华昌达,专用机械,6.4,5.0,3.0,19.32,"陕西省国际信托股份有限公司-陕国投·永利33号证券投资集合资金信托计划
厦门国际信托有限公司-厦门信托-汇金1615号集合资金信托",2.0
33,300512.SZ,300512,中亚股份,专用机械,18.39,5.0,0.0,39.81,,0.0
34,600139.SH,600139,西部资源,综合类,3.75,5.0,0.0,24.82,,0.0
35,002651.SZ,002651,利君股份,专用机械,9.41,5.0,1.0,49.6,领航投资澳洲有限公司-领航新兴市场股指基金(交易所),1.0
36,002285.SZ,002285,世联行,房产服务,4.46,5.0,0.0,89.85,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金",3.0
37,300378.SZ,300378,鼎捷软件,软件服务,34.8,5.0,0.0,92.14,,0.0
38,605318.SH,605318,法狮龙,装修装饰,22.07,5.0,0.0,7.13,,0.0
39,605399.SH,605399,晨光新材,化工原料,24.1,5.0,1.0,11.09,,0.0
40,000524.SZ,000524,岭南控股,酒店餐饮,13.56,5.0,1.0,90.87,,0.0
41,002163.SZ,002163,海南发展,装修装饰,20.76,5.0,1.0,166.8,"华润深国投信托有限公司-华润信托·鸿道聚利集合资金信托计划
中国对外经济贸易信托有限公司-鸿道3期
中航基金-浙商银行-中航基金同达1号资产管理计划",3.0
42,600211.SH,600211,西藏药业,中成药,118.23,5.0,0.0,293.14,"中国银行股份有限公司-华夏鼎沛债券型证券投资基金
全国社保基金四零三组合",2.0
43,300778.SZ,300778,新城市,建筑工程,51.0,4.0,1.0,23.51,,0.0
44,002105.SZ,002105,信隆健康,文教休闲,10.05,4.0,0.0,37.03,"华泰证券股份有限公司-中庚价值领航混合型证券投资基金
平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金
广发证券股份有限公司-中庚小盘价值股票型证券投资基金",3.0
45,002173.SZ,002173,创新医疗,医疗保健,7.79,4.0,1.0,28.89,,0.0
46,002082.SZ,002082,万邦德,铝,14.76,4.0,0.0,28.5,中央汇金资产管理有限责任公司,1.0
47,600151.SH,600151,航天机电,汽车配件,7.36,4.0,1.0,105.56,"招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金",3.0
48,300218.SZ,300218,安利股份,塑料,10.15,4.0,0.0,21.95,中央汇金资产管理有限责任公司,1.0
49,300155.SZ,300155,安居宝,元器件,7.49,4.0,0.0,20.81,青岛法盛资产管理中心(有限合伙),1.0
50,603178.SH,603178,圣龙股份,汽车配件,10.55,4.0,0.0,21.2,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
51,600166.SH,600166,福田汽车,汽车整车,3.13,4.0,2.0,205.8,中央汇金资产管理有限责任公司,1.0
