,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_BREAK_INDEX,COL_LOCAL_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300116.SZ,300116,坚瑞沃能,电气设备,1.85,0.0,1.0,69.89,"上海国泰君安君彤投资管理有限公司-君彤二期投资基金
兴业财富资产-兴业银行-兴业财富-兴利190号特定多客户资产管理计划",2.0
1,000897.SZ,000897,津滨发展,区域地产,2.67,0.0,1.0,43.18,"博时基金-农业银行-博时中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",7.0
2,601991.SH,601991,大唐发电,火力发电,2.74,0.0,1.0,273.85,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中信信托有限责任公司-中信民生财富2期指定型结构化证券投资集合资金信托计划",3.0
3,000767.SZ,000767,漳泽电力,火力发电,2.84,0.0,1.0,82.71,"领航投资澳洲有限公司-领航新兴市场股指基金(交易所)
华安未来资产-工商银行-中航信托-天顺(2016)322号华安未来定增投资单一资金信托
中投知本汇(北京)资产管理有限公司-晋商2号私募投资基金
中投知本汇(北京)资产管理有限公司-晋商1号私募投资基金
国电投华泽(天津)资产管理有限公司
国开泰富基金-光大银行-华鑫国际信托-华鑫信托·专户投资2号单一资金信托
泰达宏利基金-招商银行-华创证券有限责任公司",7.0
4,600186.SH,600186,莲花健康,食品,2.9,0.0,1.0,40.02,,0.0
5,002471.SZ,002471,中超控股,电气设备,2.94,0.0,2.0,37.18,深圳市鑫腾华资产管理有限公司,1.0
6,002665.SZ,002665,首航高科,电气设备,2.97,0.0,1.0,67.01,"安信基金-农业银行-华宝信托-安心投资【6】号集合资金信托计划
华润深国投信托有限公司-华润信托·开元3号集合资金信托计划
长安国际信托股份有限公司-长安信托-民生定增1号单一资金信托
华宝信托有限责任公司
浙江浙企投资管理有限公司-杭州东方邦信赤孝股权投资基金合伙企业(有限合伙)
北信瑞丰基金-渤海银行-华润深国投信托-华润信托·增利40号单一资金信托
金城资本管理有限公司-甘肃省并购(纾困)基金(有限合伙)",7.0
7,300217.SZ,300217,东方电热,电器仪表,3.05,1.0,1.0,26.81,中央汇金资产管理有限责任公司,1.0
8,600166.SH,600166,福田汽车,汽车整车,3.08,1.0,1.0,202.52,中央汇金资产管理有限责任公司,1.0
9,002495.SZ,002495,佳隆股份,食品,3.15,0.0,1.0,22.49,,0.0
10,000413.SZ,000413,东旭光电,元器件,3.41,1.0,1.0,165.87,"中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
11,000692.SZ,000692,惠天热电,供气供热,3.48,0.0,1.0,18.54,,0.0
12,600868.SH,600868,梅雁吉祥,水力发电,3.69,0.0,1.0,70.04,广东能润资产管理有限公司,1.0
13,300269.SZ,300269,联建光电,半导体,3.82,1.0,1.0,16.1,申万菱信基金-工商银行-华融国际信托-盛世景定增基金权益投资集合资金信托计划,1.0
14,000711.SZ,000711,京蓝科技,软件服务,3.97,0.0,1.0,30.49,"华润深国投信托有限公司-华润信托·开元3号集合资金信托计划
陕西省国际信托股份有限公司-陕国投·金玉32号证券投资集合资金信托计划",2.0
15,002622.SZ,002622,融钰集团,综合类,4.03,0.0,1.0,33.85,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣78号证券投资集合资金信托计划
创隆资产管理有限公司",2.0
16,000937.SZ,000937,冀中能源,煤炭开采,4.08,0.0,1.0,118.59,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)
中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金",4.0
