,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_RECENT_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300859.SZ,300859,西域旅游,旅游服务,29.56,10.0112,12.0,11.45,,0.0
1,300857.SZ,300857,协创数据,IT设备,39.33,10.014,10.0,20.31,,0.0
2,603167.SH,603167,渤海轮渡,水运,17.63,9.9813,7.0,82.1,"交通银行股份有限公司-景顺长城中证红利低波动100交易型开放式指数证券投资基金
招商银行股份有限公司-上证红利交易型开放式指数证券投资基金
中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金
中国工商银行股份有限公司-兴业上证红利低波动交易型开放式指数证券投资基金
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF)",5.0
3,002108.SZ,002108,沧州明珠,塑料,6.73,9.9673,7.0,95.43,"云南国际信托有限公司-云南信托·大西部丝绸之路1号集合资金信托计划
深圳福星资本管理有限公司-福星高照1号私募投资基金
中央汇金资产管理有限责任公司",3.0
4,600363.SH,600363,联创光电,元器件,27.94,10.0,6.0,123.91,,0.0
5,002993.SZ,002993,奥海科技,元器件,56.67,9.9961,5.0,25.61,,0.0
6,002919.SZ,002919,名臣健康,日用化工,36.3,10.0,5.0,15.35,,0.0
7,601882.SH,601882,海天精工,机床制造,15.49,10.0142,4.0,80.86,,0.0
8,002288.SZ,002288,超华科技,元器件,9.46,10.0,4.0,75.71,天风天成资管-招商证券-天风天成科瑞集合资产管理计划,1.0
9,300846.SZ,300846,首都在线,软件服务,34.5,10.0128,4.0,17.25,,0.0
10,605333.SH,605333,沪光股份,汽车配件,10.15,9.9675,4.0,4.07,,0.0
11,300787.SZ,300787,海能实业,通信设备,59.37,10.0056,4.0,29.58,,0.0
12,605388.SH,605388,均瑶健康,软饮料,25.74,10.0,4.0,18.02,,0.0
13,300729.SZ,300729,乐歌股份,家居用品,74.53,10.0074,4.0,17.8,南京雷奥投资管理有限公司-雷奥2期证券投资基金,1.0
14,300313.SZ,300313,天山生物,农业综合,7.76,10.0709,3.0,14.29,,0.0
15,300733.SZ,300733,西菱动力,汽车配件,14.74,10.0,3.0,10.0,,0.0
16,688229.SH,688229,博睿数据,软件服务,146.6,13.926,3.0,14.81,,0.0
17,300721.SZ,300721,怡达股份,化工原料,26.71,10.0082,3.0,11.22,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0
18,600480.SH,600480,凌云股份,汽车配件,10.38,9.9576,3.0,79.25,"中国建设银行股份有限公司-华夏能源革新股票型证券投资基金
中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金",5.0
19,600726.SH,600726,华电能源,火力发电,2.85,10.0386,3.0,43.74,,0.0
20,603931.SH,603931,格林达,化工原料,37.26,10.0089,3.0,9.48,,0.0
21,000993.SZ,000993,闽东电力,水力发电,9.04,9.9757,3.0,33.72,中央汇金资产管理有限责任公司,1.0
22,688069.SH,688069,德林海,环境保护,135.74,11.9782,3.0,18.51,,0.0
23,000897.SZ,000897,津滨发展,区域地产,3.23,9.8639,3.0,52.24,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
博时基金-农业银行-博时中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
中欧基金-农业银行-中欧中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划",7.0
24,000869.SZ,000869,张裕A,红黄酒,37.4,10.0,2.0,169.59,"中央汇金资产管理有限责任公司
香港中央结算有限公司(陆股通)",2.0
25,600186.SH,600186,莲花健康,食品,3.0,9.8901,2.0,41.4,,0.0
26,603076.SH,603076,乐惠国际,专用机械,53.9,10.0,2.0,14.47,上海天戈投资管理有限公司-天戈紫旭私募基金,1.0
27,603600.SH,603600,永艺股份,家居用品,21.35,9.9948,2.0,64.44,"建信基金-杭州银行-建信-华润信托-惠润1号特定客户资产管理计划
香港中央结算有限公司(陆股通)",2.0
28,603997.SH,603997,继峰股份,汽车配件,8.32,10.0529,2.0,52.61,"全国社保基金四一二组合
中国建设银行股份有限公司-中欧价值发现股票型证券投资基金
中国工商银行股份有限公司-中欧潜力价值灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金",5.0
29,600976.SH,600976,健民集团,中成药,27.07,9.9513,2.0,41.5,"中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
招商银行股份有限公司-东方红京东大数据灵活配置混合型证券投资基金
泰康资管-交通银行-泰康资产管理有限责任公司优势精选资产管理产品
深圳市南方鑫泰投资发展有限公司-南方鑫泰-私募学院菁英145号基金
兴业银行股份有限公司-中欧新趋势股票型证券投资基金(LOF)
中国建设银行股份有限公司-中欧新蓝筹灵活配置混合型证券投资基金",6.0
30,300647.SZ,300647,超频三,元器件,10.66,10.0103,2.0,23.03,,0.0
31,002027.SZ,002027,分众传媒,影视音像,7.01,10.0471,2.0,1028.92,"中国工商银行股份有限公司-华安媒体互联网混合型证券投资基金
中国工商银行股份有限公司-东方红沪港深灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)",3.0
