,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300313.SZ,300313,天山生物,农业综合,16.08,20.0,11.0,29.61,,0.0
1,002993.SZ,002993,奥海科技,元器件,78.36,9.9944,11.0,35.42,,0.0
2,605333.SH,605333,沪光股份,汽车配件,14.87,9.9852,11.0,5.96,,0.0
3,603931.SH,603931,格林达,化工原料,54.56,10.0,10.0,13.89,,0.0
4,605255.SH,605255,N天普,汽车配件,22.06,10.0249,6.0,7.39,,0.0
5,605123.SH,605123,N派克,钢加工,52.86,10.0104,6.0,14.27,,0.0
6,300176.SZ,300176,派生科技,汽车配件,9.71,20.0247,4.0,36.43,"陕西省国际信托股份有限公司-陕国投·鑫鑫向荣83号证券投资集合资金信托计划
陕西省国际信托股份有限公司-陕国投·聚宝盆26号证券投资集合资金信托计划",2.0
7,300172.SZ,300172,中电环保,环境保护,8.42,19.943,4.0,31.66,中央汇金资产管理有限责任公司,1.0
8,300187.SZ,300187,永清环保,环境保护,8.64,20.0,4.0,54.78,中央汇金资产管理有限责任公司,1.0
9,600983.SH,600983,惠而浦,家用电器,7.66,10.0575,3.0,40.81,"中央汇金资产管理有限责任公司
浙江耀康资产管理有限公司-耀康必升1号私募证券投资基金",2.0
10,300791.SZ,300791,仙乐健康,医疗保健,115.92,20.0,3.0,34.78,"中国银行-易方达策略成长二号混合型证券投资基金
中国银行-易方达策略成长证券投资基金",2.0
11,300317.SZ,300317,珈伟新能,半导体,4.91,20.0489,2.0,37.29,香港中央结算有限公司(陆股通),1.0
12,300375.SZ,300375,鹏翎股份,汽车配件,5.46,20.0,2.0,23.9,渤海国际信托股份有限公司-渤海信托·恒利丰221号集合资金信托计划,1.0
13,300555.SZ,300555,路通视信,通信设备,11.34,20.0,2.0,19.72,,0.0
14,300293.SZ,300293,蓝英装备,专用机械,24.0,20.0,2.0,64.8,"滨海天地(天津)投资管理有限公司-滨海道冲1号私募证券投资基金
财通基金-湖南轻盐创业投资管理有限公司-财通基金安吉83号单一资产管理计划
滨海天地(天津)投资管理有限公司-滨海叶盛1号契约型私募投资基金
滨海天地(天津)投资管理有限公司-滨海天玑-双威2号契约型私募投资基金",4.0
15,300376.SZ,300376,易事特,电气设备,6.44,19.9255,2.0,148.65,"哈尔滨融顺资产管理有限责任公司
民生加银基金-平安银行-方正东亚信托有限责任公司
创金合信基金-招商银行-广东华兴银行股份有限公司
华融证券-平安银行-华融股票宝21号集合资产管理计划",4.0
16,300222.SZ,300222,科大智能,电气设备,14.56,20.033,2.0,79.13,,0.0
17,300217.SZ,300217,东方电热,电器仪表,3.67,19.9346,2.0,32.27,中央汇金资产管理有限责任公司,1.0
18,300210.SZ,300210,森远股份,专用机械,5.38,20.0893,2.0,20.99,中央汇金资产管理有限责任公司,1.0
19,300304.SZ,300304,云意电气,汽车配件,5.68,20.0846,2.0,47.93,中央汇金资产管理有限责任公司,1.0
20,000590.SZ,000590,启迪古汉,中成药,12.57,9.9738,2.0,30.09,,0.0
21,300100.SZ,300100,双林股份,汽车服务,7.61,20.0315,2.0,29.0,,0.0
22,300160.SZ,300160,秀强股份,玻璃,8.51,20.0282,2.0,49.62,浙江九章资产管理有限公司-九章幻方青溪3号私募基金,1.0
23,300416.SZ,300416,苏试试验,电器仪表,29.63,12.7473,1.0,59.81,"中央汇金资产管理有限责任公司
中国农业银行股份有限公司-宝盈科技30灵活配置混合型证券投资基金
招商银行股份有限公司-泓德丰润三年持有期混合型证券投资基金
中国工商银行股份有限公司-泓德远见回报混合型证券投资基金
招商银行股份有限公司-泓德臻远回报灵活配置混合型证券投资基金",5.0
24,600831.SH,600831,广电网络,影视音像,9.03,9.9878,1.0,64.15,中央汇金资产管理有限责任公司,1.0
25,688126.SH,688126,沪硅产业-U,半导体,45.6,16.5644,1.0,205.12,,0.0
26,300459.SZ,300459,金科文化,互联网,3.92,10.1124,1.0,88.98,"中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金",3.0
27,300484.SZ,300484,蓝海华腾,电气设备,13.98,10.6888,1.0,20.44,,0.0
28,603966.SH,603966,法兰泰克,机械基件,17.87,9.8341,1.0,37.49,,0.0
29,603168.SH,603168,莎普爱思,化学制药,10.66,10.0103,1.0,34.39,上海速硕投资管理有限公司-速硕新价值成长一期私募证券投资基金,1.0
30,600748.SH,600748,上实发展,全国地产,6.03,10.0365,1.0,111.23,"中国长城资产管理股份有限公司
中央汇金资产管理有限责任公司
中融国际信托有限公司-中融-嘉睿10号集合资金信托计划
上银基金-浦发银行-上海国盛(集团)有限公司
香港中央结算有限公司(陆股通)",5.0
31,300613.SZ,300613,富瀚微,半导体,184.6,11.2853,1.0,139.21,中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金,1.0
32,300643.SZ,300643,万通智控,汽车配件,16.92,15.9698,1.0,33.84,,0.0
33,300739.SZ,300739,明阳电路,元器件,25.4,13.1403,1.0,17.83,中国国际金融香港资产管理有限公司-客户资金,1.0
34,300742.SZ,300742,越博动力,汽车配件,27.18,10.8483,1.0,11.67,"伊犁苏新投资基金合伙企业(有限合伙)
上海歌石股权投资基金合伙企业(有限合伙)
招商证券股份有限公司-平安中证新能源汽车产业交易型开放式指数证券投资基金
上海汉王歌石股权投资基金合伙企业(有限合伙)",4.0
35,600303.SH,600303,曙光股份,汽车整车,4.0,9.8901,1.0,27.02,"长信基金-宁波银行-辽宁曙光汽车集团股份有限公司
北京盛唐恒泰国际投资管理有限公司-盛唐星辰2号私募投资基金",2.0
36,300829.SZ,300829,金丹科技,食品,106.88,16.351,1.0,30.25,"中国建设银行股份有限公司-广发科技创新混合型证券投资基金
中国建设银行股份有限公司-嘉实泰和混合型证券投资基金
嘉实基金-国新投资有限公司-嘉实基金-国新2号单一资产管理计划
中国农业银行股份有限公司-嘉实新兴产业股票型证券投资基金
中国工商银行-中海能源策略混合型证券投资基金
中国银行股份有限公司-嘉实瑞和两年持有期混合型证券投资基金",6.0
37,300444.SZ,300444,双杰电气,电气设备,5.47,12.3203,1.0,17.44,,0.0
38,000517.SZ,000517,荣安地产,区域地产,2.97,10.0,1.0,73.46,香港中央结算有限公司(陆股通),1.0
39,300382.SZ,300382,斯莱克,专用机械,8.83,10.0998,1.0,49.84,"兴业国际信托有限公司-兴业信托-斯莱克2号员工持股集合资金信托计划
中央汇金资产管理有限责任公司
深圳市恒泰华盛资产管理有限公司-盛世37号私募基金",3.0
40,300325.SZ,300325,德威新材,塑料,3.48,11.1821,1.0,34.68,深圳市皓景资产管理有限公司,1.0
41,000733.SZ,000733,振华科技,元器件,43.96,10.01,1.0,226.31,"中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金
全国社保基金一零二组合
中国建设银行股份有限公司-易方达国防军工混合型证券投资基金
香港中央结算有限公司(陆股通)
贵州省贵鑫瑞和创业投资管理有限责任公司-贵州新动能产业投资基金合伙企业(有限合伙)
财通基金-招商银行-财通基金-长昕1号资产管理计划",8.0
