,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,605358.SH,605358,立昂微,半导体,29.6,15.0,3.0,19.0,12.01,,0.0
1,605198.SH,605198,德利股份,软饮料,26.4,10.0,2.0,13.0,5.28,,0.0
2,003009.SZ,003009,中天火箭,航空,30.0,6.0,3.0,9.0,11.65,,0.0
3,003010.SZ,003010,若羽臣,互联网,35.26,6.0,3.0,9.0,10.73,,0.0
4,002998.SZ,002998,优彩资源,化纤,11.92,5.0,2.0,8.0,9.73,,0.0
5,605111.SH,605111,新洁能,半导体,41.98,5.0,3.0,8.0,10.62,,0.0
6,605218.SH,605218,伟时电子,元器件,19.83,4.0,2.0,7.0,10.55,,0.0
7,300581.SZ,300581,晨曦航空,航空,38.3,5.0,3.0,7.0,65.78,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金",2.0
8,605018.SH,605018,长华股份,汽车配件,18.63,4.0,3.0,7.0,7.76,,0.0
9,300722.SZ,300722,新余国科,专用机械,75.02,6.0,3.0,7.0,27.31,"中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国国际金融香港资产管理有限公司-客户资金2",4.0
10,605136.SH,605136,丽人丽妆,其他商业,23.44,4.0,3.0,7.0,9.38,,0.0
11,300711.SZ,300711,广哈通信,通信设备,28.32,4.0,2.0,7.0,18.49,,0.0
12,605099.SH,605099,共创草坪,文教休闲,26.9,3.0,3.0,6.0,10.78,,0.0
13,300208.SZ,300208,青岛中程,电气设备,17.99,6.0,3.0,5.0,123.66,"宁波梅山保税港区荟金投资管理有限公司-荟金1号私募证券投资基金
宁波梅山保税港区荟金投资管理有限公司-荟金2号私募证券投资基金",2.0
14,002132.SZ,002132,恒星科技,钢加工,4.71,5.0,3.0,5.0,59.04,"上海般胜投资管理有限公司-般胜进取1号私募证券投资基金
河南克瑞德资产管理有限公司-恒盈1号私募证券投资基金
上海融儒资产管理有限公司-融儒价值2号私募证券投资基金",3.0
15,300542.SZ,300542,新晨科技,软件服务,22.68,3.0,2.0,5.0,44.47,,0.0
16,605338.SH,605338,巴比食品,食品,18.32,1.0,1.0,4.0,11.36,,0.0
17,300317.SZ,300317,珈伟新能,半导体,9.16,3.0,2.0,4.0,70.45,香港中央结算有限公司(陆股通),1.0
18,300850.SZ,300850,新强联,机械基件,85.94,2.0,2.0,4.0,22.77,,0.0
19,300863.SZ,300863,卡倍亿,汽车配件,146.23,6.0,2.0,4.0,19.15,,0.0
20,300064.SZ,300064,豫金刚石,矿物制品,6.25,5.0,2.0,3.0,39.92,,0.0
21,300018.SZ,300018,中元股份,电气设备,9.26,2.0,2.0,3.0,36.26,中央汇金资产管理有限责任公司,1.0
22,601865.SH,601865,福莱特,玻璃,36.2,3.0,3.0,3.0,123.43,"香港中央结算有限公司(陆股通)
全国社保基金一一四组合",2.0
23,300827.SZ,300827,上能电气,电气设备,76.0,2.0,2.0,3.0,13.93,"中国农业银行股份有限公司-工银瑞信中小盘成长混合型证券投资基金
中国农业银行股份有限公司-工银瑞信高端制造行业股票型证券投资基金
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金
交通银行股份有限公司-工银瑞信主题策略混合型证券投资基金",4.0
24,300484.SZ,300484,蓝海华腾,电气设备,23.08,3.0,2.0,3.0,33.75,,0.0
25,600537.SH,600537,亿晶光电,半导体,5.27,4.0,3.0,3.0,61.99,中央汇金资产管理有限责任公司,1.0
26,300518.SZ,300518,盛讯达,软件服务,46.57,2.0,1.0,3.0,28.86,"鹏华资产-浦发银行-鹏华资产金润28号资产管理计划
鹏华资产-浦发银行-鹏华资产方圆6号资产管理计划
中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划
鹏华资产管理-浦发银行-鹏华资产金润18号资产管理计划
鹏华资产-浦发银行-鹏华资产金润24号资产管理计划",5.0
27,300537.SZ,300537,广信材料,染料涂料,29.45,3.0,2.0,3.0,36.92,中国工商银行股份有限公司-南方大数据100指数证券投资基金,1.0
28,300675.SZ,300675,建科院,建筑工程,26.29,3.0,1.0,2.0,38.56,,0.0
29,002931.SZ,002931,锋龙股份,汽车配件,25.19,5.0,2.0,2.0,10.93,桐庐浙富桐君股权投资基金合伙企业(有限合伙),1.0
30,300468.SZ,300468,四方精创,软件服务,27.48,1.0,1.0,2.0,77.1,中央汇金资产管理有限责任公司,1.0
31,300872.SZ,300872,天阳科技,软件服务,56.52,2.0,1.0,2.0,30.13,,0.0
32,300869.SZ,300869,康泰医学,医疗保健,137.84,5.0,1.0,2.0,53.12,,0.0
33,300514.SZ,300514,友讯达,通信设备,15.02,1.0,1.0,2.0,22.97,,0.0
34,300424.SZ,300424,航新科技,航空,24.95,1.0,1.0,2.0,48.87,"中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
北京开元国创恒誉资产管理有限公司-开元国创恒誉穿云航空产业1号私募证券投资基金",2.0
35,300412.SZ,300412,迦南科技,医疗保健,15.92,3.0,2.0,2.0,35.42,中央汇金资产管理有限责任公司,1.0
36,300019.SZ,300019,硅宝科技,化工原料,17.15,1.0,1.0,2.0,46.64,"中国建设银行股份有限公司-交银施罗德经济新动力混合型证券投资基金
申万菱信基金-四川发展引领资本管理有限公司-申万菱信-引领资本1号大股东增持单一资产管理计划
中国建设银行股份有限公司-交银施罗德成长30混合型证券投资基金",3.0
37,300376.SZ,300376,易事特,电气设备,11.36,3.0,1.0,2.0,262.22,"创金合信基金-招商银行-广东华兴银行股份有限公司
华融证券-平安银行-华融股票宝21号集合资产管理计划
哈尔滨融顺资产管理有限责任公司
民生加银基金-平安银行-方正东亚信托有限责任公司",4.0
38,300062.SZ,300062,中能电气,电气设备,8.86,1.0,1.0,2.0,17.19,,0.0
39,300318.SZ,300318,博晖创新,医疗保健,19.32,4.0,1.0,2.0,142.43,中央汇金资产管理有限责任公司,1.0
40,300073.SZ,300073,当升科技,矿物制品,55.03,1.0,1.0,2.0,239.7,"中国工商银行股份有限公司-景顺长城创新成长混合型证券投资基金
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
中国建设银行股份有限公司-富国中证新能源汽车指数分级证券投资基金
中国建设银行股份有限公司-华夏能源革新股票型证券投资基金
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金",7.0
41,300828.SZ,300828,锐新科技,铝,36.43,2.0,2.0,2.0,10.04,,0.0
42,300312.SZ,300312,邦讯技术,通信设备,9.58,3.0,1.0,2.0,20.08,,0.0
43,300763.SZ,300763,锦浪科技,电气设备,132.3,2.0,2.0,2.0,72.84,"中信银行股份有限公司-中银智能制造股票型证券投资基金
中国农业银行股份有限公司-广发科创主题3年封闭运作灵活配置混合型证券投资基金
上海浦东发展银行股份有限公司-广发高端制造股票型发起式证券投资基金
中信信托有限责任公司-中信信托锐进58期源乐晟投资集合资金信托计划
中国工商银行股份有限公司-广发制造业精选混合型证券投资基金
西藏源乐晟资产管理有限公司-源乐晟新恒晟私募证券投资基金",6.0
44,300745.SZ,300745,欣锐科技,汽车配件,28.2,1.0,1.0,2.0,18.11,,0.0
45,300569.SZ,300569,天能重工,专用机械,22.58,3.0,1.0,2.0,57.3,"上海致君资产管理有限公司-致君基石投资一号
中国农业银行股份有限公司-工银瑞信战略转型主题股票型证券投资基金",2.0
46,300593.SZ,300593,新雷能,电气设备,25.44,1.0,1.0,2.0,29.83,,0.0
47,300713.SZ,300713,英可瑞,电气设备,21.86,1.0,1.0,2.0,14.06,深圳科乐投资管理企业(有限合伙)-科乐长虹私募证券投资基金,1.0
48,002759.SZ,002759,天际股份,家用电器,12.86,4.0,2.0,2.0,51.72,,0.0
49,000010.SZ,000010,美丽生态,建筑工程,4.73,2.0,2.0,2.0,24.7,"上海衍金投资管理有限公司-衍金共生2号私募证券投资基金
深圳市德远投资有限公司-德远梧桐山9号私募基金",2.0
50,002118.SZ,002118,紫鑫药业,中成药,3.97,2.0,2.0,2.0,50.84,上海红樱资产管理有限公司,1.0
51,688536.SH,688536,思瑞浦,半导体,297.6,4.0,1.0,2.0,53.81,,0.0
