,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT,COL_HAS_MINGHONG
0,300641.SZ,300641,正丹股份,化工原料,7.49,1.0,1.0,2.0,36.67,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0,True
1,002524.SZ,002524,光正眼科,医疗保健,12.64,1.0,1.0,1.0,61.21,"上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国邮政储蓄银行股份有限公司-创金合信医疗保健行业股票型证券投资基金
稷定资产管理(嘉兴)有限公司-稷定健康私募证券投资基金",4.0,True
2,002835.SZ,002835,同为股份,元器件,17.49,1.0,1.0,1.0,20.51,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国国际金融香港资产管理有限公司-客户资金",2.0,True
3,603198.SH,603198,迎驾贡酒,白酒,23.57,0.0,0.0,0.0,188.56,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
安徽六安市迎驾慈善基金会
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
基本养老保险基金一二零四组合
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",6.0,True
4,603661.SH,603661,恒林股份,家居用品,69.2,0.0,0.0,0.0,19.89,"上海于翼资产管理合伙企业(有限合伙)-东方点赞证券投资基金
平安银行股份有限公司-中庚价值灵动灵活配置混合型证券投资基金
上海于翼资产管理合伙企业(有限合伙)-于翼金选点赞31号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海于翼资产管理合伙企业(有限合伙)-东方点赞11号证券私募基金",5.0,True
5,603610.SH,603610,麒盛科技,家居用品,30.29,0.0,0.0,0.0,15.71,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行-南方积极配置证券投资基金
香港中央结算有限公司(陆股通)",3.0,True
6,603506.SH,603506,南都物业,房产服务,22.78,0.0,0.0,0.0,7.64,"中国建设银行股份有限公司-华安宏利混合型证券投资基金
中国建设银行股份有限公司-交银施罗德阿尔法核心混合型证券投资基金
中国建设银行股份有限公司-融通领先成长混合型证券投资基金(LOF)
融通新蓝筹证券投资基金
中国工商银行股份有限公司-交银施罗德优势行业灵活配置混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-交银施罗德持续成长主题混合型证券投资基金",7.0,True
7,603499.SH,603499,翔港科技,广告包装,10.05,0.0,0.0,0.0,20.13,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
8,603466.SH,603466,风语筑,文教休闲,20.61,0.0,0.0,0.0,59.8,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
香港中央结算有限公司(陆股通)",2.0,True
9,603396.SH,603396,金辰股份,专用机械,41.53,1.0,0.0,0.0,43.93,"中国建设银行股份有限公司-华夏能源革新股票型证券投资基金
宁波辽海华商创业投资基金(有限合伙)
交通银行股份有限公司-汇丰晋信智造先锋股票型证券投资基金
招商银行股份有限公司-富国清洁能源产业灵活配置混合型证券投资基金
三和创赢资产管理(深圳)有限公司-三和创赢战略投资1期私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金",7.0,True
