,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT_300
0,002291.SZ,002291,星期六,服饰,35.0
1,002239.SZ,002239,奥特佳,汽车配件,35.0
2,603976.SH,603976,正川股份,医疗保健,34.0
3,603301.SH,603301,振德医疗,医疗保健,31.0
4,603069.SH,603069,海汽集团,公路,29.0
5,002400.SZ,002400,省广集团,广告包装,29.0
6,300293.SZ,300293,蓝英装备,专用机械,27.0
7,300576.SZ,300576,容大感光,染料涂料,26.0
8,002838.SZ,002838,道恩股份,塑料,25.0
9,002351.SZ,002351,漫步者,IT设备,25.0
10,300160.SZ,300160,秀强股份,玻璃,24.0
11,000700.SZ,000700,模塑科技,汽车配件,23.0
12,600318.SH,600318,新力金融,多元金融,23.0
13,600211.SH,600211,西藏药业,中成药,23.0
14,300612.SZ,300612,宣亚国际,广告包装,23.0
15,300526.SZ,300526,中潜股份,专用机械,22.0
16,603598.SH,603598,引力传媒,影视音像,21.0
17,000698.SZ,000698,沈阳化工,化工原料,21.0
18,000652.SZ,000652,泰达股份,批发业,20.0
19,300464.SZ,300464,星徽精密,机械基件,20.0
20,000796.SZ,000796,凯撒旅业,旅游服务,20.0
21,002613.SZ,002613,北玻股份,专用机械,20.0
22,600712.SH,600712,南宁百货,百货,19.0
23,300521.SZ,300521,爱司凯,专用机械,19.0
24,300313.SZ,300313,天山生物,农业综合,19.0
25,002503.SZ,002503,搜于特,服饰,19.0
26,300085.SZ,300085,银之杰,软件服务,19.0
27,600127.SH,600127,金健米业,农业综合,18.0
28,601216.SH,601216,君正集团,化工原料,18.0
29,300051.SZ,300051,三五互联,互联网,18.0
30,002286.SZ,002286,保龄宝,食品,18.0
31,300265.SZ,300265,通光线缆,电气设备,17.0
32,300120.SZ,300120,经纬辉开,元器件,17.0
33,002950.SZ,002950,奥美医疗,医疗保健,16.0
34,300643.SZ,300643,万通智控,汽车配件,16.0
35,002425.SZ,002425,凯撒文化,互联网,16.0
36,600513.SH,600513,联环药业,化学制药,16.0
37,300683.SZ,300683,海特生物,生物制药,15.0
38,600859.SH,600859,王府井,百货,15.0
39,002625.SZ,002625,光启技术,汽车配件,14.0
40,603533.SH,603533,掌阅科技,互联网,13.0
41,000816.SZ,000816,智慧农业,农用机械,4.0
