,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT_20
0,000816.SZ,000816,智慧农业,农用机械,11.0
1,605111.SH,605111,新洁能,半导体,11.0
2,003015.SZ,003015,日久光电,元器件,9.0
3,603919.SH,603919,金徽酒,白酒,8.0
4,003009.SZ,003009,中天火箭,航空,8.0
5,603533.SH,603533,掌阅科技,互联网,6.0
6,605338.SH,605338,巴比食品,食品,6.0
7,300286.SZ,300286,安科瑞,电器仪表,5.0
8,003018.SZ,003018,金富科技,塑料,5.0
9,003017.SZ,003017,大洋生物,化工原料,5.0
10,689009.SH,689009,九号公司-UWD,专用机械,5.0
11,605136.SH,605136,丽人丽妆,其他商业,5.0
12,605358.SH,605358,立昂微,半导体,5.0
13,002612.SZ,002612,朗姿股份,服饰,5.0
14,300727.SZ,300727,润禾材料,化工原料,5.0
15,300781.SZ,300781,因赛集团,广告包装,4.0
16,002759.SZ,002759,天际股份,家用电器,4.0
17,002750.SZ,002750,龙津药业,中成药,4.0
18,300126.SZ,300126,锐奇股份,轻工机械,4.0
19,300153.SZ,300153,科泰电源,电气设备,4.0
20,300491.SZ,300491,通合科技,电气设备,4.0
21,300582.SZ,300582,英飞特,半导体,4.0
22,000550.SZ,000550,江铃汽车,汽车整车,4.0
23,605007.SH,605007,五洲特纸,造纸,4.0
24,688179.SH,688179,阿拉丁,化学制药,4.0
25,600559.SH,600559,老白干酒,白酒,4.0
26,600573.SH,600573,惠泉啤酒,啤酒,4.0
27,601866.SH,601866,中远海发,水运,4.0
28,601995.SH,601995,中金公司,证券,4.0
29,688133.SH,688133,泰坦科技,化工原料,4.0
30,600686.SH,600686,金龙汽车,汽车整车,4.0
31,601702.SH,601702,华峰铝业,铝,4.0
32,600807.SH,600807,济南高新,区域地产,4.0
33,603333.SH,603333,尚纬股份,电气设备,3.0
34,603198.SH,603198,迎驾贡酒,白酒,3.0
35,003013.SZ,003013,地铁设计,建筑工程,3.0
36,600321.SH,600321,正源股份,其他建材,3.0
37,003002.SZ,003002,壶化股份,化工原料,3.0
38,002824.SZ,002824,和胜股份,铝,3.0
39,605058.SH,605058,澳弘电子,元器件,3.0
40,002524.SZ,002524,光正眼科,医疗保健,3.0
41,002141.SZ,002141,贤丰控股,元器件,3.0
42,300062.SZ,300062,中能电气,电气设备,3.0
43,601187.SH,601187,厦门银行,银行,3.0
44,300131.SZ,300131,英唐智控,元器件,3.0
45,300141.SZ,300141,和顺电气,电气设备,3.0
46,600189.SH,600189,吉林森工,软饮料,3.0
47,300269.SZ,300269,联建光电,半导体,3.0
48,601168.SH,601168,西部矿业,铜,3.0
49,300317.SZ,300317,珈伟新能,半导体,3.0
50,300350.SZ,300350,华鹏飞,仓储物流,3.0
51,300419.SZ,300419,浩丰科技,软件服务,3.0
52,300540.SZ,300540,深冷股份,专用机械,3.0
53,300549.SZ,300549,优德精密,专用机械,3.0
54,300569.SZ,300569,天能重工,专用机械,3.0
55,000545.SZ,000545,金浦钛业,化工原料,3.0
56,300708.SZ,300708,聚灿光电,半导体,3.0
