,ts_code,symbol,name,industry,COL_RECENT_LIMIT_COUNT_300
0,002239.SZ,002239,奥特佳,汽车配件,36.0
1,300598.SZ,300598,诚迈科技,软件服务,36.0
2,002291.SZ,002291,星期六,服饰,35.0
3,603392.SH,603392,万泰生物,医疗保健,35.0
4,603976.SH,603976,正川股份,医疗保健,34.0
5,603290.SH,603290,斯达半导,半导体,33.0
6,002581.SZ,002581,未名医药,生物制药,33.0
7,603301.SH,603301,振德医疗,医疗保健,31.0
8,603069.SH,603069,海汽集团,公路,29.0
9,002400.SZ,002400,省广集团,广告包装,29.0
10,300658.SZ,300658,延江股份,纺织,28.0
11,300293.SZ,300293,蓝英装备,专用机械,27.0
12,300318.SZ,300318,博晖创新,医疗保健,27.0
13,300803.SZ,300803,指南针,软件服务,27.0
14,300576.SZ,300576,容大感光,染料涂料,26.0
15,300846.SZ,300846,首都在线,软件服务,26.0
16,300841.SZ,300841,康华生物,生物制药,26.0
17,300820.SZ,300820,英杰电气,电气设备,26.0
18,002351.SZ,002351,漫步者,IT设备,25.0
19,002838.SZ,002838,道恩股份,塑料,25.0
20,603893.SH,603893,瑞芯微,半导体,25.0
21,300160.SZ,300160,秀强股份,玻璃,25.0
22,605358.SH,605358,立昂微,半导体,25.0
23,002552.SZ,002552,宝鼎科技,机械基件,24.0
24,002662.SZ,002662,京威股份,汽车配件,24.0
25,300612.SZ,300612,宣亚国际,广告包装,24.0
26,002961.SZ,002961,瑞达期货,多元金融,24.0
27,300797.SZ,300797,钢研纳克,电器仪表,24.0
28,300805.SZ,300805,电声股份,广告包装,24.0
29,603815.SH,603815,交建股份,建筑工程,24.0
30,300178.SZ,300178,腾邦国际,旅游服务,24.0
31,600318.SH,600318,新力金融,多元金融,23.0
32,600211.SH,600211,西藏药业,中成药,23.0
33,603093.SH,603093,南华期货,多元金融,23.0
34,300278.SZ,300278,华昌达,专用机械,23.0
35,000700.SZ,000700,模塑科技,汽车配件,23.0
36,300368.SZ,300368,汇金股份,IT设备,23.0
37,300799.SZ,300799,左江科技,软件服务,23.0
38,000955.SZ,000955,欣龙控股,纺织,23.0
39,688399.SH,688399,硕世生物,医疗保健,23.0
40,000564.SZ,000564,供销大集,百货,22.0
41,300459.SZ,300459,金科文化,互联网,22.0
42,300526.SZ,300526,中潜股份,专用机械,22.0
43,300677.SZ,300677,英科医疗,医疗保健,22.0
44,600812.SH,600812,华北制药,化学制药,22.0
45,300280.SZ,300280,紫天科技,广告包装,21.0
46,603608.SH,603608,天创时尚,服饰,21.0
47,603880.SH,603880,南卫股份,医疗保健,21.0
48,000698.SZ,000698,沈阳化工,化工原料,21.0
49,300102.SZ,300102,乾照光电,半导体,21.0
50,603530.SH,603530,神马电力,电气设备,21.0
51,300364.SZ,300364,中文在线,出版业,21.0
52,603598.SH,603598,引力传媒,影视音像,21.0
53,000038.SZ,000038,深大通,广告包装,21.0
54,300740.SZ,300740,御家汇,日用化工,21.0
55,300787.SZ,300787,海能实业,通信设备,21.0
56,603825.SH,603825,华扬联众,互联网,21.0
57,300793.SZ,300793,佳禾智能,IT设备,21.0
58,002824.SZ,002824,和胜股份,铝,21.0
59,002740.SZ,002740,爱迪尔,服饰,21.0
60,300792.SZ,300792,壹网壹创,互联网,21.0
61,002975.SZ,002975,博杰股份,专用机械,20.0
62,603005.SH,603005,晶方科技,半导体,20.0
63,300798.SZ,300798,锦鸡股份,染料涂料,20.0
64,605111.SH,605111,新洁能,半导体,20.0
65,002613.SZ,002613,北玻股份,专用机械,20.0
66,603023.SH,603023,威帝股份,汽车配件,20.0
67,300464.SZ,300464,星徽精密,机械基件,20.0
68,300831.SZ,300831,派瑞股份,元器件,20.0
69,002163.SZ,002163,海南发展,装修装饰,20.0
70,000796.SZ,000796,凯撒旅业,旅游服务,20.0
71,300485.SZ,300485,赛升药业,生物制药,20.0
72,605199.SH,605199,葫芦娃,中成药,20.0
73,000652.SZ,000652,泰达股份,批发业,20.0
74,300346.SZ,300346,南大光电,元器件,20.0
75,300813.SZ,300813,泰林生物,医疗保健,20.0
76,300816.SZ,300816,艾可蓝,环境保护,19.0
77,300468.SZ,300468,四方精创,软件服务,19.0
78,603533.SH,603533,掌阅科技,互联网,19.0
79,300521.SZ,300521,爱司凯,专用机械,19.0
80,300343.SZ,300343,联创股份,互联网,19.0
81,300116.SZ,300116,保力新,电气设备,19.0
82,300317.SZ,300317,珈伟新能,半导体,19.0
83,300313.SZ,300313,天山生物,农业综合,19.0
84,002503.SZ,002503,搜于特,服饰,19.0
85,601696.SH,601696,中银证券,证券,19.0
86,002973.SZ,002973,侨银环保,环境保护,19.0
87,600712.SH,600712,南宁百货,百货,19.0
