,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
0,300908.SZ,300908,N仲景,食品,120.8,1.0,20.0,28.64,,0.0
1,003019.SZ,003019,宸展光电,元器件,43.01,2.0,7.0,13.76,,0.0
2,002553.SZ,002553,南方轴承,汽车配件,11.29,3.0,5.0,26.45,"上海嘉恳资产管理有限公司-嘉恳兴丰17号私募证券投资基金
华泰证券资管-南京银行-华泰家园10号集合资产管理计划",2.0
3,601127.SH,601127,小康股份,汽车配件,16.23,2.0,5.0,151.49,"重庆两江股权投资基金管理有限公司-重庆两江新区战略性新兴产业股权投资基金合伙企业(有限合伙)
华鑫国际信托有限公司-华鑫信托·396号证券投资集合资金信托计划
小康控股-红塔证券-19小康EB担保及信托财产专户
小康控股-红塔证券-20康EB02担保及信托财产专户",4.0
4,300807.SZ,300807,天迈科技,软件服务,60.5,2.0,4.0,10.29,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金",2.0
5,605068.SH,605068,N明新,汽车配件,33.36,1.0,4.0,13.84,,0.0
6,002379.SZ,002379,宏创控股,铝,4.27,3.0,4.0,39.56,,0.0
7,600178.SH,600178,东安动力,汽车配件,10.03,2.0,3.0,46.35,"中国建设银行-华夏红利混合型开放式证券投资基金
广东泓骐私募证券投资基金管理有限公司-泓骐稳进1号私募证券投资基金",2.0
8,600616.SH,600616,金枫酒业,红黄酒,7.49,3.0,3.0,50.11,,0.0
9,601579.SH,601579,会稽山,红黄酒,12.62,3.0,3.0,62.77,"浙商金汇信托股份有限公司-浙金·汇利36号证券投资集合资金信托计划
上海大丰资产管理有限公司",2.0
10,002819.SZ,002819,东方中科,电器仪表,39.34,2.0,2.0,54.78,,0.0
11,300776.SZ,300776,帝尔激光,专用机械,137.0,1.0,2.0,62.27,"中国工商银行股份有限公司-汇添富策略回报混合型证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金
招商银行股份有限公司-景顺长城成长领航混合型证券投资基金
中国农业银行股份有限公司-景顺长城核心竞争力混合型证券投资基金",5.0
12,002245.SZ,002245,澳洋顺昌,仓储物流,9.57,2.0,2.0,87.45,,0.0
13,300822.SZ,300822,贝仕达克,元器件,57.38,1.0,2.0,15.3,"上海高毅资产管理合伙企业(有限合伙)-高毅庆瑞6号瑞行基金
北京博信盈泰投资管理有限公司-博信盈泰澜沧江二十四号私募投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-博时外延增长主题灵活配置混合型证券投资基金",4.0
14,300869.SZ,300869,康泰医学,医疗保健,137.89,1.0,2.0,53.14,,0.0
15,300713.SZ,300713,英可瑞,电气设备,30.11,1.0,2.0,24.23,"中国国际金融香港资产管理有限公司-客户资金2
深圳科乐投资管理企业(有限合伙)-科乐长虹私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",3.0
16,300681.SZ,300681,英搏尔,汽车配件,45.51,1.0,2.0,18.59,,0.0
17,600059.SH,600059,古越龙山,红黄酒,12.85,2.0,2.0,103.9,"中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
中国对外经济贸易信托有限公司-外贸信托·锐进16期中欧瑞博证券投资集合资金信托计划
中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
中国对外经济贸易信托有限公司-外贸信托-中欧瑞博成长智投证券投资集合资金信托计划
中央汇金资产管理有限责任公司
招商银行股份有限公司-富兰克林国海基本面优选混合型证券投资基金",6.0
18,600121.SH,600121,郑州煤电,煤炭开采,2.83,2.0,2.0,34.48,中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金,1.0
19,002342.SZ,002342,巨力索具,机械基件,4.21,2.0,2.0,36.58,中央汇金资产管理有限责任公司,1.0
20,300438.SZ,300438,鹏辉能源,电气设备,23.89,1.0,2.0,75.66,"中国工商银行-浦银安盛价值成长混合型证券投资基金
中国工商银行股份有限公司-嘉实智能汽车股票型证券投资基金
盈科创新资产管理有限公司
交通银行股份有限公司-浦银安盛增长动力灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)",5.0
21,000889.SZ,000889,中嘉博创,通信设备,6.62,2.0,2.0,57.58,"申万宏源证券-证券行业支持民企发展系列之申万宏源FOF单一资产管理计划-证券行业支持民企发展之申万宏源2号
香港中央结算有限公司(陆股通)",2.0
22,600428.SH,600428,中远海特,水运,4.84,2.0,2.0,103.9,"华夏基金-农业银行-华夏中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
大成基金-农业银行-大成中证金融资产管理计划
前海开源基金-包商银行-前海开源定增11号资产管理计划
中央汇金资产管理有限责任公司
工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划",7.0
23,600679.SH,600679,上海凤凰,文教休闲,15.01,2.0,2.0,34.61,,0.0
24,600418.SH,600418,江淮汽车,汽车整车,10.55,2.0,2.0,199.74,"华润深国投信托有限公司-华润信托·昀沣9号集合资金信托计划
安徽省铁路发展基金股份有限公司
申万菱信基金-招商银行-华润深国投信托-华润信托·博荟13号集合资金信托计划",3.0
25,600559.SH,600559,老白干酒,白酒,22.1,2.0,2.0,193.76,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
北京航天产业投资基金(有限合伙)
汇添富基金-工商银行-汇添富-定增盛世添富牛37号资产管理计划
鹏华基金-工商银行-鹏华基金增发精选1号资产管理计划
香港中央结算有限公司(陆股通)",5.0
26,601238.SH,601238,广汽集团,汽车整车,15.06,1.0,1.0,1075.18,"招商银行股份有限公司-兴全合润分级混合型证券投资基金
全国社保基金一零三组合
香港中央结算有限公司(陆股通)
国泰基金管理有限公司-社保基金四二一组合",4.0
27,600653.SH,600653,申华控股,汽车服务,2.26,1.0,1.0,43.99,,0.0
28,601001.SH,601001,大同煤业,煤炭开采,5.92,1.0,1.0,99.08,"中国银行股份有限公司-招商中证煤炭等权指数分级证券投资基金
中央汇金资产管理有限责任公司
海通证券股份有限公司-中融中证煤炭指数分级证券投资基金
香港中央结算有限公司(陆股通)",4.0
29,300643.SZ,300643,万通智控,汽车配件,16.56,1.0,1.0,33.12,,0.0
30,600609.SH,600609,金杯汽车,汽车配件,5.96,1.0,1.0,65.12,,0.0
31,600573.SH,600573,惠泉啤酒,啤酒,10.25,1.0,1.0,25.62,"上海谦荣投资有限公司-光华9234捕鱼私募基金二期
上海昀启投资有限公司-昀启投资-私募学院菁英69号基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",3.0
32,300689.SZ,300689,澄天伟业,元器件,55.16,1.0,1.0,32.12,,0.0
33,300712.SZ,300712,永福股份,建筑工程,19.1,1.0,1.0,34.78,中国-比利时直接股权投资基金,1.0
34,600497.SH,600497,驰宏锌锗,铅锌,4.94,1.0,1.0,212.91,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-国泰国证有色金属行业指数分级证券投资基金
中国工商银行股份有限公司-南方中证申万有色金属交易型开放式指数证券投资基金",4.0
